Vârdformu skaits:	3275
Vârdlietojumu skaits:	14419
	
	
601	un
492	irr
397	to
381	tas
340	kas
297	ne
263	ta
253	bet
164	no
146	wiòòa
133	weens
124	ka`
122	ar
122	ka
120	úawu
118	us
105	tee
104	wiò§ch
97	tahs
94	teem
93	tad
87	buhs
83	tohp
83	tu
83	weena
81	kad
80	tam
79	pee
77	jo
68	par
67	es
66	wiòòu
58	tew
57	tohs
53	úirds
53	zaur
51	tawu
49	taps
45	darra
45	weenu
42	pahr
42	wiòòas
41	ko
41	preekúch
39	eekúch
38	kunga
36	kam
36	ta`
35	wihrs
35	zeïïu
32	nahk
32	úawas
31	daud§
31	gudrs
30	neka`
30	tawa
29	pehz
28	1
28	mans
27	gudribu
27	labbi
27	mahza
26	itt
26	úirdi
25	leetas
25	wiòòam
23	kungs
23	luhpas
23	patt
23	prett
22	kur
22	mutti
21	tawas
20	§tarp
20	besdeewigo
20	eúúi
20	gudriba
20	lai
20	mutte
20	úawa
20	zeïúch
19	§taiga
19	eúmu
19	zilweks
18	behrns
18	deewa
18	dwehúeli
18	kungu
18	pamahziúchanu
17	besdeewigu
17	dehls
17	dohd
17	eet
17	mihle
17	negantiba
17	rohkas
17	runna
17	taiúna
17	wairak
16	azzis
16	d§ihwibas
16	ìeíía
16	ir
16	kahda
16	labba
16	labbu
16	ïauna
16	mannu
16	manta
16	muttes
16	nabbags
16	rohku
16	tuwaku
16	zilweka
15	arrid§an
15	ìeííi
15	ja
15	ïaunu
15	neds
15	úarga
15	úawa^
15	sinnaúchanu
15	taiúno
15	warr
15	wiúúu
14	dwehúele
14	eebr
14	kungam
14	mekle
14	paúarga
14	úapraúchanu
14	úew
14	taiúnajs
14	tur
14	wall
14	wallodu
13	azzim
13	ìeííis
13	kahdu
13	íehniòa
13	namma
13	pats
13	úawahm
13	wahrdi
12	arri
12	atkaï
12	darriht
12	jepúchu
12	kahds
12	labbaks
12	laika^
12	man
12	mannas
12	mehle
12	pahrmahziúchanu
12	paleek
12	úakka
12	taiúnibu
12	teeúu
12	tomehr
12	zeïïi
11	baggats
11	bes
11	besdeewigajs
11	dabbu
11	gohds
11	gudru
11	jeb
11	klauúa
11	labbaki
11	ïaudis
11	manna
11	parei§i
11	patihk
11	úaweem
11	úeewa
11	úeewas
11	semmes
11	turr
11	wihra
11	wiúúi
10	bauúlibu
10	behrni
10	eenihd
10	gudribas
10	labs
10	nahwes
10	neneeka
10	newaid
10	paúchu
10	pirms
10	salamans
10	úirdi^
10	taiúniba
10	taws
10	wahrdus
9	§inna
9	§tahw
9	behrneem
9	buht
9	d§ihwiba
9	gann
9	ìeííibu
9	gudra
9	íildu
9	labbumu
9	ïaudim
9	leezineeks
9	manni
9	nabbagu
9	nizzina
9	padarra
9	palihd§
9	paúcha
9	prahtu
9	úapraúchana
9	úliòíis
9	tai
9	taiúns
9	tapehz
9	tohpi
9	waigu
9	zilweku
8	5
8	at§ihúchanu
8	atrohd
8	augïeem
8	auúi
8	awots
8	besdeewiga
8	besdeewigs
8	d§ihwibu
8	darbu
8	dehï
8	dohmas
8	dwehúelei
8	ehd
8	juhs
8	kaunu
8	kuºúch
8	laid
8	lauwa
8	mai§es
8	mann
8	mannus
8	nabbageem
8	namma^
8	nammu
8	noh§t
8	padohmu
8	pahrmahza
8	pamahza
8	prahts
8	preezajahs
8	tahïu
8	taiúnee
8	taiúnibas
8	taiúnu
8	teeúcham
8	tehwu
8	teiz
8	turrahs
8	uhdens
8	wahrds
8	wehl
8	wehra^
8	wiúúas
8	zeïï
8	zeïïeem
8	zik
7	2
7	6
7	§teid§ahs
7	§tiprs
7	atraddihs
7	bauúlus
7	bih§tahs
7	bihjaúchana
7	dahwanas
7	darbs
7	dohma
7	eenih§t
7	eij
7	ìeííiba
7	ìeííim
7	ìeííu
7	gohdu
7	gudreem
7	jums
7	kahjas
7	íehniò§ch
7	leetu
7	leez
7	luhpahm
7	mai§i
7	mannis
7	meeru
7	mehditajs
7	nams
7	nei
7	netaiúnibu
7	padohms
7	pahrwehrtita
7	paliks
7	prohti
7	red§i
7	úargi
7	tawi
7	teeúa
7	tehwa
7	tewi
7	tewim
7	turretees
7	walda
7	warri
7	weenas
7	wihru
7	wiòòo
7	wiús
7	zeïïus
7	zilwekeem
6	10
6	11
6	ahra
6	apbehdina
6	baggatibu
6	besdeewigee
6	d§en
6	deews
6	dehlu
6	duúmibu
6	dwehúeles
6	ees
6	gaiúchums
6	gan
6	kamehr
6	leek
6	leela
6	leetus
6	mahtes
6	mahti
6	maííeniht
6	mantu
6	mellus
6	nahks
6	nahkúees
6	pa§tahw
6	païaujahs
6	pazeïï
6	peederr
6	prahtiga
6	prahtigs
6	rahmo
6	úargatees
6	úchee
6	schehla§tibu
6	selts
6	úwehtigs
6	tahds
6	tatúchu
6	tawahm
6	tawai
6	tik
6	truhkums
6	usees
6	wahrdeem
6	wahrdu
6	weenam
6	weenumehr
6	zerriba
6	zilwekam
6	zits
5	15
5	§trahda
5	ahr§tes=sahle
5	ahtri
5	alla§chiò
5	at§tahj
5	atmett
5	aug§ti
5	bahr§iba
5	bahrúchanas
5	balúi
5	behdas
5	behdu
5	behrnu
5	besdeewigeem
5	bija
5	brahlis
5	d§ennahs
5	d§ihwoht
5	dabbuht
5	dahrgu
5	darrijs
5	dohs
5	draugs
5	drih§
5	drohúchi
5	duúmiba
5	eepreezina
5	ehdihs
5	gals
5	galwu
5	gluhne
5	gohda^
5	grehkeem
5	grehki
5	grehku
5	grib
5	gudro
5	jauna
5	kahju
5	íehniòeem
5	íehniòu
5	klauúajt
5	kluúúina
5	krittihs
5	leeta
5	leetahm
5	mahte
5	mai§e
5	makúa
5	mehs
5	mums
5	nahkahs
5	nahz
5	òem
5	nepateeús
5	nomirs
5	pa
5	pa§tahwehs
5	padohma
5	pahrmahziúchana
5	patti
5	peeklahjahs
5	pilsúahts
5	preekúcha^
5	rihk§te
5	runnaht
5	úakki
5	salamaòa
5	úaprattigs
5	úawam
5	úawus
5	schehla§tiba
5	úeewu
5	semmi
5	úlawa
5	úliòía
5	úudrabs
5	úudrabu
5	tahm
5	tawa^
5	tawus
5	teeúas
5	tehwam
5	turrehts
5	uhdeni
5	walditaju
5	walloda
5	wallodas
5	ween
5	wihnu
5	wiúúa
5	wiúúa^
5	wiúúahm
5	wiúúai
5	zeïïa
5	zitta
4	4
4	9
4	13
4	17
4	ak
4	ap§kai§tahs
4	apúlepjahs
4	apúmeij
4	atkahpees
4	aug§ta
4	baggatiba
4	barribu
4	bauúli
4	beedris
4	bihjaúchanu
4	biju
4	bohja^
4	bohja^=eeúchanu
4	buhúchanu
4	d§ihwohs
4	da§ch
4	dahrgs
4	deena^
4	deenas
4	deenu
4	draugu
4	durwim
4	eelahm
4	eeúahkums
4	elle
4	elles
4	etc
4	galdu
4	galwa^
4	ìeííam
4	ìeííibas
4	ìeííigs
4	grehko
4	gudree
4	gull
4	ikkatra
4	isglahbts
4	isplukúchíe
4	kahjahm
4	kalps
4	kalpu
4	klahjahs
4	kohks
4	krohnis
4	labbaka
4	ïau§chu
4	ïaunumu
4	leelijahs
4	leelu
4	lepniba
4	lihgúmojahs
4	ïohti
4	lukte
4	mahziba
4	mahzibas
4	meddu
4	mehditaju
4	mihliga
4	muh§cham
4	nelaimi
4	nenojehga
4	nu
4	pa§tahwigu
4	padohmeem
4	pahrmahzi
4	pahrwehrtitas
4	pahrwehrtitu
4	pamett
4	pateeúibu
4	pee=ehdihs
4	peepeúchi
4	pehrles
4	pehzgalla^
4	pilsúahtu
4	pïaujama^
4	prahtigam
4	putnis
4	rahda
4	red§
4	rihk§ti
4	rohka^
4	rohkahm
4	runnahs
4	úakkamee
4	úakrahj
4	úamanto
4	úawa^s
4	úawai
4	úawo
4	úchihs
4	úchurp
4	seltu
4	semme
4	úezzen
4	sinnaúchana
4	úirdis
4	úlakka
4	úlawu
4	úliòíi
4	úuhta
4	úwars
4	úwehtiúchana
4	taiúneem
4	taiúni
4	tawam
4	taweem
4	tehws
4	tewis
4	tihrs
4	tinnahs
4	ugguns
4	wahrtim
4	wairojahs
4	wairs
4	weena^
4	wihna
4	wihram
4	wiltiba
4	wiltigu
4	zittu
3	3
3	14
3	16
3	20
3	22
3	25
3	§innama
3	§taigaht
3	§tipra
3	§tipri
3	§tipru
3	a§oti^
3	agri
3	aismir§t
3	aizina
3	akmins
3	ap§chehlojahs
3	apbehdinahts
3	apklahj
3	aprak§ta
3	aúúini
3	aúúinim
3	at§ihúchanas
3	at§tahjahs
3	at§tahjeet
3	atkahpj
3	atkahpt
3	atpakkaï
3	atraúúi
3	atrauji
3	augïi
3	augïus
3	auúim
3	azz
3	azzi^s
3	bahr§ibu
3	bahrúchana
3	bedre^
3	behdahm
3	behdigu
3	besdeewibu
3	besdeewigam
3	bihjaúchanas
3	bruòòahm
3	d§ehreenu
3	d§ihtees
3	d§iïïa
3	d§ird
3	dabbuhs
3	darbeem
3	dehla
3	derr
3	diwejahds
3	draugeem
3	draugi
3	ee=eet
3	eegribbetees
3	eekahro
3	eekrittihs
3	eenaidneeks
3	eúúohts
3	eúúu
3	gaddi
3	gaidiúchana
3	ìeíío
3	gohda=krehúlis
3	gre§na
3	gree§chahs
3	gudram
3	gudri
3	gudrus
3	gulli
3	ikweens
3	ilgi
3	isbailes
3	isdohd
3	isúalzis
3	jauku
3	jem
3	kaklu
3	kaulus
3	kauns
3	klahúees
3	klauúajs
3	klauúi
3	klauúiht
3	krahúchnums
3	kriht
3	kuººa
3	kuººam
3	labpraht
3	lah§ti
3	ïaunadarritajeem
3	ïauns
3	ïaunuma^
3	ïaunums
3	leed§ahs
3	leekahs
3	leeleem=kungeem
3	leeti
3	lehnprahtigs
3	lepnibu
3	lihd§
3	lihgúmiba
3	likt
3	lohkahs
3	luhgúchana
3	manneem
3	mantas
3	meddus
3	mehli
3	meitas
3	mekleht
3	melkulis
3	mello
3	mihk§ta
3	mihle§tiba
3	mihleht
3	mirkúchíina
3	nabbad§iba
3	nabbagam
3	nabbagus
3	neewaúchana
3	negauúibu
3	òehmis
3	nelaimiba^
3	neleetiba
3	neno§eed§igs
3	nenojehgas
3	neprattigs
3	neús
3	niknu
3	no§kumúchana
3	nolahd
3	ohtru
3	padebbeúis
3	padohmus
3	pahrbauda
3	pahrmanna
3	pamahziúchana
3	pamahziúchanas
3	papillam
3	parahda
3	paúaules
3	paúchas
3	peenahk
3	peeòem
3	pilsúahta
3	poh§ta^
3	prahta^
3	preeks
3	preezaúees
3	pulku
3	rahdahs
3	reeúchana
3	rehjejas
3	rohka
3	úahnis
3	úamanna
3	úapraúchanas
3	úaprattigu
3	úaproht
3	úataiúa
3	úchíih§ts
3	úchíih§tu
3	selta
3	úewis
3	skudras
3	úlawe
3	úleppeni
3	úudraba
3	úwehtihts
3	úwehtu
3	úweúcha
3	úweúchas
3	taiúnam
3	tapt
3	tekkahm
3	tikkuúchi
3	tikkuúi
3	uppes
3	uppuris
3	wainas
3	wainu
3	wairo
3	waldiht
3	walgeem
3	warretu
3	waúúara^
3	weh§ts
3	wehjúch
