Vârdformu skaits:	3158
Vârdlietojumu skaits:	17412


1045	un
411	to
342	us
318	no
286	tee
277	Un
227	ne
226	úazzija
218	kas
215	wiò§ch
209	tas
208	ta
200	teem
178	irr
176	Tad
173	wiòòa
164	bija
163	ar
163	tad
148	pee
135	wiòòu
132	ka
120	tohs
106	prett
98	weenu
96	eekúch
96	es
96	J§rae#ïa
82	tu
77	bij
76	úawu
75	Behrni
72	Bet
72	juhs
71	ko
70	tahs
67	man
66	tew
64	jo
63	kad
61	bet
59	ka`
57	nahze
56	nu
55	KUNGA
55	tam
54	Ïaudis
54	lihd§
54	pahr
54	preekúch
54	weens
53	par
52	KUNGS
50	Wihri
48	gahje
44	buhs
43	Behrneem
43	mehs
43	Rohka^
43	wiòòam
42	mums
42	pehz
42	zehlahs
41	tur
41	zaur
40	tappe
38	Kad
37	§tarp
36	eúmu
36	eúúi
36	wiúúi
34	d§ihwoja
34	Wihrs
32	arrid§an
32	Dehls
32	pakkaï
31	Deews
31	neds
31	wiúúu
30	J§rae&ïa
30	jums
30	Úeewas
30	Úeewu
29	Gideans
29	Sim§ans
28	Benjamiòa
28	darrija
28	itt
28	J§rae#lu
28	mann
28	Pilsúahta
28	wiòòas
27	Ammoòa
27	Gaddus
27	Wihrus
26	lai
26	òehme
26	ta`
25	úawas
25	Úeewa
25	Semmi
24	Gileadas
24	nogahje
23	KUNGAM
23	úaweem
22	Deewa
22	eúúat
22	isgahje
22	Juhda
22	KUNGU
22	Namma
22	Tehwa
22	tohp
21	Deena^
21	Jewtus
21	kawe
21	Mikkus
20	mannu
20	úcho
20	tapehz
20	weena
19	darrijs
19	eet
19	eúúam
19	jelle
19	Midijaniteºu
19	Rohkas
19	úawa
19	Wihreem
19	wiúúus
18	atgree§ahs
18	Abimeleks
18	diwi
18	Siíema
18	úuhtija
18	Ta`
18	wiòòeem
17	arri
17	Eòìelis
17	Es
17	Íehniòu
17	KUNgs
17	likke
17	Nakti
17	Namma^
17	Nammu
17	1
16	augúchu
16	Abimeleku
16	dewe
16	dewis
16	Ïaudim
16	Manous
16	tahm
16	tawu
15	augúcham
15	buhtu
15	J§rae#ls
15	kur
15	muhúu
15	nahk
15	red§eja
15	úawa^
15	tai^
15	Tee
15	trihsdeúmits
15	wehl
15	Wihli§teºu
14	atkaï
14	juhúu
14	kahdu
14	Kalneem
14	nomirre
14	Pilsúahtu
14	Semme^
14	Weetu
14	Wihru
14	wiòòai
13	Deeweem
13	Dehlu
13	deúmits
13	Eewra&ima
13	isd§inne
13	Jo
13	Kas
13	Íehniò§ch
13	red§
13	Rohku
13	úchi
13	Sohbinu
13	Tehws
13	wiúúeem
12	behd§e
12	Behrnu
12	diwideúmits
12	Eed§ihwotajus
12	Gibejas
12	ikkatrs
12	J§rae&lu
12	kaººoja
12	Lehìeri
12	noúauze
12	Preekúcha^
12	pretti
12	úleppeni
12	tawa
12	tomehr
12	tuhk§toúchi
11	Danna
11	Deewu
11	d§innahs
11	Gibeju
11	kapehz
11	kaººoht
11	Ïau§chu
11	pa
11	palikke
11	runnaja
11	úchodeen
11	tawa^
11	teeúaja
11	tuhk§toúchus
11	turrejahs
11	Weetahm
11	Wihli§teºi
11	wiòòi
11	wiús
11	4
10	Baraks
10	darrijúchi
10	Deena^s
10	doht
10	Durwim
10	ir
10	iswilke
10	Kalnu
10	kalpoja
10	kritte
10	laid
10	nahzis
10	úawahm
10	Úeewahm
10	Semmes
10	úeptiòdeúmits
10	úimts
10	wiòòo
10	Zeïïu
9	apkahrt
9	Aúmini
9	brehze
9	buht
9	daud§
9	Debora
9	dehï
9	Dehla
9	Galwu
9	ja
9	Jewtu
9	Kungs
9	Mihklu
9	muhs
9	nahkuúchi
9	Namneeki
9	Pree§teri
9	Puiúis
9	Red§
9	úahze
9	úapulzejahs
9	Sebu
9	úeptiò
9	§tahweja
9	tik
9	tikkai
9	Wahrdu
9	Wihli§teºeem
9	Zilts
9	5
8	ahra
8	apmettehs
8	Altari
8	Behrnus
8	Betlemes
8	Bildi
8	Brahli
8	Eeleija^
8	Eewodu
8	Gars
8	gulleja
8	jeb
8	J§rae&ls
8	kamehr
8	Kananiteºeem
8	Laika^
8	Leeta
8	ïohti
8	luhd§ams
8	Mahte
8	manna
8	Meitahm
8	Meitas
8	Moabiteºu
8	nahz
8	nodewe
8	nokawe
8	pats
8	patt
8	Sim§anu
8	Siúúerus
8	Sohbiòa
8	Spehks
8	Sukota
8	trihs
8	Wahrds
8	Wihra
8	12
7	agri
7	appakúch
7	aprakts
7	atbildeja
7	at§tahje
7	Ak
7	Benjaminu
7	bes
7	Brahïi
7	Dehli
7	Delila
7	Eewra#ima
7	eezehle
7	ehde
7	Gaa&ls
7	Gideanu
7	Ja
7	Jardaòas
7	jaunas
7	Jerub=Baa&la
7	Jo§uu#s
7	kahda
7	kahds
7	Kahjahm
7	Kananiteºus
7	Leeli=Kungi
7	Lewits
7	Meeru
7	Mehs
7	Nams
7	nomirris
7	palikt
7	patikke
7	pirmak
7	raugi
7	Rohka
7	runnajs
7	úai§tiht
7	úazzidami
7	úew
7	úewim
7	Siúúeru
7	tai
7	tanni^
7	Teeúu
7	trihsúimts
7	túchetrdeúmits
7	turren
7	turrenes
7	Ugguni
7	Ugguns
7	Uhdeni
7	UN
7	usòehme
7	wiúúa
7	Zilti
7	3
7	7
6	ap
6	Abimelekam
6	Ahdu
6	darri
6	darriht
6	Dehleem
6	dohd
6	d§ihwo
6	eekúcha
6	Egiptes
6	Eita
6	Eòìeli
6	gahjuúchi
6	gribbu
6	isgree§tu
6	ittin
6	Joaúa
6	Kalna
6	Kambari^
6	Ko
6	labbu
6	leeku
6	leelu
6	Leetu
6	Mahtes
6	manna^
6	mans
6	Meitu
6	Midijaniteºeem
6	Nakti^
6	pazehle
6	peederrigahm
6	raudaja
6	red§i
6	Rihta
6	Rohka^s
6	úawus
6	úchee
6	Sebus
6	Sim§aòa
6	§innaja
6	Úirdi
6	Úirds
6	§tah§tijs
6	§tipri
6	Úudraba
6	Tehwam
6	Tehwu
6	Tohp
6	trummeteja
6	Uhdens
6	warr
6	warreja
6	ween
6	Weh§tus
6	Wuj
6	Zalmunus
6	14
6	17
6	6
5	ap§kaitahs
5	Akmini
5	Amoriteºu
5	Baa&lim
5	Brahïeem
5	darriúim
5	Deenai
5	Deenas
5	Deewus
5	dohúchu
5	Drehbes
5	d§ehre
5	D§ihwokli
5	Durwis
5	Eebeda
5	Eenaidneekeem
5	Eenaidneeku
5	Gabbalus
5	Gideaòa
5	gribbeja
5	gribbi
5	ilgi
5	ispe§tiht
5	isweddis
5	jadarra
5	Ka
5	ka^
5	kahdas
5	Kalno^s
5	Kananiteºu
5	Kaººa^
5	Kaººa=Spehks
5	Kaººa=Spehku
5	Íehniòa
5	kurrenes
5	Ku§an
5	labbi
5	ïaunu
5	leeka
5	Leetas
5	Mahtei
5	mannai
5	mannim
5	Midijaniteºus
5	Mizpas
5	Mizpu
5	Nagli
5	òehmis
5	neúúe
5	No
5	paúchu
5	Pilsúahta^
5	Pilsúahteem
5	preekúcha
5	prohjam
5	Puiúi
5	Raddeem
5	Rohkahm
5	úagrahbe
5	Úaule
5	úawai
5	úawam
5	úchim
5	úchis
5	Schohkïa=Kaulu
5	Seebuls
5	úehdeja
5	Semme
5	úeúchúimts
5	Sihlus
5	Siíemu
5	úitte
5	§tipru
5	ta^
5	taptu
5	tawam
5	taws
5	Tehwi
5	Trummetehm
5	tuhk§toúcheem
5	usòemt
5	wairak
5	wairs
5	waizaja
5	wedde
5	Weetas
5	Wezzajee
5	Zalmunu
5	Zareas
5	zellees
5	Ziltim
5	zitteem
5	15
5	19
5	21
5	8
4	aizinaja
4	a§toòpadeúmits
4	atlaide
4	atminneht
4	atpakkaï
4	atradde
4	Abinoama
4	Auúim
4	Baa&la
4	Balkúnei
4	Beedram
4	Benjamins
4	Benjamiteºeem
4	Brahïus
4	buhtut
4	Daniteºu
4	darrajt
4	Deena
4	Deenahm
4	Deewam
4	Derribu
4	Draud§es
4	drih§
4	d§emdeja
4	d§irdeja
4	duúúeja
4	Eebeºa
4	eegahje
4	eemu
4	eeraud§ija
4	eeúchu
4	Eúúi
4	E§taoles
4	Gaïïu
4	Gileaditeris
4	gribbam
4	isglahbis
4	isluhkoht
4	is§teepe
4	Jabina
4	Jabinu
4	jaw
4	Jhpaúchumu
4	Juhdu
4	kahdus
4	Kambaºa
4	Kananiteºi
4	kaººo
4	Ka§lenu
4	Íehniòi
4	Íeniteºa
4	klauúija
4	Kohki
4	KUNGÚ
4	Lai
4	Laiku
4	Lehìeri^
4	lihd§i
4	lohzijahs
4	Mai§es
4	Manaúúus
4	mannahm
4	manni
4	mannis
4	Mehneúchus
4	Meita
4	Moaba
4	nahktu
4	Nahz
4	Namneekeem
4	Ne
4	òem
4	neraud§etas
4	no=eet
4	ohtru
4	Padohmu
4	Pagaòu
4	pahrdewe
4	paúazzihts
4	peederr
4	peeluhd§e
4	peezi
4	Pilsúahtus
4	puúúes
4	rahdijahs
4	Raugi
4	Rimmon
4	Rohbe§chu
4	úakka
4	úaúaukti
4	úaúauze
4	úazzihts
4	úazzijs
4	úcha
4	úchai
4	úche
4	úewis
4	§kaititi
4	§kattijahs
4	Úohìi
4	Úohìus
4	§peede
4	§tah§ta
4	§tah§tija
4	Úweúchineeku
4	tadehï
4	Tas
4	tawas
4	TAd
4	teekams
4	Tehweem
4	tewim
4	Tohròa
4	túchetr
4	Tukúneúes
4	uppureja
4	ustaiúija
4	Wahrdus
4	Wahrtu
4	Wakkaram
4	walda
4	waldija
4	warram
4	Weeta^
4	Widdu^
4	Wihnu
4	Wirúneeki
4	Wirwes
4	wiúúahm
4	wiúúas
4	Woj
4	Zeïïa
4	Zeïïeem
4	zik
4	zitti
4	10
4	11
4	13
4	2
4	20
4	22
4	23
4	24
4	33
3	apkawe
3	atlikke
3	at§inne
3	at§taht
3	Abdons
3	Adoni
3	Akmiòa=Kalna
3	Akmiòa=Kalnu
3	Allas
3	Amaleíiteºi
3	Amoriteºeem
3	Arnoòa
3	Atlikkuúchee
3	Azzim
3	Bahr§iba
3	Balkúni
3	Baraku
3	Betelu
3	bih§tees
3	Brihdi
3	dabbu
3	dabbuja
3	Dahwanu
3	Darbu
3	darrat
3	Debbes
3	Ded§amu=Uppuri
3	Deenas=Widdu
3	DEEWA
3	dohdeet
3	Draud§e
3	Drehbehm
3	drohúchi
3	D§ehreenu
3	d§enn
3	d§ihdamees
3	D§ihwibu
3	d§ihwoht
3	d§inne
3	Dwehúele
3	eeded§inaja
3	Eelons
3	ees
3	Eglonam
3	Eh§eïa
3	Eh§eïeem
3	eij
3	Eij
3	Elka=Deewus
3	Eu&ds
3	Galwas
3	gree§ahs
3	gºuhta
3	isd§innis
3	isgahjis
3	isglahbe
3	islaúúiti
3	is§prukke
3	Ja&irs
3	Jae#le
3	Jah§epa
3	Jardanu
3	Jauneklis
3	Jerub=Baa#la
3	Jrr
3	J§raeïa
3	kahda^
3	kahdahm
3	Kahjas
3	Kahleba
3	Kahlebs
3	Kapehz
3	Kaººa=Spehka
3	Kaººa=Wihri
3	kaut
3	kauti
3	Íehniòam
3	Íenaúa
3	Íiriat
3	Íi§ona
3	klahtu
3	klauúijúchi
3	kluúúu
3	Kohkeem
3	Kohko
3	kohpa^
3	kreiúu
3	Kruh§es
3	Kur
3	labbaki
3	lakkuúchi
3	Lauka^
3	Ïaunu
3	Laupijuma
3	Laupijumu
3	Lauwa
3	Leelus=Kungus
3	leetu
3	Lewita
3	lihgotees
3	Manaúúu
3	mannas
3	maukoja
3	Meers
3	mette
3	Midijaniteºi
3	Millus
3	Moh§us
3	Mutti
3	nahkam
3	nahkat
3	nahkt
3	Nam~a^
3	Namneeku
3	Nawtalus
3	neeka
3	nei
3	òemmeet
3	neúchíih§ts
3	nodewis
3	nodoht
3	nokaut
3	nokawis
3	nolehze
3	nomir§t
3	nonahze
3	noúuhtija
3	noteek
3	notikkuúi
3	nozirte
3	Nu
3	Oh§ola
3	Orebu
3	paleez
3	Paligu
3	parei§i
3	paúchi
3	patihk
3	patti
3	pawehlejs
3	peekuúúuúchi
3	peewihlis
3	Pehz
3	poh§tija
3	Pree§teris
3	Pulks
3	puús
3	Raúúa
3	Ratteem
3	Ratti
3	Rattus
3	red§ejs
3	red§ejúchi
3	Red§i
3	Rihta^
3	Ri§ata&imu
3	Rohbe§chas
3	úadau§ija
3	úaded§inaja
3	úaguh§tija
3	úai§tija
3	úapulzeja
3	úazzidams
3	§chehl
3	Schehla§tibu
3	úcheitan
3	úchinni^
3	úchohs
3	Sebulaòa
3	Seemeïa
3	Úeewai
3	úeptiòúimts
3	úeptita^
3	Sihmi
3	Siíema^
3	Siúúeram
3	Úmeeklus
3	Sohbins
3	Úohìis
3	§paidija
3	§tahw
3	§taigaja
3	Starpa^
3	§teid§ehs
3	§tiprinajahs
3	§tiprs
3	STJPRA
3	Stuhri
3	úuhtijs
3	Úwehtku=Drehbes
3	Ta
3	tahdus
3	tai`
3	taiúijahs
3	Tapehz
3	tapúi
3	taweem
3	Tehwozis
3	Tihruma
3	Timnatas
3	Tohrni
3	Trummetes
3	túchetrúimts
3	Tukúneúi
3	Turòa
3	turreja
3	uhs
3	Uppe
3	usmoh§ti
3	uswarr
3	uszehle
3	Wahrda
3	weenam
3	weenas
3	weenigs
3	Weh§tis
3	Wezzajeem
3	Wihram
3	Wili§teºeem
3	wiòòpuús
3	Wirúneeks
3	Wirúu
3	Wirwehm
3	wiúúai
3	wiúsapkahrt
3	woj
3	Zelleetees
3	16
3	25
3	27
3	31
2	abbi
2	ais
2	aisgahje
2	aisúlehd§e
2	aizinajs
2	ak
2	apbruòòoti
2	apkritte
2	aplaupija
2	apmette
2	aprakke
2	apúed§e
2	apúehdehs
2	apúmehjuúchi
2	ap§tiprinahts
2	ap§wehrejúchees
2	arrig
2	atdarrija
2	atdarrijs
2	atdewe
2	atgree§iúchohs
2	atgree§tees
2	atlikkuúchi
2	atlizzinaja
2	atminnejúchi
2	atneúúe
2	atraddihs
2	atreebis
2	atreebjahs
2	at§ih§tam
2	at§tahjis
2	at§tahjuúchi
2	augúcha
2	aug§tahm
2	aug§tas
2	Abimeleka
2	Ah§ers
2	Akmina=Kalna
2	Akúu
2	Altara
2	Altaris
2	Amaleku
2	Amoriteºi
2	Anata
2	Ar
2	A§tarotam
2	A§tu
2	Atkahpúchanas
2	Audekla
2	Augïus
2	Augums
2	Auúchu=Sprahd§i
2	Awoúchus
2	Baa&l
2	Baraka
2	baººahs
2	Barribu
2	Beedrehm
2	Beedris
2	Bee§eka^
2	Bee§eks
2	Benjamina
2	Benjaminam
2	Benjamiteºi
2	bes§pehzigs
2	BEt
2	Bet=Seemes
2	Betbarai
2	bihjajahs
2	bijis
2	bijuúchas
2	Bilde
2	Bildehm
2	Brahïa
2	Brahlis
2	Brahïu
2	brih§cham
2	Bruòòas
2	buhdams
2	buhtum
2	dahwajúchees
2	dallija
2	Dans
2	Darbs
2	darra
2	darram
2	darrita
2	Ded§amus=Uppuºus
2	Deewa=Nams
2	Dehlus
2	dewiòúimts
2	diwipadeúmits
2	Dohd
2	dohúim
2	dohta
2	Druwes
2	d§eedaúchu
2	D§eeúmas
2	D§el§u
2	d§emdeúi
2	D§enn
2	d§err
2	d§e§tra^
2	D§ihwokïa
2	D§ihwokli^
2	Duhre
2	Dumpi
2	Duúmiba
2	Ebzans
2	Eedoma
2	Eedomiteºu
2	Eed§ihwotajeem
2	Eela^
2	eelihgúmojahs
2	Eenaidneekus
2	eetam
2	Eetama
2	eewainoht
2	Eewra&ims
2	Eewra&imu
2	eezehluúchi
2	ehd
2	Ehdamo=Uppuri
2	Ehúeïa
2	Eh§eïu
2	eh§t
2	eima
2	Elka=deewibu
2	Elkadeewibu
2	Elku
2	Eòìeïa
2	E§bona
2	E§riteºu
2	Eu#ds
2	gahjis
2	gaidija
2	Gaiúma
2	Galwas=Mihk§tumu
2	gann
2	Gannama=Pulkeem
2	Ga§era^
2	Ga§u
2	gau§chi
2	Gazu
2	Gideanam
2	Ìihmis
2	Gileada
2	Gileaditeºi
2	Gileads
2	gluhneja
2	Gluhnetaji
2	grehkojúchi
2	gribbetu
2	gºuhti
2	guh§tija
2	gullejúchas
2	Gurneem
2	ik
2	ikkatru
2	isbaidija
2	isdeldeja
2	isdeldeta
2	isd§ihúchu
2	isd§iht
2	isgree§ta
2	isgree§tahm
2	islezz
2	isluhkojuúchi
2	ispe§ti
2	ispe§tijs
2	isúlahpis
2	Jabes
2	Jabeúa
2	Jabeúa^
2	Jae#les
2	Jakobam
2	jamir§t
2	Jardaòai
2	jaunahm
2	jaunakajs
2	Jaunekïa
2	jauns
2	Jearima
2	Jebus
2	Jemini
2	Jepúchu
2	Jerub=Baa&ls
2	Jeru§aleme^
2	Jeru§alemi
2	Jhpaúchuma
2	Jh§aúchara
2	Jllela
2	Jotams
2	Jr
2	Jsbehguúchee
2	J§rae#ïam
2	J§rae#liteºu
2	Juhs
2	juhúa^s
2	juhúeem
2	Jumprawibu
2	Jumtu
2	kahdi
2	Kah§as
2	Kakleem
2	Kalpeem
2	kalpoht
2	kalpojúchi
2	Kalpones
2	Kameeïu
2	Kanaa&na
2	Kaººa=Spehkam
2	kaººodams
2	Karrogi
2	Karrogo^s
2	kaººojs
2	Karrúchas
2	Kaººu
2	Kauúchanas
2	Kauúchanu
2	kawejahs
2	Íehniòeem
2	Klauúajt
2	klauúiht
2	kïua
2	kïuht
2	Kreklus
2	KUNgu
2	kuplu
2	kuººa
2	La#iúu
2	labba
2	labba^
2	labbas
2	Lahpas
2	Lauku
2	Ïaunumu
2	Lauwas
2	Leejas
2	Leel=Kungu
2	leels
2	leeta
2	Lehìeris
