Vârdformu skaits:	3025
Vârdlietojumu skaits:	17412


1329	un
413	to
344	us
343	tad
323	no
301	tee
231	kas
231	ne
226	úazzija
217	wiò§ch
213	tas
211	ta
200	teem
181	irr
174	wiòòa
165	ar
164	bija
148	pee
137	ka
135	bet
135	wiòòu
120	tohs
113	es
106	prett
101	kad
98	weenu
97	eekúch
96	i§rae#ïa
82	tu
79	kungs
77	bij
77	jo
77	ko
76	úawu
75	behrni
74	juhs
72	tahs
68	man
68	tew
59	ka`
59	nu
57	nahze
56	weens
55	kunga
55	lihd§
55	tam
54	ïaudis
54	pahr
54	par
54	preekúch
50	mehs
50	wihri
48	gahje
45	buhs
45	pehz
44	ta`
43	behrneem
43	rohka^
43	wiòòam
42	mums
42	zehlahs
41	tur
41	zaur
40	eúúi
40	tappe
37	§tarp
36	eúmu
36	wiúúi
34	d§ihwoja
34	wihrs
33	dehls
32	arrid§an
32	pakkaï
31	deews
31	neds
31	wiúúu
30	i§rae&ïa
30	jums
30	lai
30	úeewas
30	úeewu
29	gideans
29	sim§ans
28	benjamiòa
28	darrija
28	i§rae#lu
28	itt
28	mann
28	pilsúahta
28	tohp
28	wiòòas
27	ammoòa
27	gaddus
27	wihrus
26	òehme
25	deewa
25	kungu
25	úawas
25	úeewa
25	semmi
24	gileadas
24	nogahje
23	eúúat
23	kungam
23	úaweem
23	tapehz
22	isgahje
22	jewtus
22	juhda
22	namma
22	red§
22	tehwa
21	deena^
21	kawe
21	mikkus
20	mannu
20	úcho
20	weena
19	darrijs
19	diwi
19	eet
19	eúúam
19	jelle
19	midijaniteºu
19	rohkas
19	úawa
19	wihreem
19	wiúúus
18	abimeleks
18	atgree§ahs
18	kur
18	siíema
18	úuhtija
18	wiòòeem
17	arri
17	eòìelis
17	íehniòu
17	likke
17	muhúu
17	nakti
17	namma^
17	nammu
17	1
16	abimeleku
16	augúchu
16	dewe
16	dewis
16	ja
16	ïaudim
16	manous
16	tahm
16	tawu
15	augúcham
15	buhtu
15	i§rae#ls
15	nahk
15	pilsúahtu
15	red§eja
15	úawa^
15	tai^
15	trihsdeúmits
15	wehl
15	wihli§teºu
15	wiòòai
14	atkaï
14	juhúu
14	kahdu
14	kalneem
14	kapehz
14	nomirre
14	semme^
14	tomehr
14	weetu
14	wihru
13	deeweem
13	dehlu
13	deúmits
13	eewra&ima
13	isd§inne
13	íehniò§ch
13	rohku
13	úchi
13	sohbinu
13	tehws
13	wiúúeem
12	behd§e
12	behrnu
12	diwideúmits
12	eed§ihwotajus
12	gibejas
12	ikkatrs
12	ir
12	i§rae&lu
12	kaººoja
12	lehìeri
12	nahz
12	noúauze
12	preekúcha^
12	pretti
12	úchodeen
12	úleppeni
12	tawa
12	tuhk§toúchi
12	wiús
11	danna
11	deewu
11	d§innahs
11	gibeju
11	kaººoht
11	laid
11	ïau§chu
11	pa
11	palikke
11	raugi
11	runnaja
11	úeptiòdeúmits
11	tawa^
11	teeúaja
11	tuhk§toúchus
11	turrejahs
11	weetahm
11	wihli§teºi
11	wiòòi
11	4
10	baraks
10	darrijúchi
10	deena^s
10	doht
10	durwim
10	iswilke
10	kalnu
10	kalpoja
10	kritte
10	leeta
10	manna
10	nahzis
10	úawahm
10	úeewahm
10	semmes
10	úimts
10	wiòòo
10	zeïïu
9	ak
9	apkahrt
9	aúmini
9	behrnus
9	brehze
9	buht
9	daud§
9	debora
9	dehï
9	dehla
9	galwu
9	jewtu
9	kamehr
9	leetu
9	mihklu
9	muhs
9	nahkuúchi
9	namneeki
9	pree§teri
9	puiúis
9	red§i
9	úahze
9	úapulzejahs
9	sebu
9	úeptiò
9	§tahweja
9	tik
9	tikkai
9	wahrdu
9	wihli§teºeem
9	zilts
9	5
8	ahra
8	altari
8	apmettehs
8	betlemes
8	bildi
8	brahli
8	dohd
8	eeleija^
8	eewodu
8	gars
8	gulleja
8	i§rae&ls
8	jeb
8	kahda
8	kananiteºeem
8	laika^
8	ïaunu
8	ïohti
8	luhd§ams
8	mahte
8	meeru
8	meitahm
8	meitas
8	moabiteºu
8	nams
8	nodewe
8	nokawe
8	pats
8	patt
8	úchee
8	sim§anu
8	siúúerus
8	sohbiòa
8	spehks
8	sukota
8	tai
8	trihs
8	ugguni
8	wahrds
8	wihra
8	wuj
8	12
7	agri
7	appakúch
7	aprakts
7	atbildeja
7	at§tahje
7	benjaminu
7	bes
7	brahïi
7	darri
7	dehli
7	delila
7	eewra#ima
7	eezehle
7	ehde
7	gaa&ls
7	gideanu
7	jardaòas
7	jaunas
7	jerub=baa&la
7	jo§uu#s
7	kahds
7	kahjahm
7	kananiteºus
7	leeli=kungi
7	lewits
7	mans
7	nomirris
7	palikt
7	patikke
7	pirmak
7	rohka
7	runnajs
7	úai§tiht
7	úazzidami
7	úew
7	úewim
7	siúúeru
7	ta^
7	tanni^
7	teeúu
7	trihsúimts
7	túchetrdeúmits
7	turren
7	turrenes
7	ugguns
7	uhdeni
7	usòehme
7	wiúúa
7	woj
7	zilti
7	3
7	7
6	abimelekam
6	ahdu
6	ap
6	darriht
6	dehleem
6	d§ihwo
6	eekúcha
6	egiptes
6	eij
6	eita
6	eòìeli
6	gahjuúchi
6	gribbu
6	isgree§tu
6	ittin
6	joaúa
6	kalna
6	kambari^
6	labbu
6	leeku
6	leelu
6	mahtes
6	manna^
6	meitu
6	midijaniteºeem
6	nakti^
6	pazehle
6	peederrigahm
6	raudaja
6	rihta
6	rohka^s
6	úawus
6	sebus
6	sim§aòa
6	§innaja
6	úirdi
6	úirds
6	§tah§tijs
6	§tipri
6	úudraba
6	teekams
6	tehwam
6	tehwu
6	trummeteja
6	uhdens
6	warr
6	warreja
6	ween
6	weh§tus
6	zalmunus
6	zellees
6	14
6	17
6	6
5	akmini
5	amoriteºu
5	ap§kaitahs
5	baa&lim
5	brahïeem
5	darriúim
5	deenai
5	deenas
5	deewus
5	dohúchu
5	drehbes
5	d§ehre
5	d§enn
5	d§ihwokli
5	durwis
5	eebeda
5	eenaidneekeem
5	eenaidneeku
5	gabbalus
5	gideaòa
5	gribbeja
5	gribbi
5	ilgi
5	ispe§tiht
5	isweddis
5	jadarra
5	ka^
5	kahdas
5	kalno^s
5	kananiteºu
5	kaººa^
5	kaººa=spehks
5	kaººa=spehku
5	kaººo
5	íehniòa
5	kurrenes
5	ku§an
5	labbi
5	leeka
5	leetas
5	mahtei
5	mannai
5	mannim
5	midijaniteºus
5	mizpas
5	mizpu
5	nagli
5	òehmis
5	òem
5	neúúe
5	paúchu
5	pilsúahta^
5	pilsúahteem
5	preekúcha
5	prohjam
5	puiúi
5	raddeem
5	rohkahm
5	úagrahbe
5	úaule
5	úawai
5	úawam
5	úchim
5	úchis
5	schohkïa=kaulu
5	seebuls
5	úehdeja
5	semme
5	úeúchúimts
5	sihlus
5	siíemu
5	úitte
5	§tipru
5	tadehï
5	tanni^s
5	taptu
5	tawam
5	taws
5	tehwi
5	trummetehm
5	tuhk§toúcheem
5	usòemt
5	wairak
5	wairs
5	waizaja
5	wedde
5	weetas
5	wezzajee
5	zalmunu
5	zareas
5	ziltim
5	zitteem
5	15
5	19
5	21
5	8
4	abinoama
4	aizinaja
4	a§toòpadeúmits
4	atlaide
4	atminneht
4	atpakkaï
4	atradde
4	auúim
4	baa&la
4	balkúnei
4	beedram
4	benjamins
4	benjamiteºeem
4	brahïus
4	buhtut
4	dabbu
4	daniteºu
4	darrajt
4	deena
4	deenahm
4	deewam
4	derribu
4	dohdeet
4	draud§es
4	drih§
4	d§emdeja
4	d§irdeja
4	duúúeja
4	eebeºa
4	eegahje
4	eemu
4	eeraud§ija
4	eeúchu
4	e§taoles
4	gaïïu
4	gileaditeris
4	gribbam
4	ihpaúchumu
4	isglahbis
4	isluhkoht
4	is§teepe
4	jabina
4	jabinu
4	jaw
4	juhdu
4	kahdus
4	kambaºa
4	kananiteºi
4	ka§lenu
4	íehniòi
4	íeniteºa
4	klauúija
4	kluúúu
4	kohki
4	kungú
4	laiku
4	lehìeri^
4	lihd§i
4	lohzijahs
4	mai§es
4	manaúúus
4	mannahm
4	manni
4	mannis
4	mehneúchus
4	meita
4	moaba
4	nahktu
4	namneekeem
4	neììi
4	neraud§etas
4	no=eet
4	nokauj
4	nomir§t
4	ohtru
4	padohmu
4	pagaòu
4	pahrdewe
4	paleez
4	paúazzihts
4	peederr
4	peeluhd§e
4	peezi
4	pilsúahtus
4	pulka^
4	puúúes
4	rahdijahs
4	rimmon
4	rohbe§chu
4	úakka
4	úaúaukti
4	úaúauze
4	úazzihts
4	úazzijs
4	úcha
4	úchai
4	úche
4	úewis
4	§kaititi
4	§kattijahs
4	úohìi
4	úohìus
4	§peede
4	§tah§ta
4	§tah§tija
4	stipra
4	úweúchineeku
4	tawas
4	tehweem
4	tewim
4	tohròa
4	túchetr
4	tukúneúes
4	uppureja
4	usmoh§ti
4	ustaiúija
4	uswarr
4	wahrdus
4	wahrtu
4	wakkaram
4	walda
4	waldija
4	warram
4	warru
4	weeta^
4	widdu^
4	wihnu
4	wirúneeki
4	wirwes
4	wiúúahm
4	wiúúas
4	zeïïa
4	zeïïeem
4	zelleetees
4	zik
4	zitti
4	10
4	11
4	13
4	2
4	20
4	22
4	23
4	24
4	33
3	abdons
3	adoni
3	akmiòa=kalna
3	akmiòa=kalnu
3	allas
3	amaleíiteºi
3	amoriteºeem
3	apkawe
3	arnoòa
3	atlikke
3	atlikkuúchee
3	at§inne
3	at§taht
3	azzim
3	bahr§iba
3	balkúni
3	baraku
3	betelu
3	bih§tees
3	brihdi
3	brih§cham
3	dabbuja
3	dahwanu
3	darbu
3	darrat
3	debbes
3	ded§amu=uppuri
3	deenas=widdu
3	draud§e
3	drehbehm
3	drohúchi
3	d§ehreenu
3	d§ihdamees
3	d§ihwibu
3	d§ihwoht
3	d§inne
3	dwehúele
3	eeded§inaja
3	eelons
3	ees
3	eglonam
3	eh§eïa
3	eh§eïeem
3	elka=deewus
3	eu&ds
3	galwas
3	gree§ahs
3	gºuhta
3	isd§innis
3	isgahjis
3	isglahbe
3	islaúúiti
3	i§raeïa
3	is§prukke
3	ja&irs
3	jae#le
3	jah§epa
3	jardanu
3	jauneklis
3	jepúchu
3	jerub=baa#la
3	kahda^
3	kahdahm
3	kahjas
3	kahleba
3	kahlebs
3	kaººa=spehka
3	kaººa=wihri
3	kaut
3	kauti
3	íehniòam
3	íenaúa
3	íiriat
3	íi§ona
3	klahtu
3	klauúijúchi
3	kohkeem
3	kohko
3	kohpa^
3	kreiúu
3	kruh§es
3	labbaki
3	lakkuúchi
3	lauka^
3	laupijuma
3	laupijumu
3	lauwa
3	leelus=kungus
3	lewita
3	lihgotees
3	manaúúu
3	mannas
3	maukoja
3	meers
3	mette
3	midijaniteºi
3	millus
3	moh§us
3	mutti
3	nahkam
3	nahkat
3	nahkt
3	nam~a^
3	namneeku
3	nawtalus
3	neeka
3	nei
3	òemmeet
3	neúchíih§ts
3	nodewis
3	nodoht
3	nokaut
3	nokawis
3	nolehze
3	nonahze
3	noúuhtija
3	noteek
3	notikkuúi
3	nozirte
3	oh§ola
3	ohtra^
3	orebu
3	paligu
3	parei§i
3	paúchi
3	patihk
3	patti
3	pawehlejs
3	peekuúúuúchi
3	peewihlis
3	poh§tija
3	pree§teris
3	pulks
3	puús
3	puúúi
3	raúúa
3	ratteem
3	ratti
3	rattus
3	red§ejs
3	red§ejúchi
3	rei§i
3	rihta^
3	ri§ata&imu
3	rohbe§chas
3	úadau§ija
3	úaded§inaja
3	úaguh§tija
3	úai§tija
3	úakki
3	úapulzeja
3	úazzidams
3	§chehl
3	schehla§tibu
3	úcheitan
3	úchinni^
3	úchohs
3	sebulaòa
3	seemeïa
3	úeewai
3	úeptiòúimts
3	úeptita^
3	sihmi
3	siíema^
3	siúúeram
3	úmeeklus
3	sohbins
3	úohìis
3	§paidija
3	§tahw
3	§taigaja
3	starpa^
3	§teid§ehs
3	§tiprinajahs
3	§tiprs
3	stuhri
3	úuhtijs
3	úwehtku=drehbes
3	tahdus
3	tai`
3	taiúijahs
3	tapúi
3	taweem
3	tehwozis
3	tihruma
3	timnatas
3	tohrni
3	trummetes
3	túchetrúimts
3	tukúneúi
3	turòa
3	turreja
3	uhs
3	uppe
3	uszehle
3	wahrda
3	waiza
3	weenam
3	weenas
3	weenigs
3	weh§tis
3	wezzajeem
3	widdu
3	wihram
3	wili§teºeem
3	wiòòpuús
3	wirúneeks
3	wirúu
3	wirwehm
3	wiúúai
3	wiúsapkahrt
3	16
3	25
3	27
3	31
2	abbi
2	abimeleka
2	ah§ers
2	ais
2	aisgahje
2	aisúlehd§e
2	aizinajs
2	akmina=kalna
2	akúu
2	altara
2	altaris
2	amaleku
2	amoriteºi
2	anata
2	apbruòòoti
2	apkritte
2	aplaupija
2	apmette
2	aprakke
2	apúed§e
2	apúehdehs
2	apúmehjuúchi
2	ap§tiprinahts
2	ap§wehrejúchees
2	arrig
2	a§tarotam
2	a§tu
2	atdarrija
2	atdarrijs
2	atdewe
2	atgree§iúchohs
2	atgree§tees
2	atkahpúchanas
2	atlikkuúchi
2	atlizzinaja
2	atminnejúchi
2	atneúúe
2	atraddihs
2	atreebis
2	atreebjahs
2	at§ih§tam
2	at§tahjis
2	at§tahjuúchi
2	audekla
2	augïus
2	augúcha
2	aug§tahm
2	aug§tas
2	augums
2	auúchu=sprahd§i
2	awoúchus
2	baa&l
2	baraka
2	baººahs
2	barribu
2	beedrehm
2	beedris
2	bee§eka^
2	bee§eks
2	benjamina
2	benjaminam
2	benjamiteºi
2	bes§pehzigs
2	bet=seemes
2	betbarai
2	bihjajahs
2	bijis
2	bijuúchas
2	bilde
2	bildehm
2	brahïa
2	brahlis
2	brahïu
2	bruòòas
2	buhdams
2	buhtum
2	dahwajúchees
2	dallija
2	dans
2	darbs
2	darra
2	darram
2	darrita
2	ded§amus=uppuºus
2	deewa=nams
2	dehlus
2	dewiòúimts
2	diwipadeúmits
2	dohúim
2	dohta
2	druwes
2	d§eedaúchu
2	d§eeúmas
2	d§el§u
2	d§emdeúi
2	d§err
2	d§e§tra^
2	d§ihwokïa
2	d§ihwokli^
2	duhre
2	dumpi
2	duúmiba
2	ebzans
2	eedoma
2	eedomiteºu
2	eed§ihwotajeem
2	eela^
2	eelihgúmojahs
2	eenaidneekus
2	eetam
2	eetama
2	eewainoht
2	eewra&ims
2	eewra&imu
2	eezehluúchi
2	eezeïï
2	ehd
2	ehdamo=uppuri
2	ehúeïa
2	eh§eïu
2	eh§t
2	eima
2	elka=deewibu
2	elkadeewibu
2	elku
2	eòìeïa
2	e§bona
2	e§riteºu
2	eu#ds
2	gahjis
2	gaidija
2	gaiúma
2	galwas=mihk§tumu
2	gann
2	gannama=pulkeem
2	ga§era^
2	ga§u
2	gau§chi
2	gazu
2	gideanam
2	ìihmis
2	gileada
2	gileaditeºi
2	gileads
2	gluhneja
2	gluhnetaji
2	grehkojúchi
2	gribbetu
2	gºuhti
2	guh§tija
2	gullejúchas
2	gurneem
2	ihpaúchuma
2	ih§aúchara
2	ik
2	ikkatru
2	illela
2	isbaidija
2	isbehguúchee
2	isdeldeja
2	isdeldeta
2	isd§ihúchu
2	isd§iht
2	isgree§ta
2	isgree§tahm
2	islezz
2	isluhkojuúchi
2	ispe§ti
2	ispe§tijs
2	i§rae#ïam
2	i§rae#liteºu
2	isúlahpis
2	iswedd
2	jabes
2	jabeúa
2	jabeúa^
2	jae#les
2	jakobam
2	jamir§t
2	jardaòai
2	jaunahm
2	jaunakajs
2	jaunekïa
2	jauns
2	jearima
2	jebus
2	jemini
2	jerub=baa&ls
2	jeru§aleme^
2	jeru§alemi
2	jotams
2	juhúa^s
2	juhúeem
2	jumprawibu
2	jumtu
2	kahdi
2	kah§as
2	kakleem
2	kalpeem
2	kalpoht
2	kalpojúchi
2	kalpones
2	kameeïu
2	kanaa&na
2	kaººa=spehkam
2	kaººodams
2	karrogi
2	karrogo^s
2	kaººojs
2	karrúchas
2	kaººu
2	kauj
2	kauúchanas
2	kauúchanu
2	kawejahs
2	íehniòeem
2	klauúajt
2	klauúiht
2	kïua
2	kïuht
2	kreklus
2	kuplu
2	kuººa
2	la#iúu
2	labba
2	labba^
2	labbas
2	lahdeet
2	lahpas
2	lauku
2	ïaunumu
2	lauwas
2	leejas
2	leel=kungu
2	leels
2	lehìeris
2	lewitu
2	lihbanus
2	lihgúmojahs
2	lizzis
2	lohpus
2	luhd§ami
2	luhku
2	lus
2	mahtes=meeúahm
2	mahti
2	mai§i
2	maitas
2	mannus
2	manou
2	manoum
2	matti
2	mattu
2	maukas=behrns
2	mauzibu
2	meddu
2	meega
2	meera
2	megiddus
2	mekle
2	mellojis
2	me§chu
2	me§opotamijas
2	mettehs
2	mihle
2	mi§t
2	moabiteºeem
2	muhúahm
2	muttes
2	nahks
2	nahwei
2	nahzeet
2	nakts
2	nam~a
2	nam~u
2	naudu
2	nawtaïa
2	nawtalu
2	neaugliga
2	òemt
2	neús
2	no=eij
2	nodohs
2	nodohúchu
2	nod§ihti
2	noeet
2	noeij
2	nogahjis
2	nogahjuúchi
2	nogaje
2	nogree§ahs
2	noh§t
2	nokauji
2	nokauúim
2	nokautam
2	nokauti
2	nokauts
2	nolau§ijs
2	noliktu
2	nomeúlotu
2	nomette
2	notikkahs
2	notiks
2	nowedde
2	oh§olu
2	ohtrs
2	owras
2	owru
2	pagalles
2	pahreijamu
2	pahris
2	pahrrunna
2	pakkaïenes
2	paúazzija
2	paúchai
2	paúchus
2	pa§emmoti
2	pa§inne
2	pattike
2	pawehleja
2	peeúauze
2	peewaldiht
2	pe§titaju
2	pildija
2	pilleja
2	pilsúahta=wahrtu
2	pireatoniteºa
2	pirma^
2	pirms
2	pnueïa
2	poh§tiht
2	praúúa
2	prohti
2	puiúcham
