Vârdformu skaits:	1688
Vârdlietojumu skaits:	5948
	
	
338	un
143	tas
123	to
120	ta
115	Un
95	es
94	tee
88	no
87	irr
87	kas
76	KUNGS
62	buhs
62	teem
57	uhs
53	Zebaot
52	ar
52	ka
51	ne
46	tahs
45	úakka
43	tohs
43	wiòòu
41	eekúch
41	ka`
40	úazzija
38	KUNGA
36	wiò§ch
35	wiòòa
33	pahr
31	prett
30	preekúch
30	weens
29	man
28	Deena^
26	bija
26	taps
25	us
25	weenu
24	juhs
24	par
23	Tad
22	Jeru§alemes
22	jo
21	tu
20	Namma
20	pee
20	Ta`
19	Jo
19	Semmi
18	eúmu
18	Jeru§alemi
18	Juhda
17	runnaja
16	§tarp
16	Es
16	ko
16	manni
16	úawu
16	úazziju
16	Semmes
16	weena
15	atkaï
15	tai^
14	1
14	tur
14	zaur
13	Bet
13	mannu
13	Tas
13	Wahrds
13	wiòòo
12	diwi
12	kad
12	tam
11	bet
11	Eòìelis
11	Nammu
11	úawas
11	úewiúchíi
11	ta`
10	Azzis
10	Deewa
10	ir
10	nahks
10	raugi
10	úchahs
10	wiòòas
9	4
9	Deews
9	KUNgs
9	Ïaudim
9	lihd§
9	notikke
9	Pagaòeem
9	Rohkas
9	Úeewas
9	tad
8	arrid§an
8	atbildeja
8	jums
8	mannim
8	mans
8	notiks
8	úawa
8	tohp
8	weenas
8	wiúúas
7	8
7	irraid
7	itt
7	Kri§tus
7	KUNGU
7	leela
7	neds
7	No
7	pa
7	runna
7	Sirgi
7	Tapehz
7	tapehz
7	wairs
7	wehl
7	Widdu^
7	wiúúi
6	Ar
6	Garru
6	iseet
6	Jeru§aleme
6	Jr
6	Juhdu
6	Ka
6	Kas
6	Ïau§chu
6	Ratteem
6	red§
6	red§i
6	úakki
6	úaweem
6	úazzihs
6	úcheem
6	úcho
6	Semme
6	wiúúeem
5	§kattijohs
5	apkahrt
5	augúcham
5	biju
5	Dahwida
5	isgahje
5	ja
5	Jo§uus
5	kahds
5	Ïaudis
5	Leetas
5	Leetus
5	nahk
5	Ne
5	ohtru
5	Pagaòu
5	pazehlu
5	Puúúe
5	Puúúi
5	Rohku
5	Úchee
5	úchee
5	úchinni^s
5	Seemeïa
5	Sirgu
5	úuhtijs
5	Ta
5	tappe
5	Wahrda
5	Wahrdus
5	Wihrs
5	wiòòeem
5	wiúúu
5	Zilts
4	2
4	3
4	7
4	9
4	12
4	§tahw
4	§tahweja
4	atbildeju
4	Awis
4	bij
4	d§ihwohs
4	darrihs
4	darriht
4	darrijs
4	daud§
4	Deena^s
4	dehï
4	Dehla
4	Eòìeli
4	Galwu
4	gribb
4	ikweens
4	isees
4	jelle
4	juhúeem
4	juhúu
4	Íehniò§ch
4	kïuh§t
4	Kungs
4	lai
4	Mohziba
4	ohtra
4	peeluhgt
4	Pilsúahta
4	Praweeúcheem
4	Praweeúchu
4	Praweets
4	Raugi
4	Rohka^
4	úawa^
4	Seltu
4	Semme^
4	Úudraba
4	tahm
4	Tai^
4	tawa^
4	Tehwi
4	tew
4	tewim
4	Weena
4	wiòòam
4	wiúúus
4	Zakariju
4	Zianu
3	6
3	13
3	ahra
3	ak
3	Akmini
3	appakúch
3	Atgree§eetees
3	Atkaï
3	Azz
3	Babeles
3	balti
3	bijuúchi
3	d§ihwo
3	d§ihwoht
3	d§ihwoúchu
3	Darijus
3	Deena
3	Deenas=Widdus
3	deggoúchu
3	Dehlu
3	dohs
3	Drehbes
3	eed§ihwota
3	Eed§ihwotajeem
3	Eed§ihwotaji
3	eekahrúis
3	Eepas
3	ees
3	eet
3	eúúeet
3	eúúi
3	Gadda^
3	Ganneem
3	Gannu
3	gribbi
3	gribbu
3	Ja
3	jauna
3	Judeem
3	Juhºu
3	kahdas
3	Kalns
3	Kauna^
3	Íehniòa
3	klaht
3	Ko
3	KUNGAM
3	kur
3	kuººeem
3	labbas
3	laid
3	Laika^
3	leelas
3	leels
3	Lohpu
3	ïohti
3	Mahzibu
3	mannis
3	Meera
3	Mehnes
3	Mehneúi^
3	Meita
3	Mirtu=Kohkeem
3	Namma^
3	Nams
3	neweens
3	No§eegumu
3	nu
3	Pagaòus
3	pakkaï
3	Papreekúchúluddinaúchana
3	pehz
3	pirmajeem
3	poh§tita
3	Praweeúchi
3	Pree§teris
3	preezaúees
3	Raggi
3	Rihta
3	úapulzinaúchu
3	úatruhdehs
3	úchi
3	Úchis
3	Selta
3	úeptiòi
3	Serubabela
3	úewim
3	Sirgus
3	úluddina
3	Spehku
3	úwehtas
3	tahdas
3	tawas
3	tawus
3	Teeúu
3	tewi
3	trihsdeúmits
3	túchetri
3	túchetrus
3	turrejahs
3	Tuwaka
3	Uij
3	UN
3	Wakkara
3	weddiúchu
3	Weetas
3	Wihri
3	Wihru
3	Zeïïeem
3	zettorta^
3	Ziana
2	10
2	15
2	20
2	§chehloúees
2	§inni
2	§tipri
2	§tiprinajahs
2	§tiprinaúchu
2	§wehre
2	A§kalons
2	aiskaºº
2	Aizinaúchanas
2	Alga
2	Altaºa
2	aprihj
2	apúargahs
2	apúohlihts
2	arri
2	Aúúini
2	atgree§ahs
2	atlikkuúcheem
2	atpe§tiúchu
2	atra§tas
2	atweddiúchu
2	aug§ts
2	Azzi^s
2	Azzim
2	Balkúne
2	behgúeet
2	Behrneem
2	Berekijus
2	bih§teetees
2	bijis
2	bohja^
2	brihniúchíis
2	buhúchu
2	buhtu
2	d§emdinajúchi
2	Darbeem
2	darrija
2	darriúchu
2	Debbes
2	Debbeúi
2	deúmits
2	dohta
2	Drehbehm
2	Dubïus
2	duúmigs
2	Dwehúelei
2	Eed§ihwotajus
2	Eelahm
2	Eelas
2	Eeleija
2	Eeleiju
2	Eenaidneeku
2	Eepu
2	eezelúchu
2	ehdihs
2	Eïjes=Kohki
2	Eòìeïa
2	Eòìeïam
2	eúúim
2	Ewanìeljuma
2	Gabbalus
2	Gaddo^s
2	Gaddus
2	Gaiúma
2	gallejas
2	gan
2	gannamu
2	ganniúchu
2	Gannus
2	Garra
2	Gaººums
2	Gohda=Krehúlu
2	Gohdiba
2	Gohdibas
2	Grehkeem
2	Grehku
2	gull
2	ikkatrs
2	ikweena
2	ikweenu
2	isdeldeúchu
2	isdeldetas
2	iskaiúijúchi
2	isnihzinaju
2	ispe§tihs
2	ispe§tiht
2	iswehlehs
2	J§rae#lu
2	jahj
2	Jaukums
2	jaunu
2	Jddus
2	Jedajus
2	joprohjam
2	Jspoh§tiúchanas
2	Jtt
2	Juhºa^
2	juhúa^s
2	juhúas
2	ka^
2	Kad
2	Kahdi
2	Kallejus
2	Kalneem
2	Kalni
2	Kalnu
2	Kalpeem
2	Kam
2	kam
2	Kar§tuma
2	Kaººa
2	Kaººa^
2	kaººohs
2	kaujamas
2	Kauzeet
2	Íehniòu
2	klauúijúchi
2	kreiúas
2	Krohòus
2	Kunga
2	Kurp
2	labba
2	labbi
2	Lah§ts
2	Ïaunu
2	likúchu
2	Lohpi
2	Luktuºa
2	Mahte
2	Makúu
2	mann
2	manna
2	manneem
2	manno
2	mannus
2	Mans
2	Meeru
2	Meeúa
2	Mehs
2	meklehs
2	melni
2	mette
2	mihlojeet
2	mir§t
2	mohzihs
2	muhúeem
2	mums
2	Muttes
2	Na§ta
2	nahkt
2	nahkuúchi
2	Neììi
2	neììi
2	òehmu
2	Neleetibu
2	neno§eed§igu
2	nepateeúi
2	Ohlektis
2	ohtra^
2	pabeigs
2	padarra
2	Pagaòi
2	pahr§taigaht
2	paklauúiúchu
2	pamohdinaúchu
2	Parahdiúchanu
2	paúargahs
2	Paúaules
2	pateeúi
2	Pateeúibas
2	pawehlejs
2	peekta^
2	peemeklehs
2	PEhz
2	Pehz
2	Pilúsahta
2	Pilsúahteem
2	Pilsúahts
2	Plattums
2	poh§titi
2	Pohdi
2	Pohdneeka
2	Praweetam
2	Praweetu
2	Pree§teºeem
2	Pree§teri
2	Preekúch
2	preekúcha
2	Preekúcha^
2	Preezas
2	Pulka
2	Pulku
2	Raggu
2	Raggus
2	rahdija
2	Red§
2	red§ehs
2	Red§i
2	red§u
2	Úahpe
2	úajuttiúeet
2	úakkahs
2	úalau§ihs
2	úalau§iju
2	úargaht
2	úarkani
2	úarkanu
2	Úatans
2	úatwers
2	úauze
2	úawam
2	úawus
2	úazziht
2	Schehla§tiba
2	Schehla§tibas
2	Schehla§tibu
2	ÚChi
2	Úchi
2	úchíih§tu
2	úehdehs
2	úehdeja
2	Selts
2	úeptiòdeúmits
2	úew
2	úewis
2	Si§li
2	úihki
2	Siòòa
2	Úirdi`
2	Úirds
2	Sirgeem
2	Úluddina
2	Úluddinaúchana
2	Sohbins
2	Úohdibas
2	Spahrni
2	Starpa^
2	Stiprumu
2	Stuhºi
2	Úudrabs
2	Úudrabu
2	Úwinna
2	TA
2	Ta`patt
2	ta`patt
2	tahdi
2	tai
2	Tai`
2	Tam
2	tanni^s
2	tappis
2	Tautas
2	taws
2	Te§tamenta
2	Tee
2	Teeúcham
2	Tehweem
2	Tehws
2	Tobijaúa
2	tomehr
2	Tur
2	turreht
2	Ugguns
2	Uhdens
2	uhstaiúihs
2	ustaiúihts
2	Wahrdi
2	Wahrtim
2	wairak
2	warreni
2	weena^
2	weenigs
2	weenigu
2	Weeta^
2	Weetu
2	Wehl
2	Widdu
2	Widdus
2	Wihna
2	wiòòai
2	wiúúa
2	wiúúa^
2	zaureet
2	Zeeúchanas
2	Zemak
2	Zeppuri
2	Zewanijus
2	Zianas
2	Zilweku
1	5
1	11
1	14
1	16
1	18
1	§aimohs
1	§chehl
1	§chehlojatees
1	§kraidamas
1	§krejam
1	§ohg
1	§palwaiòu
1	§pehzina
1	§tah§tu
1	§tahwam
1	§tahwehs
1	§tahwoht
1	§taiga
1	§taigahs
1	§taigaht
1	§tiprs
1	§uddihs
1	4{5}
1	A§dodas
1	abbi
1	Adad
1	Adraku
1	Ah§chus
1	Ahmatu
1	Ahzelei
1	aisgrahbta
1	Aisúuhtiteem
1	Aiswe§teem
1	aizinaja
1	Aizinaúeet
1	Ak
1	Aklibu
1	Akmiòeem
1	Akmiòi
1	Alwa
1	ap
1	ap§chehlojees
1	Ap§chehloúchanahm
1	Ap§chehloúchanu
1	ap§chehlotees
1	ap§kaituúees
1	ap§tiprinata
1	ap§tiprinati
1	apbehdinajeet
1	apdohmajs
1	apduúmojees
1	apgah§teem
1	apìehrbts
1	apkaitinaja
1	apkohpj
1	apkohps
1	apkrittis
1	aplaupijúchi
1	apleezinaja
1	Apmeúchanas
1	apmettiúchohs
1	Apnikúchana
1	apreppeja
1	aprihs
1	aprihts
1	apúmeetas
1	aptumúchota
1	Apu§tuïu
1	apwilke
1	apwilks
1	apwilkúchu
1	Aúúirijas
1	Aúúura
1	AStota^
1	at§inne
1	ataizinaúchu
1	atbildeht
1	ATdarri
1	atees
1	atgree§chahs
1	atgree§damees
1	atgree§ees
1	atgree§iúchohs
1	atgree§iúees
1	atgree§tees
1	atjemúchu
1	Atkahpajeem
1	atkahpúees
1	atleek
1	Atlikkuúchi
1	atlikkuúchi
1	atlikkuúchu
1	atliks
1	atlizzinata
1	atmakúaju
1	atmettis
1	atnahks
1	atòehmis
1	Atòemmeet
1	atòemúchu
1	atòemt
1	atneúúeet
1	atrahwe
1	Atraitni
1	atweddihs
1	atwehrúchu
1	atwehrts
1	Au§truma
1	aug§ta
1	aug§tam
1	Aug§tiba
1	aug§tu
1	augligus
1	Augïus
1	Augumu
1	Auki
1	Auklis
1	Auúis
1	Awota
1	Awots
1	AzRaugu
1	Azzi
1	ba§unehs
1	Ba§unes
1	Babele^
1	baggats
1	Bah§ana
1	Bahr§iba
1	Bahr§ibas
1	Bahriòu
1	Bailibu
1	Balkúnei
1	Bauúlibas
1	Bauúlibu
1	Bedres
1	bee§a
1	Beedris
1	behd§at
1	behd§eet
1	Behdaúchanas
1	behdigi
1	Behgúchanas
1	behri
1	Behrni
1	Behrnus
1	Beííenis
1	Benjamiòa
1	bes
1	Besdeewiba
1	Besprahtibu
1	bihúees
1	bijat
1	bijuúi
1	Biííeri
1	Brahïa
1	Brahlibu
1	brehks
1	Brihnums
1	Buhúchu
1	buht
1	Bultas
1	d§eedinahs
1	d§ehre
1	d§eººat
1	d§ers
1	D§ihwokli
1	D§ihwoúchanas
1	d§ihws
1	D§iïïumi
1	D§innejam
1	D§inneji
1	d§irdejúchi
1	dabbuhs
1	dahrga
1	dahrgu
1	Dahwids
1	Daïïa
1	Daïïas
1	Daïïu
1	Dama§kus
1	darri
1	darrihts
1	Debbes=Kahpúchanas
1	Debbeúis
1	Deenahm
1	Deenas
1	Deenas=Widdu
1	Deenu
1	Deewa=Draud§es
1	Deewam
1	Deewekïi
1	Deewekïu
1	Deewibas
1	Deewu
1	dehla
1	Demantu
1	Derribas
1	Derribu
1	deúmita
1	dewitas
1	dibbina
1	dibbinajúchi
1	diweem
1	diwejo^s
1	Diwi
1	Diwideúmita^
1	diwideúmits
1	diwkahrtigi
1	Dohbe^s
1	dohmajat
1	dohmajeet
1	dohmajs
1	dohmaju
1	dohúchu
1	Draud§ibas
1	Draudeúchana
1	Draudeúchanas
1	Draugi
1	Drehbju
1	drohúchi
1	Durwis
1	Duúmiba
1	Duúmibas
1	duúmojees
1	Duúmoúchanas
1	duúmoúees
1	duúúeht
1	Duúúeúchanu
1	dzihwohs
1	ee§tahdiúchu
1	Eebr
1	eed§ihwohta
1	eed§ihwohts
1	Eed§ihwotaju
1	eegahje
1	Eejahúchanas
1	eekúcha
1	eekúchíigi
1	Eela^s
1	Eeleija^
1	Eeleijas
1	eemantohs
1	eemantoht
1	Eenaidneeka
1	Eenaidneekeem
1	eenih§tu
1	Eepa
1	eeplehúiúees
1	eepreezina
1	eepreezinahs
1	eepreezinahts
1	Eepreezinaúchana
1	eeraud§ijs
1	eeúchu
1	eeúim
1	eeúwehre
1	Eewra&ima
1	Eewra&imu
1	Eewra#ima
1	eezels
1	eezelta
1	Egipteºeem
1	Egipteºu
1	Egiptes
1	Egiptes=Semmes
1	Eìòelis
1	Eh§eïa=Mahtes
1	Eh§eli
1	Eh§eïu
1	ehdat
1	ehde
1	eij
1	Eima
1	Eite
1	Ekrons
1	Ekronu
1	Eïjes=Behrni
1	Eïjes=Kalns
1	Eïjes=Kalnu
1	Eïjes=Kauúam
1	Eïjes=Kauúu
1	Eïjes=Kohkeem
1	Eïjes=Kohku
1	Eïjes=Luktuºeem
1	Eïjes=Luktuºi
1	Elka
1	Elkonu
1	Enna
1	ES
1	eúúat
1	Gabbaleem
1	Gabbalo^s
1	Gabbals
1	Gabbalu
1	gahje
1	gaidija
1	Gallam
1	Gaïïu
1	Gals
1	Galwa^
1	galwu
1	Ganna
1	Gannam
1	gannama
1	gannams
1	Ganni
1	ganniht
1	ganniju
1	Gans
1	gau§chi
1	gaweht
1	gawejat
1	gawejúchi
1	Gaweúchana
1	Gaweúchanas
1	Gaweúchanu
1	Gawile
1	gawile
1	Gaza
1	Gazas
1	ìeííiga
1	Gibejas
1	Gileadas
1	glahbtai
1	Glihtumu
1	Gohdibu
1	gohdiga
1	Grahmata
1	Grahmatas
1	Grahmatu
1	Gre§niba
1	gree§iúchohs
1	gree§iúchu
1	Greekeºu
1	gudra
1	ih§ti
1	ik
1	ikkatra
1	ikkatras
1	ikweenam
1	ilgaki
1	ilgi
1	is§teepts
1	isbehd§
1	isd§ihs
1	isdallihts
1	isdeldehts
1	isdeldeteem
1	isdeldeti
1	isdohs
1	isdohúees
1	isgahjuúchi
1	isglahbúchu
1	iskaiúiht
1	iskaiúijs
1	iskaiúiúees
1	islaidihs
1	islaidiúchu
1	isleeúchu
1	isnahze
1	isnihzinata
1	isplatta
1	isplauks
1	ispuúchkotu
1	isputtinajs
1	israk§tiúchu
1	isúauze
1	isúiks
1	isúuhtijs
1	istezzehs
1	iswehlejs
1	iswehletu
1	J§rae&ïa
1	J§rae&lu
1	J§rae#ïa
1	ja=atúchíirrahs
1	jadarra
1	Jah§epa
1	jahje
1	Jahtneekus
1	jaktehs
1	jarauda
1	Jardaòa
1	jaunas
1	Jaunekli
1	Jaunekïus
1	Jaunibas
1	Jaunus
1	Jeb
1	jeb
1	jebkuººa
1	Jebu§iteºi
1	jehmu
1	Jemm
1	jepúchu
1	Jeru§aleme^
1	Jo§ijus
1	Jo§uu
1	Jo§uum
1	Jozadaka
1	Jrr
1	Js§tah§tiúchana
1	Jsdeldeúchana
1	Jsdeldeúchanas
1	Jsdeldeúchu
1	Jsleeúchanas
1	Jsrae#ls
1	Jsred§eto
1	Judi
1	Judu
1	Juhºas
1	juhúa^
1	Juhúu
1	Jumprawas
1	Ka`
1	Kadehï
1	kahda
1	Kahds
1	Kahjahm
1	Kahjas
1	kaiteht
1	Kalna
1	Kalpu
1	Kameeïu
1	Kameúchus
1	Kananee#ïa
1	Kananiteris
1	Kaººa=Spehku
1	Kaººa=Stohps
1	Karrohgs
1	kaººojs
1	kaººojúchi
1	Kaukúchanas
1	Kauúchana^
1	Kauúchanas
1	Kauúeem
1	kauúees
1	Íehniòam
1	Íeldajus
1	Kelema
1	Ki§leu
1	klahúees
1	Klaijums
1	Klaijumu
1	Klauúi
1	klauúidami
1	klauúiht
1	klauúija
1	klauúiju
1	klauúiúeet
1	klauúitu
1	kïuhs
1	kïuht
1	kluúúu
1	Kohks
1	Kohku
1	Kohkus
1	kohpa^
1	kohpis
1	kohpta
1	krahúchna
1	kraiúas
1	Kri§tibas
1	Kri§tu
1	krittuúchi
1	Krohòi
1	Kru§ta
1	ku§tinaúchu
1	Kuhliúcheem
1	Kumeïu
1	KUNga
1	KUNGam
1	kungs
1	Kur
1	kuºúch
1	labbad
1	labbeem
1	Labbiba
1	labbo
1	labbu
1	Labbums
1	labbus
1	Labklahúchanas
1	labs
1	Lah§tam
1	Lahpu
1	Lai
1	Laid
1	Laiku
1	lamma
1	Ïauna
1	ïauneem
1	Ïaunuma
1	Laupijums
1	Laupiúchanu
1	Lauwu
1	leed§ahs
1	leek
1	leela^
1	leelahm
1	leelijahs
1	Leetu
1	LEETUÚ
1	Leeweòu
1	Leewenu=Úwehtkus
1	Leeweòu=Úwehtkus
1	leez
1	Leezeet
1	Lehìeºo^s
1	leij
1	lepneem
1	Lepniba
1	Lepnibu
1	Lewja
1	Lihbanu
1	Lihbanus
1	Lihgúmibu
1	lihgúmoúees
1	lihs
1	likke
1	Likkumi
1	likkuúchi
1	likt
1	likts
1	Linga=Akmiòus
1	lizzis
1	lohziúees
1	LUhd§eet
1	Luhgúchanas
1	luhkoht
1	Lukturis
1	ma§o
1	mahzihs
1	Mahzitajeem
1	maitahts
1	maííeniht
1	Makúa
1	maldahs
1	Malku
1	manna^s
1	mannahm
1	mannai
1	mannas
1	Manneem
1	Me§ch
1	Meega
1	meerigu
1	Meeúu
1	Megidus
1	Mehle
1	Mehneúi
1	Mehneúi`
1	Mehra
1	Mehra=Aukli
1	Mehra=Auklis
1	mehºot
1	mehs
1	Mehteli
1	Meitas
1	Meitiòahm
1	mekleht
1	mekleja
1	mekleúchu
1	mellodami
1	mettihs
1	Mihïotaju
1	muh§cham
1	Muhºeem
1	Muhri
1	muhúam
1	Mutte^
1	Na§tas
1	nabbagi
1	nabbags
1	Nabbagu
1	Naggus
1	Naglas
1	nahku
1	nahkuúchees
1	nahkuúi
1	Nahtaòa
1	nahz
1	Nakti^
1	Nakts
1	Nammam
1	Nammi
1	Namms
1	Negantibas
1	Negantibu
1	òehme
1	nekahda
1	neklauúija
1	neleetus
1	òem
1	Òemm
1	òems
1	neneeka
1	nepaklauúigi
1	nepateeúu
1	neprattigam
1	neúchíih§tahm
1	neúchíih§tas
1	Neúchíih§tibu
1	neúchíih§tu
1	Neúúeet
1	neúúeet
1	neúúihs
1	netikleem
1	newa
1	nikneem
1	nizzina
1	no§paiditi
1	no=eet
1	nobeedinaht
1	nodau§iht
1	nodohs
1	nodohúchu
1	nodurs
1	nogah§ta
1	noh§t
1	nokauj
1	nomaitaht
1	nomaitahts
1	nomaitaju
1	nomehºoht
1	Nomett
1	nomettu
1	noneús
1	noúaukta
1	noúauze
1	notikkahs
1	notizzis
1	Oh§oli
1	ohtrai
1	ohtreem
1	pa§ih§tama
1	pa§inna
1	Pa§kubbinaúchanas
1	pa=aug§tinata
1	Padebbeúis
1	Padohms
1	Pagale
1	Pagalmus
1	Pahr
1	pahr§taigadami
1	pahr§taigaja
1	pahr§taigajúchi
1	pahr§taigajt
1	pahrbaudihts
1	pahrbaudiúchu
1	Pahrdewejeem
1	pahrdohs
1	pahrmahzijs
1	palihd§eja
1	palikkuúchi
1	paliks
1	Pamats
1	Pamattu
1	Pamattu=Akmini
1	papillam
1	Papreekúchúluddinaúchanas
1	Papreekúchúluddinaúchanas{Papreekúchúluddiúchanas}
1	Papreekúchúluddinaúchanu
1	Par
1	parahdajt
1	Parahdiúchana
1	Parahdiúchanas
1	paúcha
1	paúchi
1	paúchu
1	Pateeúibu
1	pateeúu
1	pats
1	pazehluúchi
1	Pazell
1	pazeïï
1	pazelts
1	Pe§titajs
1	Pee§kubbinaúchana
1	peekta
1	peeluhgs
1	peemahjohs
1	peemeklejs
1	peeminnehs
1	Peeminneúchanu
1	peeminneti
1	peepilditas
1	peepulzeti
1	peeúauks
1	Peewilúchanu
1	pehdigi
1	Pihúchlus
1	pilni
1	Pilsúahti
1	Pilsúahtu
1	pirmajee
1	pirmaju
1	pirmak
1	Pirmd§imtu
1	poh§tu
1	Praweeúchus
1	Praweeta
1	Pree§teºa
1	Pree§teºam
1	Pree§tereem
1	Preedes
1	Preekúch=Sihmi
1	Preeku
1	Preezajees
1	preezajees
1	Prett
1	pretti
1	prettiturredamees
1	Puiúcheem
1	Pulka^
1	Pulks
1	Puúúes
1	rahdiúchu
1	rahdiúees
1	Raibi
1	raibi
1	rak§tihts
1	Rak§tu
1	Raúúu
1	Ratti
1	Rattus
1	raud§ija
1	Raudaúchana
1	raudaúchana
1	rauga
1	red§edami
1	red§eju
1	REd§i
1	reebahs
1	RegemMekels
1	Rihkus
1	Rimmona
1	Rimoòam
1	Rohbe§chahm
1	Rohka
1	Rohka^s
1	Roka^
1	Ruhkúchanas
1	Runna
1	runnajeet
1	runnajs
1	runnaju
1	úadau§iht
1	úaderrejs
1	Sagïa
1	úagrau§t
1	Sahles
1	úahnis
1	Úahpes
1	úajuhtat
1	úajuttiúi
1	úakka{úak ka}
1	úakku
1	úakrahjis
1	úakuls
1	úakults
1	Úamaitatu
1	úaminn
1	úaplihúihs
1	Úapneem
1	Úapnus
1	úapulzeúees
1	úapulzinahts
1	SarEzers
1	Úargaúchanu
1	Sarri
1	Sarriòi
1	Úatanu
1	úatihta
1	úatihtu
1	Úatreektu
1	úaud§
1	úaud§eúchu
1	Úaule
1	úauzis
1	úawa^s
1	úawahm
1	úawo
1	úaws
1	úazzijs
1	úazziúchu
1	úchahm
1	Úchahs
1	Schehloúchanas
1	úchim
1	úchinni`
1	úchis
1	úchíih§tihts
1	úchíih§tiúchu
1	Úcho
1	úchodeen
1	úchohs
1	Sebat
1	Seema
1	Úeewa
1	úeh§ch
1	Úehkla
1	úehúchu
1	Semnes
1	úeptiòas
1	Úeptiòi
1	úeptita
1	úeptita^
1	Serubabels
1	Serubabelu
1	úewi
1	Si§lus
1	Sibbins
1	Sihdonu
1	Úihkeem
1	Sihlneeki
1	Simejus
1	Sinear
1	Úirdi
1	Úirdi^
