Vârdformu skaits:	6133
Vârdlietojumu skaits:	31747


1352	in
789	to
534	ne
526	tas
488	no
455	kas
420	In
408	ta
407	tee
403	ka
385	us
352	wiò§ch
347	irr
320	Bet
320	teem
315	juhs
303	úazzija
298	tahs
275	pee
262	ar
246	es
216	jums
190	JE§us
189	wiòòa
188	ka`
184	eekúch
183	bija
180	tad
164	buhs
161	Jo
159	Deewa
151	kad
146	ko
146	pehz
143	tam
134	mehs
129	tu
126	zaur
122	tohs
115	arri
112	wiòòu
109	Kungs
108	weens
104	jeb
102	bet
102	Es
102	Tad
101	eúmu
101	úawu
100	par
88	nu
85	eúúeet
83	Kunga
83	mums
81	mannim
74	Kri§tus
72	Brahïi
71	jo
69	tappa
67	pahr
67	Úwehdeena^
65	pats
65	preekúch
63	tohp
61	bij
61	Deews
61	MIhïee
60	weenu
59	Ne
58	Tapehz
57	nahze
57	wiúúu
55	tew
54	manni
54	úawas
54	Tas
52	Dehls
52	man
51	eúúi
50	daud§
49	Kad
49	ta`
49	Tehws
47	ja
47	juhúu
46	úaweem
46	wiúúas
45	úakku
45	tahm
45	tur
44	kam
44	Leetas
43	eúúim
43	Ja
42	ir
42	wiúúi
41	atbildeja
41	Deena^
41	gahja
41	Kas
41	newa
41	wehl
40	Wahrdu
40	wiúúeem
39	JE§u
39	nahk
38	Deewu
38	úawa^
38	úewim
36	gribbu
36	weena
35	lihd§
35	§tarp
34	buht
34	red§eja
33	nei
33	úakka
33	tai
33	Wiò§ch
32	Ïaudis
32	Úwehtku
32	Ta
32	taps
31	Deewam
31	mans
31	prett
31	Waúúaras
30	Garra
30	muhs
30	tawu
29	atkaï
29	Deenas
29	Mahzekïeem
29	nahks
29	úawus
29	Starpa^
29	tewi
29	warr
28	Atúwehtes
28	darra
28	Tehwa
28	tewim
28	ween
27	úazzijs
27	Wahrda^
26	diwi
26	Ka`
26	Kungu
26	lai
26	muhúa
26	pa
26	tapt
26	Tehwu
25	buhtu
25	Meeúas
25	paúchu
25	Rohkas
25	§innaht
25	Zilweka
24	Behrni
24	darriht
24	Garru
24	Gars
24	red§i
24	Semmes
24	tapehz
24	Tee
24	To
23	Ka
23	kahds
23	neneeka
23	úchihs
23	Ta`
23	Wahrda
22	darrijs
22	d§irdeja
22	Juhs
22	Kri§tu
22	Lai
22	Ïaudim
22	rak§tihts
22	úchi
22	úcho
22	Taiúnibas
21	mannu
21	Paúaules
21	úawa
21	tomehr
21	Zilweks
21	zits
20	augúcham
20	kahdu
20	Mehs
20	muhúu
20	Ohtra^
20	pakkaï
20	papreekúchu
20	Red§i
20	§tahw
20	weenam
19	bes
19	Dehla
19	dohd
19	Ko
19	Kungam
19	Laika^
19	Leezibu
19	Mahzekïi
19	Mihle§tiba
19	tanni^
19	Wahrds
18	dehï
18	nahkt
18	Pateeúi
18	runnaja
18	Úchis
18	taptu
17	appakúch
17	arrid§an
17	Behrnu
17	Dehlu
17	Jeru§alemes
17	Kalps
17	kur
17	labbu
17	nahzis
17	paúchi
17	Pehz
17	red§ejúchi
17	tawa
17	tuhdaï
17	wairak
17	wairs
17	wiòòam
17	zehlehs
17	Zeïïu
17	zitti
16	Jeb
16	úazziht
16	úchis
16	Úirds
16	Úwehta
16	teekams
16	Tizziba
15	Balúi
15	Debbes
15	Debbeúi^s
15	d§ihwo
15	Eòìelis
15	gann
15	Gohdu
15	irra
15	kahda
15	KAd
15	kritte
15	manna
15	mannis
15	òehme
15	pateeúi
15	Pehteris
15	Tu
15	wirs
14	Awis
14	deúmiti^
14	dewis
14	JESUS
14	nogahja
14	noh§t
14	pretti
14	red§
14	red§eht
14	Rohku
14	Schehla§tibas
14	tiz
14	Us
14	wiòúch
14	zittus
13	Azzis
13	Brahli
13	buhdams
13	Deena
13	doht
13	d§irdejúchi
13	eet
13	Eòìeïi
13	Eúúeet
13	gribbeja
13	itt
13	juhúa
13	Mahte
13	ohtru
13	preekúcha
13	úazzidams
13	úcheem
13	tik
13	tohpaht
13	wiúúus
13	Zilweku
12	ap
12	Bauúlibas
12	Behrns
12	Brihdi
12	Dahwida
12	Deenu
12	d§ird
12	Grehkeem
12	isgahja
12	Kahjas
12	Íehniò§ch
12	labbi
12	Leetahm
12	Lihd§ibu
12	luhd§e
12	Mai§es
12	manna^
12	muh§chigu
12	paleek
12	parei§i
12	runnaht
12	Ú
12	úazzihs
12	úazzihts
12	teeúcham
12	Tew
12	trihs
12	wiòòas
12	wiús
12	wiúúa
12	Zilwekeem
11	atkal
11	atradde
11	darrija
11	eekúcha
11	Eúúi
11	Gohdibu
11	ikweens
11	labbas
11	Laiks
11	Leeldeenas
11	likke
11	mannas
11	No
11	notikkahs
11	Paúaule
11	Pilsúatu
11	Prahts
11	runnajs
11	úewi
11	Úwehtu
11	taws
11	treúcha^
11	weena^
11	weenumehr
11	Wiòòa
11	zittu
10	Augïus
10	bijis
10	Debbeúim
10	eij
10	Gaiúma
10	Galda
10	Gohdibas
10	Grehku
10	Jahnis
10	jautaja
10	Kalpi
10	labs
10	Laiku
10	ïohti
10	Mantu
10	Meeru
10	Meeúa^s
10	neka`
10	Paúaul
10	paúcha
10	paúcha^
10	Prahta
10	úchinni^
10	Sihmes
10	§innam
10	Úwehti
10	tawa^
10	tawas
10	Tizzibas
10	tohpam
10	Treúcha^
10	Tur
10	Uhdeni
10	Zeetuma^
10	zitta
9	ahra
9	Abra&a&ms
9	Behda^s
9	Behrnus
9	Darbus
9	dewe
9	diwipadeúmits
9	dohts
9	Drahnas
9	D§ihwoúchanu
9	Eekúch
9	Eòìeïeem
9	Gaiúmas
9	Galilejas
9	Garra^
9	Gohds
9	Grehkus
9	IN
9	I§ra&e&ïa
9	ka^
9	kamehr
9	ïaunu
9	leelu
9	Meeúu
9	Mihle§tibas
9	nahkuúchi
9	Namma^
9	no=eemu
9	Nu
9	patt
9	patti
9	Praweti
9	úakki
9	úauz
9	Schehla§tiba
9	Schehla§tibu
9	Seemas
9	Semme^
9	Sihmi
9	Úirdi
9	Spehka
9	§tahweja
9	taggad
9	tizz
9	Tizzibu
9	Wahrdeem
9	Wahrdus
9	Weetu
9	Wihri
9	wiúúahm
9	Zittam
8	aizinati
8	biju
8	brihnijahs
8	Dahwanas
8	Dahwanu
8	Darbeem
8	darrajt
8	darrihs
8	D§ihwiba
8	D§ihwoúchanas
8	eúúohts
8	Gallam
8	Gans
8	grib
8	Jeru§alemi
8	juhúas
8	Kalpeem
8	Kru§ta
8	Labbumu
8	ïauna
8	Mahria
8	Mahzitajs
8	ma§u
8	Meers
8	Miººoòeem
8	Mo§us
8	nomirris
8	padeúmita^
8	Pagani
8	paúcham
8	paúchas
8	pa§ih§tu
8	pawehleja
8	pilns
8	Prawets
8	red§eúeet
8	Sauls
8	úauze
8	úchim
8	Úirdi^s
8	Úlawu
8	úuhtijs
8	úwehts
8	Teem
8	Tehwam
8	tizzaht
8	tohpi
8	tuwu
8	wajaga
8	Wal§tibas
8	warraht
8	warretu
8	Weeta^
8	Wihra
8	wirú
8	zehlees
8	Zellees
8	Zilts
8	Zilweki
7	Aúúinim
7	Ba§nizas
7	Behrneem
7	BEt
7	Brahïeem
7	darrijúchi
7	Deenai
7	Dehlam
7	deúmita^
7	dohta
7	d§immis
7	ee=eet
7	eeúahke
7	ehd
7	Eita
7	eúúam
7	ikweenam
7	Jahòa
7	Judi
7	Ka^
7	klaht
7	Kri§tum
7	Kungeem
7	labba
7	labbaki
7	Laika
7	Ïau§chu
7	Leel=Deenas
7	leels
7	lihgúmi
7	Mahrias
7	mahziht
7	Mans
7	Meera
7	mekle
7	mihle
7	mihleht
7	muh§cham
7	Nammu
7	neds
7	nekahda
7	neús
7	notikke
7	notiks
7	notizzis
7	ohtra^
7	paklauúigi
7	Parada^
7	Paúaule^
7	pa§ih§t
7	pawehlejs
7	peedarr
7	Peekta^
7	Red§eet
7	Úeewa
7	§inna
7	§innaja
7	§innu
7	Spehks
7	Spehku
7	úuhtija
