Vârdformu skaits:	1851
Vârdlietojumu skaits:	8081
	
	
515	in
153	irr
142	to
137	kas
136	tas
121	no
112	ne
109	deewa
97	ka
97	ta
92	es
82	buhs
78	ar
76	eekúch
74	atbildi
74	deews
70	teem
60	tew
59	ka`
58	tahs
57	pee
57	tu
53	mums
53	par
52	bet
46	kri§tus
46	zaur
42	kungs
42	mehs
42	us
40	juhs
39	tee
38	tam
38	tawu
38	tohs
37	muhúu
37	úawu
32	amen
32	arrid§an
32	je§us
32	ko
31	wiò§ch
30	grehkus
30	jo
30	tehws
30	wiòòa
29	úwehta
27	manni
27	ta`
26	man
26	tad
25	úwehtu
24	deewu
24	jums
24	mannu
23	jeb
23	kri§tu
22	grehkeem
22	kad
22	pehz
21	kungu
21	wiúúeem
20	dohd
20	eúmu
19	je§u
19	muhs
18	meeúas
18	n
18	tewi
18	wahrda
17	eúúi
17	luhd§am
17	neds
17	tawa
17	tizzu
17	weenu
17	wiúúu
16	ja
16	kunga
16	preekúch
16	wahrdeem
15	debbeúi^s
15	luhgúchana
15	úirds
15	wahrdu
14	debbes
14	garra
14	grehku
14	kam
14	labbu
14	mannim
14	mihïajs
14	mihleht
14	peedoht
14	úakka
14	tohp
14	wiòòu
13	ba§nizas
13	deewam
13	gribbi
13	laid
13	mannus
13	nu
13	úawas
13	úaweem
13	tehwu
12	eúúeet
12	pahr
12	paúchu
12	úazzija
12	taws
12	tehwa
12	wehl
11	bihtees
11	ir
11	lihd§
11	mahza
11	mans
11	schehla§tibu
11	tizzibas
11	ween
10	buht
10	d§ihwo
10	garru
10	kungam
10	labbi
10	rohkas
10	semmes
10	úwehtas
10	tahm
10	teeúcham
10	tik
10	weens
10	wiúúus
9	darra
9	gars
9	grehki
9	luhgúchanas
9	muh§chigi
9	muh§chigu
9	muhúa
9	nahwi
9	peedarr
9	úeewas
9	úwehts
9	tawas
9	tihúchi
9	tiz
9	uhdens
9	wahrds
9	zilwekam
9	zilweks
8	ak
8	d§ihwoht
8	darrajt
8	darriht
8	debbeúu
8	dehla
8	dehls
8	eet
8	gribbetu
8	gribbu
8	lai
8	mai§i
8	meeúu
8	pameúchanu
8	prahts
8	rohku
8	úchinni^
8	úcho
8	úeewu
8	úewi
8	úwehtajs
8	tahdu
8	tapehz
8	tizziba
8	wahrdi
8	wiúúas
7	behrni
7	dehlu
7	draud§ibu
7	grib
7	jemmeet
7	ïaudis
7	luhd§ahs
7	mahti
7	paleek
7	pats
7	peed§immis
7	peedohti
7	prahtu
7	prett
7	úakkajt
7	úawa
7	úcheem
7	úwehti
7	tur
7	tuwaku
7	warru
6	§chehl
6	aúúinu
6	bauúchïeem
6	bes
6	d§ihwoúchanu
6	dahrgu
6	darbeem
6	deúmits
6	doht
6	eejemts
6	eh§t
6	galdu
6	kri§tiba
6	kri§tibas
6	labba
6	labs
