Vârdformu skaits:	5136
Vârdlietojumu skaits:	25733


1230	in
702	irr
618	ne
590	to
422	tas
336	kas
317	ta
313	no
270	wiò§ch
269	ka`
258	ka
231	tu
217	ar
210	tad
204	pee
201	In
196	tam
183	wiòòa
171	tee
155	kad
151	úawu
150	teem
135	tew
133	tahs
121	Jo
117	us
116	Ne
116	par
114	buhs
114	warr
112	pehz
106	Kas
106	ko
105	tohs
97	bet
92	jo
89	daud§
85	Ta
83	pahr
82	arrid§an
82	wiòòu
80	Deewa
74	Wiò§ch
73	tohp
71	kahds
70	labbi
68	bija
68	tawu
67	weens
66	ta`
66	wiòòam
65	Bet
64	wehl
59	eúúi
58	es
58	Kungs
57	tewi
52	darra
52	Úirds
52	13
51	Nodaïïa
51	12
51	14
51	17
51	4
51	5
51	6
51	7
51	9
50	10
50	11
50	15
50	16
50	18
50	19
50	2
50	3
49	atkaï
49	Kad
49	kam
49	tik
49	wiúúu
49	8
48	neka`
48	20
48	21
46	kahdu
46	wiòòas
45	Deews
45	22
44	preekúch
44	23
43	Ïaudim
43	prett
43	24
42	dohd
42	25
41	kahda
41	Kungu
41	úew
41	26
40	buht
40	Ïaudis
40	27
39	man
39	úawas
39	Tas
38	zaur
37	Kunga
36	Leetas
35	weena
35	28
34	darriht
33	buhtu
33	29
32	dehï
32	ja
32	kur
32	weenu
31	dohma
31	jeb
30	Ka`
30	kïuh§t
30	Zilweks
30	30
29	itt
29	paleek
29	úawa
29	wiús
28	labbu
28	parei§i
28	Wahrdu
28	ween
27	bih§tahs
27	Deúmiti^
27	kamehr
27	labpraht
27	wiúúas
27	31
26	alla§chiò
26	Deewu
26	runna
25	darr
25	darri
25	darrijs
25	eekúch
25	eúmu
25	patihk
25	red§
25	tawas
24	Behrneem
24	Es
24	muh§cham
24	nahk
24	úewi
24	Úirdi
24	turr
24	1
24	32
23	d§ihwo
23	Mantu
23	pats
23	Úeewa
23	Semmes
23	tai
22	gann
22	grib
22	Labbu
22	Laika^
22	noh§t
22	Padohmu
22	paúchu
22	tawa
22	Tee
22	waijaga
22	warretu
21	leelu
21	neneeka
21	úaweem
21	tapt
21	tatúchu
21	Wahrds
20	Behrns
20	bes
20	Deewam
20	Gudriba
20	ir
20	Leetu
20	úawa^
20	tomehr
20	wairak
19	apkahrt
19	aug§ti
19	Gudribu
19	Ïauna
19	palihd§
19	tur
19	33
18	Grehkeem
18	neds
18	úawus
18	Wihrs
18	wiúúeem
17	Darbu
17	Gohdu
17	Gudribas
17	leela
17	Tad
17	tikkai
17	zik
17	Zilweku
16	Behrni
16	Draugu
16	ganna
16	Ïau§chu
16	Leeta
16	paúcham
16	úewis
16	Ta`
16	tewis
16	Ugguns
16	Uhdens
16	34
15	alla§ch
15	Azzim
15	Azzis
15	jepúchu
15	laid
15	lihd§
15	Mutti
15	pa
15	pirms
15	Rohkas
15	Schehla§tibu
15	Úeewas
15	§tarp
15	Tapehz
15	taps
15	taws
15	wiúúi
14	darrija
14	Da§ch
14	Gohda^
14	juhs
14	Ka
14	labba
14	labbaki
14	Ïaunu
14	leels
14	mannis
14	muh§chigi
14	mums
14	No
14	ohtru
14	padarr
14	turrahs
14	Wahrda
14	Wahrdus
13	Bauúlu
13	Bauúlus
13	Behda^s
13	Besdeewigs
13	Debbes
13	Draugs
13	Duúmiba
13	Galla^
13	Grehki
13	Ja
13	klahjahs
13	klaht
13	leekahs
13	lihd§i
13	Mahzibu
13	mannim
13	Manta
13	noteek
13	paúcha
13	Tehwu
13	To
13	warri
13	weenam
13	Wihru
13	Wiòòa
12	baggats
12	bij
12	dabbu
12	Deenas
12	Laiku
12	Nabbagam
12	Nahwe
12	Nelaime^
12	newa
12	pahrleeku
12	Schehla§tiba
12	tahdu
12	Tam
12	tappa
12	tewim
12	Tu
12	Wahrdeem
12	35
11	behda
11	Eenaidneekeem
11	Ìeííis
11	kahdas
11	Kauna^
11	Kungam
11	Labbi
11	labs
11	mahza
11	nei
11	papreekúcha
11	raddijs
11	Rohku
11	Semm
11	tawam
11	turreht
11	Tuwaku
11	wiòúch
11	Zilwekam
11	36
11	37
10	Behrnu
10	Besdeewigo
10	Darbs
10	dewis
10	eekúcha
10	eet
10	Ìeííi
10	Gohda
10	gudrs
10	Leetahm
10	mahziht
10	mannu
10	mehs
10	mekle
10	neparei§i
10	pretti
10	Úaule
10	úawahm
10	Selta
10	§inn
10	tahds
10	tahm
10	tapehz
10	taweem
10	teikt
10	teiz
10	turri
10	Weens
10	Wihns
10	wiúúahm
10	wiúúus
10	zitteem
9	Behdas
9	Besdeewigeem
9	bihtees
9	dabbuht
9	Dahwanas
9	Dehls
9	diwi
9	D§ihwoúchana
9	Eeúahkuma
9	gribbi
9	Ittin
9	Kaunu
9	Íehniòa
9	ïauna
9	lizzis
9	ïohti
9	Mantas
9	ma§
9	Naudu
9	Prahtu
9	Preeku
9	úakka
9	Úpehku
9	tadehï
9	Teeúu
9	Ugguni
9	Uppurs
9	wairs
9	warran
9	Wihram
9	wiúúa
9	wiúúai
9	Wiúúu=aug§taka
9	Zettorta^
8	apdohma
8	Ar
8	bijs
8	Darba
8	Darbus
8	Draugi
8	drih§
8	eepreezina
8	eh§t
8	eúúus
8	Ìeíía
8	Gohdibu
8	Gohds
8	Grehkus
8	Gudrs
8	ikkatram
8	ilgi
8	jaw
8	kïuhs
8	Kungeem
8	Labba
8	labbad
8	leek
8	Leeta^s
8	manni
8	mihle
8	NE
8	notiks
8	Ohtra^
8	pateiz
8	pirmak
8	poh§ta^
8	runnaht
8	úargajees
8	§tahw
8	tappe
8	tappis
8	tawi
8	Treúcha^
8	wajaga
8	waldiht
8	Walloda
8	weenas
8	zerre
8	Zilwekeem
8	zitti
8	zittu
8	zittus
7	aismir§ti
7	appakúch
7	Ak
7	Augïus
7	baggati
7	Ba§nizas
7	Dahwana
7	derr
7	deúmiti^
7	dewe
7	Dohma
7	drohúchi
7	d§en
7	d§ihwoht
7	Duúmibu
7	Eenaidneekus
7	eenihd
7	Galwu
7	gan
7	gudri
7	gudru
7	gull
7	ikkatru
7	Irr
7	Itt
7	Kam
7	Kaunajees
7	Ko
7	kohpa^
7	laimejahs
7	ïaunu
7	leelas
7	leez
7	luhd§
7	Mahziba
7	Mans
7	Meera
7	Meeru
7	Meita
7	Mihïajs
7	mihïi
7	muh§chu
7	nahks
7	nahkt
7	Netaiúnibas
7	newaid
7	pa§iht
7	Peekta^
7	Preeks
7	raddihts
7	Rohka^
7	Rohka^s
7	úahp
7	Úirdi^
7	§tahweht
7	§taiga
7	Taiúnibu
7	tawa^
7	Tehwa
7	Tehwam
7	teikts
7	tohpi
7	Uppuru
7	Wainas
7	Waïïu
