Vârdformu skaits:	84
Vârdlietojumu skaits:	111
	
	
6	in
4	ir
3	Deews
3	gan
3	kas
3	Tas
2	§tipprais
2	ar
2	beikt
2	Brahl
2	Kas
2	man
2	ne
2	pahri
2	ta
2	war
2	wehl
1	§akki
1	§azziht
1	§chadu
1	§cheitan
1	§chlazziht
1	§innu
1	§irdis
1	§taw
1	Akmintino§ch
1	Algs
1	buhs
1	d§iht
1	d§ihwoht
1	D§imtu
1	Deewu
1	droh§ch
1	Ee§ahkoht
1	eek§ch
1	es
1	gah§chahs
1	Garring§ch
1	Gohds
1	jau
1	Jo
1	Ka
1	ka
1	kad
1	krahjas
1	Kungs
1	M
1	Mahjahs
1	Mallohs
1	Man
1	mehds
1	miht
1	Mutte
1	Mutteh
1	pa§cham
1	Paggans
1	Pats
1	Platonam
1	Prettineekus
1	pu§chkos
1	Reds
1	ruhk§t
1	Schwarru
1	Schwinnu
1	skils
1	Skohlas
1	tam{ta~}
1	tas
1	Taws
1	tehs
1	teikt
1	Tew
1	tew
1	tohs
1	Trihs
1	truhx§t
1	Tu
1	turri
1	W
1	Wahrdeem
1	War
1	Warru
1	wehlet
1	wis§ohs
