Vârdformu skaits:	252
Vârdlietojumu skaits:	327
	
	
7	un
5	ar
5	tas
5	Tew
5	war
4	ka
4	kas
4	ko
3	Ar
3	Auns
3	eekúch
3	ir
3	ne
3	ne§t
3	úchis
3	Tas
3	wingúch
2	§tahw
2	AUNS
2	buhs
2	buht
2	CASPARUS
2	grib
2	JOHANNES
2	Ka
2	kad
2	Kah§as
2	kahdu
2	labbu
2	neds
2	O
2	PAR
2	úcho
2	SCHOEPS
2	Spehks
2	Ta
2	tad
2	tahs
2	tam
2	tohs
2	Tu
2	tu
2	Un
1	1702
1	§akki
1	§chnauds
1	§cho
1	§paidiht
1	§peh§chahs
1	§tippris
1	13ta
1	Ak
1	ak
1	apdohmata
1	atmakúa
1	Aug§ti
1	Auglus
1	Augïus
1	Auna=Na§ta
1	Aunu
1	awok§naiòa
1	balta
1	baltu
1	baººoht'
1	Beedru
1	Behdu=Dad§chohs
1	Bet
1	Bïohdahm
1	Brockhau§en
1	Buhs
1	Con=Rectors
1	d§iïïahm
1	darr'
1	dauds
1	Deen
1	Deena^
1	Dehlubiòò'
1	DEwa
1	DEwiò
1	DEwiò§ch
1	DEwingúchs
1	DEws
1	Dohd
1	dohd
1	Draugam
1	droh§chi
1	drohúcham
1	drohúchi
1	eeúch
1	eh§t
1	ELISABETH
1	Es
1	gaidiht
1	Galdu
1	Gallam
1	Gallu
1	Gaïïu
1	Galwa^
1	Gohda^
1	Gohda=Tikkumeem
1	Gohdahm
1	Gohdigs
1	Gohds
1	Grehkus
1	gribb
1	Gruhtibaa^
1	gruhts
1	i§teni
1	it
1	itt
1	ja
1	Jaunekïus
1	jauns
1	jeb
1	Jehrs
1	Jo
1	juhs
1	Jump
1	Jumprawing
1	jums
1	Ka`
1	Kad
1	kahds
1	Kahúas
1	kam
1	Kapehz
1	Kas
1	Kauns
1	klaht
1	Ko
1	Kummoú§iòòu
1	Kungs
1	Kur
1	Lab
1	labbam
1	labbi
1	Labbumu
1	Laid
1	Laiziògúchs
1	laupiht
1	Leek
1	leen
1	leetu
1	leez
1	Leezineeks
1	Lehniba^
1	lihg§mu
1	likke
1	liks
1	luhd§ama
1	MAGDALENA
1	Mahzibahm
1	mahziht
1	Mahzihts
1	Mai§'
1	Mai§es
1	Majus
1	Mallam
1	mallis
1	Mallu
1	man
1	mann
1	mans
1	me§t
1	Michäel
1	Mihïakais
1	mihzijis
1	nahk
1	ne§dams
1	Ne§t
1	Neds
1	Needru
1	òem
1	Nemeers
1	nered§eht
1	nes
1	newaid
1	no
1	pa
1	Pahrwehrtiúchana^
1	pallihds
1	pane§t
1	panes
1	paneúama
1	PANESE
1	PARNEÚE
1	pee
1	Peena=Kaºioht
1	pikts
1	pilnigas
1	pliks
1	Prahtu
1	praúúees
1	Preeka
1	Rak§tu
1	raúúees
1	Reds
1	Rigas=Kehniòa=Lyceu^s
1	Rohkahm
1	úaldahm
1	úaldu
1	úaturr
1	úawahm
1	úawam
1	úawas
1	úchahs
1	Úche
1	úchepat
1	SCHIS
1	SChis
1	ÚCHJS
1	úchlinkodams
1	SCHO
1	ÚCHO
1	úchohdeen
1	úchohs
1	Úchwinnu=Mahzibas
1	úewis
1	Siòòu
1	Úirdi
1	Úirds
1	úmelúi
1	Spiguïaht
1	Úwedreem
1	Úweedru
1	Talabbad
1	taupiht
1	Tawu
1	teem
1	thiúchu
1	tizz
1	To
1	to
1	Tohs
1	turreja
1	uhsturreht
1	War
1	warr'
1	we§t
1	wehl
1	Wezzakeem
1	wi§kim
1	wi§notahï
1	Wilka^=Kuhts
1	Willu
1	wing§ch
1	wirúu
1	wiúúeem
1	Wittenburg
1	zeenijamas
1	zeetigs
1	zeetus
