Vârdformu skaits:	64
Vârdlietojumu skaits:	79
	
	
6	und
4	ka
3	man
2	es
2	Malkas
2	peetizzighe
2	py
2	teem
1	§allickt
1	§chaubitees
1	§wähts
1	§wehru
1	ar
1	arrid§an
1	bett
1	buht
1	dahwaneem
1	darri§chanu
1	Deews
1	ee§chkirrt
1	Es
1	Ewangeliyums
1	ghoddige
1	gribbu
1	jeb
1	jemt
1	jemts
1	kahdu
1	Kattras
1	Kemmerkungho
1	krauet
1	leetas
1	lick
1	lohzit
1	Malkas=prezze
1	nehds
1	neheparei§u
1	paklau§iht
1	pallihds
1	parei§e
1	pawehle§chanai
1	preek§ch
1	Rahtes
1	runnayu
1	tai
1	tas
1	tee§cham
1	tho
1	tik
1	tikku§che
1	tohpu
1	turretees
1	us
1	währa
1	wahrds
1	warr
1	wi§sa§chke
1	wi§sade
1	wi§sas
1	winja
1	Wrahke§chanas
1	Wrahkereem
1	Zeenigho
1	zelteem
