Vârdformu skaits:	67
Vârdlietojumu skaits:	86


6	un
5	jeb
3	es
3	ka
2	dariet
2	gribbu
2	kadu
2	neds
2	pee
2	§öw
1	aisleektu
1	arri
1	arridzan
1	äßmu
1	auglus
1	bett
1	brakeh§chanai
1	dawanu
1	deews
1	d§erramu
1	eek§chan
1	ewangeliums
1	ghoddigi
1	jemt
1	kadus
1	kannep=kuhleju=ammatu
1	kannepeem
1	kurru
1	lickt
1	linneem
1	mann
1	mekleht
1	naudu
1	nehkadu
1	nehneeka
1	neh§kie§tu
1	ney
1	no
1	pallieds
1	peenahkahß
1	peetitzigi
1	pretz
1	runnaju
1	§ajaukt
1	§cho
1	§eett
1	§tarpa
1	§wäru
1	§wätz
1	ta
1	tai
1	teem
1	tee§cham
1	tieriet
1	tik
1	tikku§chi
1	to
1	truwi
1	turrehtees
1	us
1	usjemts
1	wiltu
1	winja
1	wi§i
1	zaur
1	zeïïu
1	zittu
