V‚rdformu skaits:	98
V‚rdlietojumu skaits:	137
	
	
6	gribbu
5	un
5	und
4	jeb
4	ka
4	pee
3	ßˆw
3	likt
2	eekßchan
2	es
2	kas
2	mann
2	neh
2	paßl‰pts
2	peetitzigi
2	praﬂiet
2	top
2	truwi
2	turrehtees
2	wißßu
2	zaur
1	ßajutu
1	ßcho
1	ßchw‰tz
1	ßinnamu
1	ßtradaht
1	ßw‰ru
1	aißleektu
1	Allghadßcheem
1	‰ﬂmu
1	atraut
1	Auglus
1	bett
1	buht
1	Dß‰rramu
1	dßerramu=Naudu
1	darriet
1	Dawanu
1	Deews
1	Eejemßchanas
1	Eejemdams
1	Es
1	eﬂ
1	Ewangeliums
1	ghaddigi
1	ghoddigi
1	ghodigi
1	irr
1	Jkattram
1	Jﬂdoßchanas
1	Jﬂdohdams
1	kadu
1	kadus
1	klat
1	kurru
1	Leetahm
1	Liggero=Ammatu
1	M‰hroht
1	M‰hru
1	man~
1	meklehdams
1	Naudu
1	nehpalaißtees
1	nehweenu
1	Nei
1	nei
1	No
1	otram
1	palieds
1	parr
1	pary
1	patz
1	peelikt
1	peewiltees
1	pretz
1	runnaju
1	taiﬂnu
1	teeßcham
1	teeﬂu
1	tik
1	tikklabb
1	tiklabb
1	tikußchi
1	to
1	uß
1	ußßatziet
1	ußjemts
1	ußtitzehts
1	uﬂ
1	weenam
1	weeneem
1	wißßahm
1	Wieße
1	winja
1	winjeem
1	Zellu
1	zitteem
1	zittu
