Vârdformu skaits:	987
Vârdlietojumu skaits:	2351


137	un
55	to
45	irr
41	kas
36	no
31	ka
31	Un
30	ta
28	ar
28	ne
21	us
20	tas
19	es
18	Kungs
18	tu
17	tee
17	teem
16	Bet
15	mums
14	par
13	úawu
13	wiòòa
12	bija
12	Íehniò§ch
12	Leetas
12	mehs
12	pee
11	kad
11	muhúu
11	pahr
11	zaur
10	arri
10	Deews
10	preekúch
10	wiòòu
10	wiò§ch
10	wiúúas
10	wiúúu
9	eúúi
9	ka`
9	nu
9	ween
9	wiúúeem
8	ak
8	bet
8	bij
8	jo
8	Jo
8	ko
8	pehz
8	úazzija
8	úcho
8	tahs
7	diwi
7	Íehniòa
7	labbi
7	lihd§
7	muhs
7	prett
7	ta`
6	darrijs
6	Deena^
6	Deewa
6	eúúam
6	Gohdu
6	Kad
6	Ïaudim
6	man
6	úawas
6	tappe
6	tew
6	wiúúahm
5	arrid§an
5	buhs
5	Deewu
5	eúmu
5	isdeldeht
5	ïohti
5	Mardokajus
5	pretti
5	§inni
5	tad
5	tahm
5	Tapehz
5	Tautahm
5	weens
5	weenu
5	wiòòas
4	Ahmans
4	bes
4	darriht
4	Dehla
4	Dehls
4	eekúch
4	Galwu
4	Gohda^
4	ir
4	jeb
4	kam
4	Ïaudis
4	Leetahm
4	mannu
4	úchi
4	Semmes
4	tahdu
4	tawu
4	tik
4	tohs
4	Wal§tibu
4	wiòòam
4	Zilwekeem
3	alla§chiò
3	Ahmaòa
3	Ak
3	Amadata
3	Artak§erkúes
3	Behrneem
3	Bihjaúchanas
3	daud§
3	Deenas
3	dewis
3	eemantojamu
3	Es
3	eúúu
3	Gadda^
3	gann
3	Ka
3	ka^
3	Íehniòam
3	Kungu
3	ïaunu
3	Ïau§chu
3	manna
3	Meeru
3	muh§cham
3	muhúeem
3	Mutti
3	nahk
3	peeluhd§e
3	peeúauze
3	Pilli^
3	Ptolemejus
3	úawa^
3	§tarp
3	taiúijahs
3	taps
3	Tas
3	Tauta
3	tawas
3	Teeúu
3	tewi
3	Tu
3	Warru
3	wehle
2	apòehmees
2	Ahbra&a&ma
2	Ahdara
2	Azzim
2	Bauúlibahm
2	Behdas
2	Behdu=Laika^
2	Breeúmas
2	dabbuht
2	Daïïas
2	darram
2	darriti
2	Deenu
2	dewe
2	diwideúmits
2	d§ennahs
2	Dumpja
2	eepreezinaja
2	Eetiopijai
2	E§tere
2	gahje
2	Gaiúma
2	Glihtumu
2	Gohdibas
2	gohdigi
2	Grahmatahm
2	Grahmatas
2	gribbu
2	isnihzinaht
2	ispe§tijs
2	istruhzinajahs
2	iswilke
2	itt
2	J§rae#ls
2	Judu
2	juhs
2	jums
2	Jums
2	Kalpone
2	Íehniòu
2	kïua
2	Kunga
2	Labbadarritaju
2	labbu
2	leelajs
2	leels
2	Lehnibu
2	lepnu
2	mann
2	manna^
2	mannas
2	mannim
2	Mardokajum
2	Mehnes
2	Mehneúi^
2	muhúas
2	nahze
2	Ne
2	neds
2	neneeka
2	neno§eed§igu
2	ne§t
2	newaid
2	noteek
2	ohtrajs
2	ohtru
2	pa
2	padarrijs
2	Padohmu
2	Padohmus
2	Paliga
2	palihd§
2	paúcha^
2	patt
2	pazehle
2	peeluhgt
2	Peeminneúchanu
2	Pehz
2	Per§eºu
2	preekúcha^
2	Preeku
2	Preezibu
2	Puhíi
2	raugi
2	red§ejs
2	red§eju
2	reebjahs
2	Úaule
2	úaweem
2	úchahm
2	úchahs
2	úchihs
2	úchis
2	úew
2	úimts
2	Úirdi
2	Úirds
2	úlawe
2	Suh§as
2	Tad
2	tai
2	Taiúnibu
2	tam
2	Tautas
2	tawa
2	Tawa
2	taws
2	Tehwu
2	Trohkúnis
2	tur
2	turrahs
2	turrejúchi
2	Uhdens
2	UN
2	Uppe
2	uslehze
2	usrak§tija
2	walda
2	waldija
2	Waldiúchanu
2	Walditajeem
2	Walditaju
2	warr
2	warretu
2	weena
2	weentuïai
2	Weeta^
2	Weetas
2	wehl
2	Wihrs
2	wiòòi
2	wirs
2	wiúúus
2	zitta
1	abbejeem
1	abbi
1	aisbah§t
1	aisweddis
1	alla§ch
1	apkampe
1	apkohpt
1	appakúch
1	aprihje
1	ap§chehlojees
1	ap§innahts
1	ap§innatu
1	apwilke
1	apwilzees
1	a§tota^
1	atdarriht
1	atgree§
1	atjaunaju
1	atkaï
1	atminnejees
1	atminnohs
1	atnahkuúchas
1	atneúúe
1	atraddahs
1	atraujama^s
1	atreebjahs
1	atrohdam
1	atúchíihris
1	atúleed§ahs
1	at§pird§ahs
1	atwe§ta
1	augúchop
1	aug§ta
1	aug§taku
1	aug§teem
1	aug§ti
1	aug§tinajahs
1	aug§ts
1	Ahdaºa^
1	Ahmanu
1	Ais
1	Aiswe§teem
1	Akka
1	Akkas
1	Akmiòeem
1	Altaºa
1	Apìehrba
1	Apìehrbu
1	Artak§erkúa
1	Aúúini
1	Aúúinim
1	Aug§tibu
1	Azzis
1	Bahbeles
1	bahrgi
1	bail
1	Balúi
1	Barribas
1	Bauúlibas
1	Bauúlibu
1	Bedahm
1	Bedre^
1	Beedekli
1	Behda^s
1	Behdahm
1	Behdu=Drehbes
1	Behdu=Drehbes{Behdu=}
1	Behrni
1	Behrnu
1	Benjamiòa
1	bihjajahs
1	bihjajams
1	blehdigeem
1	Blehds
1	Blehòeem
1	Bleh§cheem
1	Brahlis
1	breeúmigai
1	breeúmigus
1	brihnijamas
1	brihnijams
1	Brihnuma
1	Brihnumus
1	Bugiteris
1	buhdams
1	dabbujúchi
1	dahrgeem
1	Dahwanas
1	Daïïu
1	Darbus
1	darra
1	darri
1	darrihs
1	darrijúchi
1	darriúchu
1	darriúeet
1	da§chadahm
1	da§chkahrt
1	Da§chkahrt
1	Daud§
1	Debbeúi
1	Debbeúim
1	Deena
1	Deenahm
1	Deewam
1	Deeweem
1	Deewus
1	deggoúchas
1	dehï
1	diweju
1	diwipadaúmita
1	dohd
1	dohdees
1	dohma
1	Dohmas
1	doht
1	dohtu
1	Do§itejus
1	Draugu
1	d§eedajam
1	d§ehruúi
1	D§ihres
1	d§ihwa
1	D§ihwibu
1	d§ihwo
1	d§ihwodami
1	d§ihwoja
1	D§ihwoúchana^
1	D§irdeja
1	d§irdejúi
1	Durwim
1	duúmigs
1	Duúúeúchanas=Deena^s
1	eedrohúchina
1	eegahje
1	eekúcha^
1	Eeleez
1	eemantojamai
1	Eenaidibu
1	Eenaidneekeem
1	Eenaidneeku
1	eenihdeti
1	eenih§tu
1	Eeúahkuma
1	eeúahzis
1	eetaiúita
1	eezeenijúi
1	Eezelúchanu
1	eezelt
1	eezeltu
1	Egiptes
1	ehduúi
1	Eh§tere
1	Elka=Deewu
1	Elku
1	Eòìeli
1	eúúoti
1	E§teri
1	Gabatu
