Vârdformu skaits:	2425
Vârdlietojumu skaits:	9501


648	un
184	to
176	tee
164	Un
128	wiòòu
126	kas
126	us
116	no
111	irr
111	ka
109	pee
109	ta
106	ar
106	ne
93	wiòòa
85	tas
83	teem
77	wiò§ch
67	bij
66	tad
65	tohs
63	bija
59	tahs
58	tu
52	par
48	jo
47	wiòòas
45	úawu
44	kad
44	úazzija
44	Tad
43	ka`
43	wiúúi
42	eekúch
42	Jo
41	ko
41	prett
39	muhúu
38	es
38	wiúúu
37	Deews
37	Olowernus
35	Kungs
35	preekúch
34	eúúi
34	J§rae#ïa
32	Bet
31	pahr
30	Deewu
30	mehs
29	mums
29	nu
29	tew
29	wiúúus
28	Juhdite
27	Ïaudis
27	ïohti
26	wiòòeem
25	Semmes
24	wiúúas
24	zaur
23	úaweem
22	bet
22	úawas
22	tur
22	wiúúeem
21	lihd§
20	pehz
20	Pilsúahta
20	úawa
20	ta`
20	tahm
20	wiòòam
19	buhs
19	nahze
19	tai^
18	arrid§an
18	Deena^
18	man
18	weenu
17	gahje
17	juhs
17	kamehr
17	Preekúcha^
17	tawu
16	d§ihwoja
16	tawa
15	Behrni
15	Betulijas
15	jelle
15	Kunga
15	neds
15	úawa^
15	úawus
15	tam
14	arri
14	Wahrdus
14	wiúúahm
13	daud§
13	Deewa
13	d§ihwo
13	Kad
13	Kungu
13	leelu
13	úcho
12	atkaï
12	Aúúireºu
12	isgahje
12	itt
12	kïua
12	kur
12	lai
12	Ïaudim
12	likke
12	mannu
12	muhs
12	Úeewas
12	tai
11	apkahrt
11	Balúi
11	Behrneem
11	darrijs
11	Deenas
11	Dehla
11	eúmu
11	ir
11	Ïau§chu
11	manna
11	Ozijus
11	pretti
11	Ta`
11	tawa^
11	Wihri
10	brehze
10	Galwu
10	Kalna
10	Kaººa=Spehka
10	Íehniòa
10	Laika^
10	Leetas
10	neweens
10	Spehku
10	taps
10	tawas
10	tuwu
10	weena
10	wiòòai
9	Deewam
9	d§irdeja
9	jeb
9	Kalnu=Weetahm
9	Namma
9	Nebukadnezaºa
9	òehme
9	notizzis
9	Rohku
9	runnajs
9	Semmi
9	Tautas
9	tohp
9	warretu
9	wehl
8	Íehniò§ch
8	leels
8	Lehìeri
8	Meita
8	Nu
8	pa
8	palikke
8	Rohbe§chahm
8	§tahweja
8	§tarp
8	tappe
7	atpakkaï
7	Akioru
7	dewe
7	Eed§ihwotajeem
7	eet
7	eúúam
7	jums
7	Kalpeem
7	Kalpi
7	Kalpone
7	Kaººa=Spehku
7	Laupijumu
7	leela
7	manni
7	mans
7	nahk
7	Nebukadnezars
7	red§eja
7	úawahm
7	úimts
7	úuhtija
7	Tee
7	tewi
7	Tu
7	UN
7	Waigu
7	wairs
7	Wihra
6	Aúúirijas
6	buhtu
6	darriht
6	darrijúi
6	Eed§ihwotaji
6	Eenaidneekeem
6	eúúat
6	ja
6	Jeru§aleme^
6	Judu
6	Juhºas
6	Kalnu=Weetas
6	Manaúúus
6	mannas
6	Ohlektis
6	patt
6	pawehleja
6	peeluhd§e
6	Pilsúahtu
6	runnajúchi
6	úchee
6	úchodeen
6	úchohs
6	Semme^
6	Tadehï
6	tapehz
6	teeúcham
6	tik
6	Wahrteem
6	Weetas
6	wiúúa
6	wiúúai
6	zittu
5	aizinaja
5	atnahze
5	Akiors
5	Bagous
5	Betuliju
5	bihjajahs
5	bohja^
5	brihnijahs
5	darrija
5	Drehbes
5	d§ert
5	Egiptes
5	Gultas
5	iseet
5	istruhzinajahs
5	jaw
5	Jeru§alemes
5	J§rae&ïa
5	kam
5	Kauna^
5	kritte
5	Kungam
5	labbu
5	Lehìeºa
5	mettehs
5	Muhºeem
5	Namma^
5	pakkaï
5	paúcha^
5	Pehz
5	puúúi
5	Rihkus
5	Úeewahm
5	§tipru
5	Úudraba
5	tawi
5	Telts
5	Uhdeni
5	Uhdens
5	Wahrdeem
5	Warra
5	ween
5	Wihrs
5	wiòòo
5	wiúúa^
4	ahra^
4	ap
4	apmette
4	apòehmuúchees
4	appakúch
4	Ak
4	Ammoòa
4	Azzim
4	Barribas
4	Behrnu
4	Behrnus
4	Brahïi
4	darriúchu
4	Deena^s
4	Deenahm
4	Deenai
4	diwideúmits
4	D§eeúmu
4	Dwehúeles
4	eeded§inaja
4	Eeleiju
4	ees
4	Es
4	gribbam
4	gull
4	gulleja
4	isd§inne
