Vârdformu skaits:	2356
Vârdlietojumu skaits:	9501


819	un
184	to
183	tee
128	kas
128	wiòòu
126	us
117	no
113	tad
111	irr
111	ka
111	ta
109	pee
106	ar
106	ne
93	wiòòa
90	jo
88	tas
83	teem
78	wiò§ch
67	bij
65	tohs
65	tu
63	bija
61	kad
59	tahs
54	bet
52	par
48	wiòòas
45	úawu
44	úazzija
44	wiúúi
43	ka`
42	eekúch
42	es
41	ko
41	prett
39	muhúu
39	wiúúu
37	deews
37	nu
37	olowernus
36	preekúch
35	kungs
34	eúúi
34	i§rae#ïa
32	pahr
31	mehs
31	ta`
30	deewu
29	mums
29	tew
29	wiúúus
28	juhdite
27	ïaudis
27	ïohti
26	wiòòeem
25	pehz
25	semmes
24	wiúúas
24	zaur
23	úaweem
22	lihd§
22	úawas
22	tur
22	wiúúeem
20	pilsúahta
20	úawa
20	tahm
20	wiòòam
19	buhs
19	nahze
19	tai^
18	arrid§an
18	deena^
18	juhs
18	kamehr
18	man
18	preekúcha^
18	weenu
17	gahje
17	tawu
16	d§ihwoja
16	kunga
16	tawa
15	behrni
15	betulijas
15	jelle
15	neds
15	úawa^
15	úawus
15	tam
14	arri
14	daud§
14	ir
14	lai
14	úcho
14	wahrdus
14	wiúúahm
13	deewa
13	d§ihwo
13	kungu
13	leelu
12	aúúireºu
12	atkaï
12	isgahje
12	itt
12	kïua
12	kur
12	ïaudim
12	likke
12	mannu
12	muhs
12	úeewas
12	tai
11	apkahrt
11	balúi
11	behrneem
11	darrijs
11	deenas
11	dehla
11	eúmu
11	ïau§chu
11	manna
11	ozijus
11	pretti
11	tawa^
11	weena
11	wihri
10	brehze
10	galwu
10	kalna
10	kaººa=spehka
10	íehniòa
10	laika^
10	leetas
10	neweens
10	rohku
10	úchee
10	spehku
10	taps
10	tawas
10	tuwu
10	wiòòai
9	deewam
9	d§irdeja
9	jeb
9	kalnu=weetahm
9	namma
9	nebukadnezaºa
9	òehme
9	notizzis
9	runnajs
9	semmi
9	tautas
9	tohp
9	warretu
9	wehl
8	íehniò§ch
8	leels
8	lehìeri
8	mans
8	meita
8	pa
8	palikke
8	rohbe§chahm
8	§tahweja
8	§tarp
8	tapehz
8	tappe
7	akioru
7	atpakkaï
7	buhtu
7	dewe
7	eed§ihwotajeem
7	eet
7	eúúam
7	ja
7	jums
7	kalpeem
7	kalpi
7	kalpone
7	kaººa=spehku
7	laupijumu
7	leela
7	manni
7	nahk
7	nebukadnezars
7	puúúi
7	red§eja
7	úawahm
7	úimts
7	úuhtija
7	teeúcham
7	tewi
7	tik
7	waigu
7	wairs
7	wihra
6	ak
6	aúúirijas
6	darriht
6	darrijúi
6	eed§ihwotaji
6	eenaidneekeem
6	eúúat
6	jeru§aleme^
6	judu
6	juhºas
6	kalnu=weetas
6	manaúúus
6	mannas
6	ohlektis
6	patt
6	pawehleja
6	peeluhd§e
6	pilsúahtu
6	runnajúchi
6	úchodeen
6	úchohs
6	semme^
6	tadehï
6	wahrteem
6	weetas
6	wiúúa
6	wiúúai
6	zittu
5	aizinaja
5	akiors
5	atnahze
5	bagous
5	betuliju
5	bihjajahs
5	bohja^
5	brihnijahs
5	darrija
5	drehbes
5	d§ert
5	egiptes
5	gultas
5	iseet
5	i§rae&ïa
5	istruhzinajahs
5	jaw
5	jeru§alemes
5	kam
5	kauna^
5	kritte
5	kungam
5	labbu
5	lehìeºa
5	mettehs
5	muhºeem
5	namma^
5	pakkaï
5	paúcha^
5	raugi
5	rihkus
5	úeewahm
5	§tipru
5	úudraba
5	tawi
5	telts
5	uhdeni
5	uhdens
5	wahrdeem
5	warra
5	ween
5	wihrs
5	wiòòo
5	wirúu
5	wiúúa^
4	ahra^
4	ammoòa
4	ap
4	apmette
4	apòehmuúchees
4	appakúch
4	azzim
4	barribas
4	behrnu
4	behrnus
4	brahïi
4	darriúchu
4	deena^s
4	deenahm
4	deenai
4	diwideúmits
4	d§eeúmu
4	dwehúeles
4	eeded§inaja
4	eeleiju
4	ees
4	gribbam
4	gull
4	gulleja
4	isd§inne
4	ispoh§tija
4	i§raeïa
4	jojakims
4	ka^
4	kahdas
4	kahdi
4	kahjineeki
4	kalnu
4	kalnu=weeta^s
4	kaººa^
4	kaººa=spehkam
4	kaººa=wihrus
4	kauúchanu
4	laiku
4	leelajs
4	leeli
4	leetahm
4	leetu
4	lohpus
4	maiúu
4	mannam
