Vârdformu skaits:	157
Vârdlietojumu skaits:	261


21	un
10	tu
8	eúúi
7	es
6	to
5	man
5	ne
4	ak
4	bet
4	eúmu
4	irr
4	ka
3	grehkojs
3	grehku
3	jo
3	kas
3	kungs
3	no
3	tawas
3	tewi
2	ais§ehìelejs
2	atgreeúchanu
2	deews
2	ko
2	leelas
2	luhd§ohs
2	muh§chigi
2	par
2	peedohd
2	pehz
2	preekúch
2	úawu
2	tad
2	tapehz
2	teem
2	tewis
2	tohs
2	wiúúu
1	ahbra#a#ma
1	ahbraa#mam
1	aisúlehd§is
1	amen
1	apgrehzibas
1	apkaitinajs
1	ar
1	at§ih§tu
1	bauúli
1	bihjajamam
1	bihtees
1	buhs
1	darrijs
1	daud§
1	debbes
1	debbeúi
1	dewis
1	draude
1	d§el§es
1	d§iïïumus
1	d§immuma
1	duúmiba
1	duúúeúchanas
1	eekúch
1	eekúcha^
1	gohdajamam
1	gohdu
1	grehkeem
1	grehko^s
1	grehkojuúchi
1	grehzineekeem
1	gribbetu
1	gribbu
1	gºuhtahm
1	ih§a&a&ka
1	ih§a&a&kam
1	ikkuººam
1	istruhzinatees
1	jehkaba
1	jehkabam
1	juhrmalla^
1	juhºu
1	kungs{akkungs}
1	labpraht
1	ïaudis
1	ïaunumu
1	leelu
1	leez
1	lehnibas
1	lizzis
1	lohku
1	ïohti
1	lohzihts
1	manni
1	manno^s
1	mannu
1	mannus
1	muh§cham
1	muh§chu
1	muhúu
1	ne=ismehºojama
1	ne=iswaizajama
1	neds
1	nepaneúúama
1	newaid
1	nezeenigam
1	no§eegumu
1	nu
1	pahr
1	palihd§eht
1	palikt
1	pa§u§t
1	pazeeúchanas
1	peedohúchanu
1	preekúcha^
1	prett
1	raddijs
1	úaitehm
1	úauzu
1	schehla§tiba
1	schehla§tibas
1	§chehligs
1	semm
1	semmes
1	úirds
1	úirds=schehla§tibas
1	úlawe
1	úlaweht
1	úlawejams
1	úmiltis
1	úohdi
1	úohdibu
1	úohli
1	úohlijs
1	spehks
1	ta
1	ta^
1	tahdas
1	taiúna
1	taiúneem
1	taiúnu
1	tas
1	tawa
1	tawa^
1	tawam
1	tawu
1	tehwu
1	tewim
1	tur
1	us
1	wahrdam
1	wairak
1	warras
1	wiòòu
1	wirúu
1	wiús
1	wiúúu=aug§takajs
1	wiúúuwaldigajs
1	zeïïus
