Vârdformu skaits:	194
Vârdlietojumu skaits:	301


20	un
6	es
6	kas
6	to
5	ka
5	us
4	ar
4	irr
4	ka`
4	ne
4	ta
4	teem
3	arrid§an
3	daud§
3	eekúch
3	Grahmatas
3	kad
3	Pamahziúchanas
3	úcho
3	tadehï
3	tahs
3	tas
3	tohp
3	Un
3	zittas
2	Bauúlibu
2	bet
2	bij
2	buhs
2	eúúam
2	Grahmatu
2	Gudribas
2	labbi
2	labbu
2	mehs
2	mums
2	§kann
2	ta`
2	tad
2	tahdus
2	tahm
2	tee
2	tik
2	tur
2	ween
2	zitteem
1	ahra^
1	apòehmahs
1	arri
1	a§tota^
1	atkaï
1	atraddu
1	atra§t
1	Bauúliba
1	Bauúlibas
1	bija
1	biju
1	buhtu
1	darbojuúchees
1	Darbu
1	darrita
1	da§chkahrt
1	DAud§
1	dehï
1	derrigas
1	dewees
1	dewuúchees
1	dohtees
1	D§ihwibu
1	d§ihwoht
1	d§innuúchees
1	Eebre#i§ki
1	Eemeúlus
1	Egipti
1	Ewergetus
1	Gadda^
1	Gaiúma^
1	Gallam
1	gan~
1	gann
1	gattawa
1	Grahmata
1	gribb
1	gribbat
1	Gºuhtibu
1	gudreem
1	ihpaúcha^
1	islaúúitu
1	jauki
1	jaw
1	Je§us
1	Jo
1	Jsmahziteem
1	J§raeïam
1	juhs
1	Kad
1	kahdu
1	kam
1	kamehr
1	Íehniòa
1	ko
1	kuººu
1	labba
1	labbahm
1	labbaki
1	labbas
1	Laika^
1	Laiks
1	laúúa
1	laúúiht
1	leelas
1	leelus
1	Leeta
1	Leetahm
1	Leetas
1	lihd§
1	likta
1	ïohti
1	luhd§ohs
1	Mahziba
1	Mahzibahm
1	man
1	mannu
1	Mans
1	mihï
1	nahzu
1	òemtu
1	no
1	nomohda^
1	nu
1	pakkaï
1	palihd§eht
1	palikku
1	pamahziti
1	parei§i
1	patti
1	pawaddiht
1	pee
1	peederr
1	peederrahs
1	peedoht
1	peeklahjahs
1	peenehmees
1	peeòemtees
1	Pehdahm
1	pehz
1	Prahtu
1	Praweeúcheem
1	Praweeúchu
1	Praweeúchus
1	rak§tiht
1	Rak§tiúchanu
1	Rak§tus
1	runnata
1	runnatas
1	úawa
1	úawa^
1	úchi
1	úchinni^
1	úchíittohs
1	úewim
1	Úlawa
1	úluddinatas
1	Stah§tiúchanu
1	§trahdaju
1	Úweúchneeziba^
1	Tapehz
1	tapt
1	taptu
1	Tehws
1	Teikúchana
1	tikkuúchi
1	tohs
1	treúcha^deúmita^
1	tulkaht
1	Tulkaúchanahm
1	tulkata
1	Usmanniúchanu
1	Wahrdus
1	waijaga^
1	wairak
1	Walloda^
1	Wallodas
1	warrejúchi
1	warretu
1	weena
1	wehl
1	wezzais
1	Wezzu=Tehwu
1	wiòòa
1	wiòòu
1	wiò§ch
1	zaur
1	zittahm
