Vârdformu skaits:	533
Vârdlietojumu skaits:	1272


56	un
36	tee
26	Un
21	to
18	us
17	ka
17	pee
16	bija
15	kas
15	ne
15	úazzija
15	tas
15	wiòòu
14	ar
14	bij
14	ta
14	tahs
13	tad
12	irr
12	no
11	jo
11	Tad
11	teem
11	wiòòas
10	mehs
10	tohs
10	tu
10	weens
10	Wezzajee
9	diwi
9	prett
8	Kad
7	Bet
7	nu
7	wiòòa
7	wiò§ch
6	bet
6	Danijels
6	Durwis
6	es
6	eúúi
6	ka`
6	Su§anna
5	brehze
5	Dahr§a
5	Dahr§a^
5	ko
5	Meitas
5	paúchu
5	pehz
5	úawu
5	tewi
4	Balúi
4	Deewa
4	juhs
4	kad
4	Ïaudim
4	Ïaudis
4	Leezibu
4	ïohti
4	man
4	Meitahm
4	ohtra
4	úawas
4	úchee
4	tawu
4	weenu
4	wiòòai
4	wiúúu
3	darrija
3	Deews
3	dewuúchi
3	Elkijus
3	Galwu
3	Jauneklis
3	Jo
3	Jojakima
3	J§rae#ïa
3	juhúu
3	kohpa^
3	Kungs
3	mums
3	ohtram
3	pahr
3	red§eja
3	úcho
3	Su§annas
3	tahm
3	tapehz
3	Teeúu
3	tew
3	Tu
3	zaur
2	aisúlehd§e
2	appakúch
2	apúlehpuúchees
2	arri
2	atbildeja
2	atnahze
2	atpakkaï
2	Ak
2	Appakúch
2	Bauúlibas
2	bijis
2	darriht
2	darriúchu
2	Debbeúim
2	Deena^
2	Draud§e
2	Durwim
2	Eekahroúchanu
2	Eòìelis
2	gahje
2	Gann
2	gribbeja
2	ikdeenas
2	jauks
2	Jojakims
2	Juhda
2	kahds
2	kaunejahs
2	kïua
2	Kungu
2	labbi
2	Laiks
2	ïaunu
2	Ïau§chu
2	leelu
2	likke
2	ma§gatees
2	mehd§e
2	Meita
2	Meitu
2	Moh§us
2	muhúu
2	neno§eed§igs
2	nepateeúu
2	noteek
2	Nu
2	ohtru
2	Padohmu
2	paúchas
2	pawehleja
2	preekúch
2	puúcham
2	red§
2	red§ejam
2	red§ejs
2	Úaime
2	úakka
2	úakki
2	úaúchíels
2	úawa
2	úaweem
2	Úeewu
2	§inni
2	Úirds
2	§taigajam
2	ta`
2	taggad
