Vârdformu skaits:	1667
Vârdlietojumu skaits:	6329


448	un
150	to
125	es
106	ne
96	tas
93	no
93	tad
88	wiò§ch
81	us
80	irr
78	ka
70	wiòòa
68	úazzija
65	tu
62	bet
58	ar
58	kad
56	kas
54	ta
52	tee
50	nu
50	pee
48	jo
46	wiòòu
42	teem
41	tahs
36	tew
34	pehz
33	wiòòam
32	bij
32	man
32	tobijus
30	dehls
30	mans
30	úawu
29	par
28	ta`
27	atkaï
27	eúúi
26	ka`
25	tohs
22	eekúch
21	deewu
20	eúmu
20	manna
20	preekúch
19	buhs
19	ko
19	tam
19	tur
19	wehl
18	úeewu
17	pahr
17	tehwa
16	bija
16	ir
16	tawu
15	arri
15	raguels
14	arrid§an
14	deews
14	muhúu
14	úawas
14	weenu
13	deewa
13	dohd
13	jums
13	labbi
13	labbu
13	muh§chigi
13	tewi
13	tewim
13	wiúúas
12	kungs
12	lai
12	lihd§
12	mann
12	nabbageem
12	nahze
11	dehlu
11	eòìelis
11	juhs
11	mehs
11	úlawehts
11	tappe
11	tehws
11	tobiju
10	aizinaja
10	atbildeja
10	biju
10	daud§
10	gahje
10	gann
10	kungu
10	meitu
10	úawa
10	tapehz
10	taps
9	brahli
9	buhtu
9	dehla
9	manni
9	mannis
9	mums
9	pats
9	úchis
9	úcho
9	tawas
9	tawi
9	wiúúi
8	brahïeem
8	jaw
8	kam
8	kamehr
8	kur
8	mannim
8	meita
8	raugi
8	semme^
8	semmes
8	taweem
8	tewis
8	tobijum
8	weens
8	wiúúeem
8	wiúúu
8	zeïïu
7	anna
7	jeb
7	kahdu
7	muhs
7	naudu
7	niniwes
7	pirms
7	raudaja
7	úeptiò
7	úlawe
7	tai^
7	taiúnibu
7	tawa
7	taws
7	wairs
7	weúúels
6	abbee
6	azzis
6	dewe
6	diwi
6	eet
6	eúúam
6	íehniòu
6	leetas
6	mannas
6	mantas
6	meedeºu
6	paúcha
6	paúcha^
6	patt
6	schehla§tibu
6	úchi
6	úeewa
6	úlawejeet
6	tehwu
6	waigu
6	ween
6	wezz
6	wiòòas
6	zilts
5	ak
5	akiakars
5	azzim
5	behrneem
5	behrni
5	darra
5	darri
5	darriht
5	darrija
5	darrijis
5	deenas
5	d§ihwo
5	ednu
5	gabeïa
5	gars
5	ittin
5	ja
5	kohpa^
5	kuººu
5	labs
5	laika^
5	ïohti
5	òemm
5	niniwi
5	patihk
5	peeminni
5	rawae#ls
5	sahru
5	úawa^
5	siws
5	tawa^
5	teeúu
5	tohp
5	tohpu
5	weena
5	wiòòai
5	wiòòeem
5	wiúúahm
5	wiúúee
5	woj
5	zeetuma^
5	zehlehs
5	zilweku
4	algu
4	apkahrt
4	apúwehtija
4	azarijus
4	baltas
4	bih§tees
4	brahliht
4	dabbuht
4	darbus
4	dewis
4	doht
4	d§irdeja
4	dwehúele
4	eh§t
4	gribbu
4	jauneklis
4	klahjahs
4	klahtu
4	kïua
4	kunga
4	labba
4	labbas
