V‚rdformu skaits:	1860
V‚rdlietojumu skaits:	8260


332	vnde
197	gir
170	tho
139	to
137	exkan
130	tas
123	vnd
114	ka
107	dewe
105	ta
93	adbilde
90	thas
86	nhe
82	buus
81	es
76	tu
73	ar
73	mums
70	kha
69	thˆw
60	dews
58	kas
55	par
53	man
52	beth
51	py
50	touwe
47	no
47	tha
46	unde
45	arridtczan
45	mhes
41	manne
39	kattre
39	ﬂouwe
39	thˆs
39	w¸ßße
37	joutaßchen
37	ßweete
35	w‰rde
34	czour
34	wene
33	grib
32	nho
32	yeb
31	greekes
30	winge
29	aißto
29	katters
29	kunx
29	peetcz
28	muﬂe
28	thews
28	yums
27	amen
27	ko
26	aran
26	tam
26	vs
25	thems
24	jeßu
24	kunge
24	thur
23	labbe
23	luuckßchenne
23	thewe
23	titcz
22	chrißtus
22	garre
22	ja
22	p‰r
21	meﬂe
21	ßcho
21	tur
20	patteße
20	th‰s
20	the
20	wens
19	kungam
19	muﬂige
18	chrißti
18	chrißtum
18	debbes
18	eßme
18	patte
18	war
17	kad
17	nu
17	ﬂatcy
17	te
17	thims
17	wenam
16	greeke
16	prettibe
16	tems
16	thope
16	titczibe
16	w¸ßßims
15	aßßen
15	szeeleßtibe
15	tham
15	tims
15	yuus
14	dode
14	i
14	jeßum
14	ﬂˆw
14	ßweetcz
14	tad
12	greekims
12	muﬂam
12	myle
12	nawe
12	paddeßmette
12	tapeetcz
12	wena
11	cziwo
11	darreth
11	dhele
11	edth
11	galde
11	gars
11	luudtczam
11	namme
11	semmes
11	ßthawe
11	szewe
11	w¸ßßes
10	atkal
10	bes
10	bouﬂlis
10	chrißto
10	czilwhekam
10	debbeßße
10	dhels
10	eßßet
10	jeßus
10	mans
10	mußße
10	pammeßßchen
10	sweete
10	t‰s
10	thade
10	touwes
9	byates
9	chrußtibe
9	darryth
9	denißke
9	deßmette
9	kalpe
9	kattra
9	lab
9	labs
9	loune
9	mannes
9	mayße
9	nedtcz
9	peder
9	preßchan
9	teßcham
9	tows
9	walßtibe
9	w‰rdtcz
9	w¸rﬂon
8	bherne
8	czenige
8	czilwheke
8	dar
8	doth
8	ehdene
8	gode
8	juus
8	lethe
8	loulibe
8	meﬂes
8	n
8	noteke
8	packlouﬂige
8	szewes
8	tan
8	tˆs
8	w‰rdims
8	wen
8	wyre
7	appeßkan
7	auxkam
7	cziwoßchenne
7	darge
7	dene
7	etc
7	lele
7	myleeth
7	paddome
7	paßßoule
7	patteitcze
7	prexkan
7	ﬂacke
7	ﬂouwims
7	sweetcz
7	szaime
7	tapt
7	thad
7	thewam
7	titczet
7	tuwake
7	udenne
7	udens
7	und
7	wackarre
7	warram
7	w¸ßßems
7	yempt
6	byaßchenne
6	czilwhex
6	eßße
6	greekems
6	jemmet
6	joutaßchenne
6	kam
6	k‰rtan
6	kho
6	kur
6	lidtcz
6	luudtcze
