Vârdformu skaits:	551
Vârdlietojumu skaits:	2564


142	irr
94	un
80	ka
75	tas
68	ta
64	mehs
64	ne
60	no
59	kas
59	to
50	wiòòa
47	eekúch
45	Deewa
41	mums
31	juhs
30	Un
29	eúúam
28	jums
28	wiòúch
22	jo
21	ko
18	tad
17	bet
16	arrid§an
16	paleek
15	eúúat
15	ja
15	tahs
14	pee
14	wiòòu
13	Deews
13	muhs
13	úawu
12	Brahli
12	Kri§tus
12	Mihle§tiba
12	muhúu
12	úchi
12	us
11	buhs
11	Deewu
11	Dehla
11	Ja
11	tee
10	ar
10	Kas
9	Eeúahkuma
9	es
9	JE§us
9	ka`
9	mihle
9	Paúaules
9	ween
9	weens
8	darra
8	d§irdejúchi
8	Leetas
8	preekúch
8	úcho
8	§innam
8	tam
8	tohs
7	Behrniòi
7	Dehlu
7	D§ihwoúchana
7	Es
7	ikkatrs
7	rak§tu
7	úew
7	uhs
6	bija
6	dewis
6	Gars
6	Grehkeem
6	Grehki
6	Grehkus
6	ittin
6	Jo
6	mihleht
6	par
6	Paúaule^
6	pa§ih§t
6	peed§immis
6	§innat
5	Bauúlus
5	Behrni
5	D§ihwoúchanu
5	eenihd
5	eúmu
5	Garru
5	itt
5	Jahnis
5	klauúa
5	lai
5	mahza
5	mihlejam
5	nu
5	Paúaule
5	Paúauli
5	rak§tijis
5	ta`
5	tapehz
5	teem
5	Tehwa
5	Wahrds
5	wiúúas
5	1
4	at§ih§tam
4	Bauúli
4	Dehls
4	Draud§iba
4	Drohúchiba
4	Eekúch
4	eúúoti
4	grehko
4	JE§u
4	Leeziba
4	Leezibu
4	Mehs
4	Mihïee
4	mihlejis
4	Mihle§tibu
4	nah§is
4	Nahwi
4	ohtru
4	Pateeúibas
4	Pee
4	úakka
4	úchis
4	Úirdis
4	Tehws
4	tizz
4	trihs
4	turr
4	Wahrda
4	Wahrdu
4	weenu
4	zaur
3	at§innuúchi
3	Aúúini
3	Bauúlis
3	Bet
3	darram
3	dohd
3	d§immis
3	Gaiúma^
3	ikkatram
3	Jkkatrs
3	kad
3	luhd§am
3	luhgt
3	Mahza
3	Melkulis
3	Mihle§tibas
3	muh§chiga
3	muh§chigu
3	Ne
3	pa§ih§tam
3	pa§innuúchi
3	paúluddinajam
3	Pateeúibu
3	pilniga
3	Prahtu
3	red§
3	red§ejis
3	úakkam
3	úawa
3	úchahs
3	úchíih§ti
3	úuhtijis
3	Úwaidiúchana
3	Taiúnibu
3	taiúns
3	Tehwu
3	tohp
3	Tumúiba
3	Tumúiba^
3	turram
3	Uhdeni
3	Wella
3	wiúúeem
3	4
3	7
2	aisleed§
2	apgrehkojahs
2	apleezina
2	apleezinajam
2	arri
2	at§pihdejis
2	Aúúins
2	Bauúlu
2	Behrno
2	Brahïi
2	buhúim
2	buhtu
2	dabbujam
2	Darbi
2	daud§
2	D§ihwibu
2	Gaiúchuma^
2	Gaiúma
2	Garra
2	Garrus
2	ikweens
2	isgahjuúchi
2	Jaunekïi
2	jaunu
2	kahds
2	kam
2	Kri§tu
2	Ïaunu
2	leelaks
2	Meeúa^
2	Meli
2	Melkuli
2	mihlejamees
2	neds
2	Netaiúniba
2	nokawe
2	pahr
2	paleekam
2	paleezeet
2	papreekúch
2	parahdita
2	paúchu
2	paúchus
2	pa§uddina
2	pateeúa
2	Pateeúiba
2	peenahkahs
2	peewiïï
2	prett
2	Pretti=Kri§tus
2	prohti
2	red§ejúchi
2	úakku
2	úawa^
2	Úchahs
2	úchee
2	Úchis
2	§innami
2	§taigaht
2	§taigajam
2	§tarpa^
2	Tadehï
2	tai
2	tapt
2	Tee
2	teeúcham
2	Tehwi
2	tizzat
2	To
2	tohpam
2	Tomehr
2	tur
2	Tuwaku
2	Us
2	usluhkojuúchi
2	uswarr
2	warr
2	warram
2	wehl
2	wiòòam
2	wiòòas
2	18
2	9
1	ahra^
1	ais
1	aiskaºº
1	aisúlehd§
1	apleezinahs
1	apleezinajis
1	apúohlijis
1	aptau§tijuúchas
1	aptumúchojuúi
1	arrig
1	at§pihdehs
1	at§pihdejuúi
1	Aisbildinatajs
1	Alloúchanas
1	Amen
1	Aprak§ta
1	Apúohliúchana
1	Atd§imdenati
1	Atkal
1	Atnahkúchana^
1	Atnahkúchanas
1	Azzim
1	Azzis
1	Azzu=Kahriba
1	Behrneem
1	Behrnus
1	Bihjaúchana
1	Bihjaúchanai
1	Bihjaúchanu
1	bih§tahs
1	bijis
1	bijuúchi
1	Brahïa
1	Brahïeem
1	Brahïus
1	brihnijeetees
1	ch
1	dabbujuúchi
1	Darbu
1	Darbus
1	darrijis
1	Dau§iúchana
1	Debbeúi^
1	Deena^
1	Deewa=Tikkumeem
1	Deewam
1	DEews
1	dehï
1	dohs
1	d§emdinajis
1	D§ihwiba
1	D§ihwibas
1	d§ihwoht
1	d§irdejuúchi
1	eenihdeht
1	eet
1	Elka=Deeweem
1	eúúohts
1	eúúus
1	Gaiúchums
1	Garram
1	Gohdibas
1	grehkoht
1	grehkojuúchi
1	grehkokojat
1	grehkotu
1	Grehku
1	gruhti
1	gull
1	isahrditu
1	ismett
1	isúuhd§am
1	jaw
1	jelle
1	JKkatrs
1	Jkweenam
1	Jkweens
1	JO
1	juhúu
1	Ka
1	Ka&ins
1	kahdam
1	kahdas
1	kahdeem
1	kahdi
1	Kahriba
1	Kam
1	Kauna^
1	KAs
1	kluúúinaht
1	Ko
1	kohpa^
1	kuººeem
1	kurren
1	Kurúch
1	labbad
1	Lai
1	Ïauna
1	Ïaunais
1	ïauni
1	Ïaunuma^
1	leed§
1	leela
1	leelas
1	leelu
1	leezinajis
1	lepniga
1	lihd§
1	likti
1	ïohti
1	Luhgúchanas
1	luhguúchi
1	mahzijuúi
1	mahziti
1	manni
1	Manni
1	Manta
1	MAnni
1	Meeúas=Kahriba
1	Mehles
1	melojam
1	mihlejeet
1	mihleju
1	mihlejuúchi
1	mihletees
1	mihïo
1	MJhïee
1	Mohziba
1	muh§chigi
1	muh§chigs
1	muhúeem
1	nahk
1	nahk{òahk}
1	nahks
1	Nahwe^
1	Nahwes
1	NE
1	nekahda
1	nekahdi
1	nepateeúi
1	Netaiúnibas
1	Netaiúnibu
1	newaid
1	nolikt
1	nolizzis
1	noòemtu
1	notizzis
1	pa=eet
1	pahrbaudajt
1	pahrbaudiht
1	pahreet
1	pahrzelti
1	paleekama
1	palikkuúchi
1	palikúeet
1	parahdijees
1	parahdiúees
1	paúcha
1	pa§ih§ta~
1	pa§ih§tat
1	pa§ih§tu
1	pa§innis
1	Paúkubbina
1	pa§kubbina
1	Paúluddinaúchana
1	Pateeúiga
1	pateeúigs
1	Pateeúigu
1	patihkams
1	pats
1	patt
1	patta
1	patti
1	pattim
1	pawehï
1	peedohd
1	peedohti
1	peed§immuúchu
1	peenahk
1	peeòemmam
1	peepildihts
1	peepildita
1	peetizzigs
1	peewiïïamees
1	pehdiga
1	pehdigu
1	pehz
1	Pe§titaju
1	pilnigs
1	Praweeúchi
1	Preeks
1	preekúcha
1	Pretti
1	Pretti=Kri§ti
1	PrettiKri§tus
1	rak§tam
1	Raugait
1	red§ejuúchi
1	red§eúim
1	Rohkas
1	runna
1	Úalihd§enaúchana
1	Úalihd§inaúchana
1	Úalihd§inaúchanu
1	úargahs
1	úargajeetees
1	úaukteem
1	úcha
1	úchinni^
1	§chíih§titi
1	úchíih§ts
1	Úehkla
1	Semmes
1	§in~ajt
1	§inna
1	§innatut
1	Úirdi
1	úkubbina
1	Úlepkawam
1	Úlepkawe
1	Úluddinaúchana
1	Úohdibas
1	§pehzigi
1	§pihd
1	§tahw
1	§taiga
1	§taigajis
1	§tarp
1	Stunda
1	Stundu
1	úwaiditi
1	Úwehta
1	úwehts
1	Úwehtu
1	Tad
1	tagad
1	Tahs
1	taiúni
1	Taiúns
1	taiúnu
1	tappuúchi
1	taptu
1	tik
1	tizzajt
1	tizzeht
1	tizzejis
1	tizzejúchi
1	Tizziba
1	Truhkumu
1	Tumúibas
1	turra~
1	turreht
1	turreúchanu
1	Uhdens
1	uhswarrejuúchi
1	uswarra
1	uswarrejúchi
1	uswarrejuúchi
1	Uswarreúchana
1	Uswarreúchanu
1	Wahrdeem
1	waijaga
1	Wels
1	wezzajs
1	wezzu
1	winnas
1	wiòòus
1	wiòú
1	wirs
1	wiús
1	wiúúa
1	Wiúúa
1	wiúúi
1	zeek
1	zeeúcham
1	Zerriba
1	Zilweko
1	zittadi
1	15
1	16
1	2
1	22
1	27
1	5
1	6
