Vârdformu skaits:	669
Vârdlietojumu skaits:	1480


63	un
50	irr
43	to
37	tahs
28	no
28	ta
26	ka
26	ne
24	kas
20	eekúch
17	tee
17	zaur
14	teem
14	us
13	Jo
13	jums
13	Un
11	arrid§an
11	Deewa
11	juhs
11	muhúu
10	ar
10	Kunga
10	tohs
9	Bet
9	eúúam
9	JE§us
9	ka`
9	kad
8	Kri§tus
8	mehs
8	tas
7	buhs
7	itt
7	juhúu
7	Leetas
7	pehz
7	wiòòu
6	bet
6	es
6	ko
6	weena
6	weenu
5	Debbeúis
5	jo
5	mums
5	pee
5	Pe§titaja
5	tohp
4	At§ihúchanas
4	At§ihúchanu
4	Deena
4	ja
4	kuººa^
4	Mihïee
4	pateeúi
4	Pehteris
4	úchahs
4	úcho
4	tad
4	tam
4	wiòòa
4	wiòúch
3	atkal
3	Apúohliúchanas
3	bija
3	Kungs
3	nu
3	pakkaï
3	papreekúch
3	Paúaules
3	paúchu
3	úawas
3	úawu
3	Úcho
3	Semme
3	§innadami
3	Úohdibas
3	§uddihs
3	Tadehï
3	tahm
3	tai
3	Taiúnibas
3	taiúnu
3	uhs
3	Wahrdu
3	weens
3	wiúúas
3	Zilweka
3	Zilweku
2	alla§chiò
2	atgree§tees
2	Algu
2	Atnahkúchanas
2	Azzis
2	Balúi
2	bij
2	bijuúchi
2	buht
2	buhtu
2	Darbeem
2	darbojeetees
2	daud§
2	Deenu
2	Deews
2	d§ihwo
2	Eekahroúchanahm
2	Eeúahkumi
2	Gaddi
2	gaidat
2	Gohdibas
2	Grehkeem
2	isbehguúchi
2	ittin
2	Jsnihkúchanas
2	Jttin
2	Ka
2	Kalpoúchanas
2	Kar§tuma
2	Kas
2	kawejahs
2	Kungu
2	lab
2	lai
2	Laiko^s
2	mahza
2	Mahziba
2	man
2	Meeúas
2	mihïais
2	nahks
2	negantu
2	Netaiúnibas
2	pahr
2	par
2	paúchi
2	Pa§uúchanu
2	Pateeúibas
2	patt
2	pirmi
2	Praweeúchu
2	preekúch
2	§aimodami
2	úaud§ejis
2	úchíeet
2	§inna
2	§tiprinati
2	úwehta
2	Tad
2	taggad
2	tapt
2	tik
2	Tikkumu
2	Tizzibas
2	tomehr
2	tuhk§toúchi
2	Uhdeni
2	Wahrds
2	warr
2	wehra
2	Zaur
2	zeek
2	3
1	ahtri
1	ahtru
1	aiskawejis
1	aisleegdami
1	aismigguúchi
1	aismirúis
1	aizinajis
1	akls
1	apgahniti
1	apgrehkojuúchees
1	apgruhtinahts
1	a§totu
1	atgahdatees
1	atgahdinaht
1	atgreeúchanu
1	atpirzis
1	atra§ti
1	at§tahdami
1	at§tahs
1	aug§titeizamas
1	au§t
1	Aiseeúchanu
1	Aizinaúchanu
1	Akkas
1	Alloúchanas
1	Amen
1	Apgahniúchanai
1	Apgahúchanu
1	Aprak§ta
1	Apúlihzinaúchanu
1	Apúohla
1	Apúohliúchana
1	Aptraipumi
1	Apu§tuïi
1	Apu§tuls
1	Atgahdaúchana
1	Atnahkúchanu
1	bagatigi
1	baggatigi
1	Bala&a&m
1	Balús
1	Bauúla
1	behgdami
1	Behrni
1	bes
1	besbalúigs
1	besdeewigi
1	besdeewigu
1	Besdeewigu
1	Beskaunibahm
1	Besprahtibu
1	besprahtigi
1	beswainigi
1	bijam
1	bijatajus
1	Bo§ora
1	Brahïi
1	brahligas
1	brahligu
1	Brahlis
1	buhdami
1	Buhúchana^
1	Buhúchanu
1	Dabbas
1	dabbigi
1	Dabbudami
1	dabbujam
1	dabbujat
1	dabbujis
1	dabbujuúchi
1	dahrgas
1	dahrgu
1	dahwanajis
1	dahwanatas
1	Dallibu
1	Darbi
1	Darboúchanu
1	darboúchohs
1	darrat
1	darridami
1	darriht
1	darrihts
1	darriúees
1	darriti
1	Debbes
1	Deena^s
1	Deenas
1	deeniúchku
1	Deewa=Úohdibai
1	Deewa=Wahrdu
1	deewi§kigas
1	deewiúkigs
1	degdami
1	Dehla
1	Dehls
1	dewis
1	dewuúchi
1	dohta
1	drebb
1	drihs
1	drohúchi
1	d§ennahs
1	D§ihre^s
1	d§ihúees
1	d§ihti
1	D§ihwokïa
1	D§ihwokli^
1	D§ihwoúchanas
1	d§innuúchees
1	d§irdedams
1	d§irdejuúchi
1	Dubïo^s
1	Dwehúeles
1	Dwehúeli
1	eedohts
1	Eeeeúchana
1	Eekahroúchanu
1	eepihti
1	eeraddinatu
1	eerihj
1	Eeúahkuma
1	eeweddihs
1	eezehlis
1	eezeltus
1	Elle^
1	Eòìeïi
1	Eòìeïus
1	eúmu
1	eúúat
1	eúúus
1	Gaddibas
1	Gaddibu
1	gaidam
1	gan
1	Garra
1	Gohda^
1	Gohdibu
1	Gohds
1	Gohdu
1	Gomorru
1	Grahmata^s
1	Grahmatu
1	Grehku
1	gribbedams
1	Gribbeúchanu
1	gruhti
1	Gudribas
1	guh§titi
1	ih§tena
1	ikdeenas
1	ikweenam
1	ilgi
1	isbehgs
1	isguddrotahm
1	iskrihtat
1	iskuh§t
1	iskuúúihs
1	ismahziti
1	ispuúchkoteem
1	israhwis
1	israut
1	is§uddihs
1	jaunas
1	jaunu
1	jaw
1	jepúchu
1	Jsglahbúchanu
1	Jsred§eúchanu
1	Js§tah§tiúchanas
1	kadehï
1	kahdam
1	Kahrdinaúchanas
1	Kahribahm
1	Kahribu
1	kahrigi
1	kahrtigi
1	Kalnu
1	Kalpi
1	Kalpoúchana^
1	Kalpoúchanu
1	Kalps
1	Kalpu
1	kam
1	kawe
1	Kaweúchanu
1	klaht
1	klahtbuhdamas
1	klupúeet
1	krahpdami
1	krahpj
1	kuhtrus
1	kur
1	Kur
1	Kurmju
1	kuººa
1	kuººa^s
1	kuººam
1	labbaki
1	labbeem
1	labbi
1	labs
1	Laika
1	Laika^
1	Lattu
1	Ïaudim
1	Laulibas=Pahrkahpajas
1	leelakas
1	leelaki
1	leelas
1	Leeta^
1	Leetahm
1	Leezeet
1	Leezibu
1	Lehnprahtibu
1	lehnprahtigs
1	lepnus
1	lihd§
1	likdams
1	Lohps
1	mahjoda~s
1	Mahza
1	Mahzibas
1	Mahzitajeem
1	Mahzitaji
1	maitata
1	maldijuúchees
1	manna
1	mannu
1	mans
1	Manta
1	Meera
1	Meers
1	Mehditajeem
1	mehr
1	mehtatas
1	me§dami
1	Mihle§tibu
1	Mihlibas
1	Mihlibu
1	mihïoja
1	mittejahs
1	mitteúchohs
1	mohzijis
1	Mohziúchanu
1	muhs
1	muhúas
1	muh§chigi
1	muh§chigo^s
1	muh§chigu
1	Nakti^
1	Na§ta
1	neaugligus
1	neds
1	Negauúibas
1	Negauúibu
1	nekahdu
1	òemdami
1	òemt
1	neúchíih§tahm
1	neúchíih§tu
1	ne§dams
1	neús
1	ne§tipprinatas
1	netaiúneem
1	Netaiúnus
1	niknakas
1	nizzina
1	No&a&úu
1	nodewis
1	nogah§is
1	nokauti
1	nolahdeti
1	Nolikúchana
1	nolikti
1	Nomaitaúchanas
1	noúohdijis
1	noteekam
1	notikke
1	notikkuúi
1	notiks
1	notizzis
