Vârdformu skaits:	939
Vârdlietojumu skaits:	2303


109	un
88	irr
58	to
57	kas
56	ne
51	ta
38	juhs
36	ka
35	no
35	tas
33	tahs
25	weens
16	Bet
16	buhs
16	wiòúch
15	Brahïi
15	Jo
15	juhúu
15	tad
15	teem
14	arrid§an
14	eekúch
14	jums
13	Deewa
13	ja
12	mehs
12	pee
12	tee
12	tohp
11	tu
11	weena
10	bet
10	Darbeem
10	eúúat
10	Kunga
10	ta`
10	tohs
9	ar
9	preekúch
9	tam
9	Tizziba
9	Un
8	par
8	us
7	manni
7	nu
7	pahr
7	patt
6	Bauúlibu
6	bes
6	jeb
6	juhúas
6	lai
6	úawu
6	Tad
6	tappis
6	wiòòu
6	zaur
6	Zilweks
5	jo
5	Juhs
5	ka`
5	kad
5	ko
5	pehz
5	úakka
5	úew
4	Behdahm
4	buhtu
4	eúúam
4	itt
4	kahds
4	Kungs
4	laid
4	lihd§
4	nahk
4	Ne
4	neds
4	No
4	nomirruúi
4	Paúaules
4	pretti
4	úawas
4	Tizzibas
4	Tizzibu
4	tur
4	Wahrda
4	Wahrdu
4	warr
4	ween
4	weenu
4	wiòòam
4	wiúúeem
4	wiúúu
4	1
3	augúchanes
3	Bauúlibas
3	buht
3	Darbi
3	Darritajs
3	daud§
3	Deewam
3	Deews
3	Deewu
3	dohd
3	eúúeet
3	eúúi
3	Grehkus
3	Ja
3	Jehkabs
3	kahrdinahts
3	luhd§at
3	Luhgúchana
3	luhgt
3	mahza
3	Meeru
3	Meeúu
3	Mehle
3	mihïi
3	neììi
3	ohtru
3	paúcha
3	Pateeúibas
3	prett
3	Rak§ts
3	red§i
3	Red§i
3	Semmes
3	§innat
3	Úirdis
3	§tahw
3	§tarpa^
3	Ta`
3	tappuúi
3	tew
3	tik
3	To
3	tohpat
3	tuwu
3	Ugguns
3	weena^
3	Wihrs
3	wiòòa
3	14
2	aprunna
2	atgree§ch
2	Abra&a&ms
2	Akka
2	Ap§chehloúchanas
2	Baggati
2	bija
2	Brahli
2	Dabbas
2	dabbuhs
2	darra
2	darrajt
2	darrat
2	darriht
2	darrijuúchi
2	darriti
2	Debbes
2	Draugs
2	Drehbehm
2	Drehbes
2	d§emde
2	eeded§ina
2	Eekahroúchana
2	Eenaidiba
2	Gudriba
2	isglahbs
2	jelle
2	JE§us
2	Jrr
2	Juhºas
2	Juhúu
2	kahda^
2	Kahribahm
2	Kalpoúchana
2	Klauúitajs
2	kluhp
2	Kri§tus
2	labba^
2	labbi
2	labbu
2	Laulibu
2	ïauna
2	leelaku
2	leelijahs
2	lehnprahtigi
2	Lepnibas
2	luhd§
2	luhd§e
2	man
2	Manni
2	Meeúas
2	Mehli
2	mihle
2	muhúu
2	nahkuúi
2	Neììi
2	neneeka
2	palehns
2	palihd§
2	paneús
2	paúchas
2	paúchu
2	pa§trahda
2	pats
2	Pazeeúchanu
2	Pehz
2	pilniga
2	pilnigs
2	Puííe
2	raudajt
2	Raugi
2	rihtu
2	ruhktu
2	úaldu
2	úargatees
2	úawa
2	úaweem
2	úawus
2	úazziht
2	úazzijis
2	úazzitat
2	úchahs
2	Schehla§tibu
2	úchíih§ta
2	úcho
2	úehdees
2	úohda
2	úohdi
2	Úohdibu
2	Úohìis
2	§tarp
2	§tarpa
2	Úwabbadibas
2	Swehro
2	Ta
2	tahda
2	taiúnohts
2	Tam
2	taps
2	tawu
2	Tehwa
2	Tew
2	turrahs
2	turreht
2	Waiga
2	waldita
2	Weeta^
2	wiòòo
2	wirs
2	wiúúa
2	18
2	7
1	ahrenes
1	ahriga
1	ahrigu
1	aisees
1	aismirúigs
1	aismirúis
