Vârdformu skaits:	2994
Vârdlietojumu skaits:	18547


743	un
505	to
440	ne
419	tas
398	irr
383	ka
337	no
318	es
295	uhs
289	úazzija
264	tee
248	kas
232	JE§us
226	juhs
223	ta
220	teem
205	wiòòu
205	wiòúch
191	Un
172	Tad
155	pee
154	eúmu
148	wiòòa
144	tu
141	jums
136	eekúch
135	bet
134	ko
128	bija
124	tahs
112	tad
102	weens
100	ar
99	Bet
88	bij
81	jo
78	atbildeja
75	Es
74	mann
73	man
65	Tehws
64	manni
61	tam
58	Deewa
58	eúúi
57	kad
56	tohs
55	tur
53	úazzijis
52	atkal
51	ja
49	mannim
47	mehs
46	nu
45	Kungs
45	tew
44	Jo
43	nahze
41	JE§u
41	pats
40	kur
40	úuhtijis
39	arrid§an
39	dewis
38	buhs
37	úakku
37	Tehwa
37	wiòòam
36	daud§
36	eúúam
36	Mahzekïi
36	Tas
36	weenu
35	Dehls
35	Juddi
35	Tehwu
34	Ja
33	Mahzekïeem
33	wehl
32	eúúat
32	Kri§tus
32	úawu
32	tapehz
31	Kad
31	par
31	Paúaules
30	Leezibu
30	nahk
29	arri
29	Kas
29	mannu
29	preekúch
29	warr
28	Ka
28	nahzis
28	pehz
28	úchis
27	Ne
27	pateeúi
26	manna
26	tizz
26	tohp
26	us
25	buhtu
25	dehï
25	juhúu
25	red§eja
25	Zilweks
24	Pehteris
24	úewim
23	Tee
23	Wahrdu
22	pahr
22	zaur
22	zitti
21	mans
21	Pateeúi
21	úaweem
21	ta`
21	tewi
20	Deena^
20	Deews
20	Dehlu
20	dohd
20	mums
20	pakkaï
20	Paúaule
19	gahja
19	ittin
19	Ko
19	tizzeja
19	1
18	ir
18	Jahnis
18	Juddeem
18	paleek
18	tizzat
17	darrijis
17	Debbes
17	Leetas
17	úakka
17	úcho
17	§innam
17	§tarpa^
17	Wahrds
17	ween
17	Wiòúch
17	Zilweka
16	Azzis
16	Ïaudis
16	neds
16	Paúaule^
16	runnajis
16	úawa^
16	úawas
16	Úeewa
16	§tahweja
16	tahm
16	tomehr
15	Awis
15	jeb
15	nahkt
15	runna
15	Úchis
15	taptu
14	ahra^
14	eet
14	isgahja
14	Juhs
14	neneeka
14	red§
14	Uhdeni
14	wairs
14	wiúúi
13	darra
13	diwi
13	eúúus
13	Juddu
13	lihd§
13	mannis
13	úewi
13	§innaja
13	tawu
13	Wahrda^
13	warrat
12	darru
12	Deewu
12	eemu
12	Gaiúchums
12	Galilejas
12	jaw
12	Kahjas
12	kam
12	nahks
12	Pehz
12	Pilatus
12	Úakka
12	úakki
12	§innat
12	§innu
12	tapt
12	To
12	tuwu
12	UN
12	Wahrda
12	wairak
12	wiòòeem
11	bijis
11	Brihdi
11	Darbus
11	dohmu
11	D§ihwibu
11	eúúohts
11	Garru
11	Mahria
11	ma§u
11	Mehs
11	nogahja
11	runnaju
11	úchi
11	úchihs
11	§tarp
11	Tu
11	weena
10	Balúi
10	buhdams
10	darriht
10	darrija
10	Deewa=Namma^
10	dewe
10	Gohdibu
10	Gohdu
10	gribbu
10	Kru§ta^
10	kurren
10	labbu
10	Mahzeklis
10	mekle
10	Mo§us
10	Neììi
10	newa
10	No
10	no=eemu
10	nokaut
10	Paúauli
10	paúcha
10	paúchu
10	runnaja
10	Úazzija
10	Semmes
10	Úihmanis
10	Stunda
10	taggad
10	tanni^
10	tappa
10	wiúúas
10	wiúúu
10	Zilweku
9	augúcham
9	Augïus
9	D§ihwoúchanu
9	ehd
9	gribbeja
9	kurrenes
9	kurúch
9	Laiks
9	Mai§i
9	mannas
9	Meeúas
9	muhúu
9	nahkuúi
9	nomirris
9	Prahtu
9	Praweets
9	rak§tihts
9	red§eht
9	red§eúeet
9	§inni
9	§taiga
9	tai
9	Wels
9	weúúels
8	atradde
8	Deenas
8	Dehlam
8	drohúchi
8	D§ihwiba
8	d§irdeja
8	eenihd
8	Eúúi
8	gann
8	Gars
8	Leeziba
8	Mai§e
8	manna^
8	mekleja
8	muh§cham
8	nahku
8	noh§t
8	palikke
8	pa§ih§tu
8	Pateeúibas
8	red§ejis
8	Red§i
8	Rohkas
8	úazzidami
8	úchahs
8	Úchi
8	§inna
8	Úwehtkeem
8	Ta
8	teeúcham
8	Tohms
8	Uhdens
8	Wahrdus
8	wiòòas
8	zehlehs
8	zits
7	aklis
7	arrig
7	Arrig
7	buht
7	Darbi
7	dohúchu
7	d§irdejis
7	d§irdejúchi
7	Gans
7	itt
7	JE§um
7	kahds
7	kahdu
7	Kappa
7	Íehniòúch
7	Kungu
7	mihle
7	mihleja
7	Miººoòeem
7	muh§chigi
7	nahkam
7	òehme
7	pa
7	pagohdinahts
7	pa§ih§tat
7	peed§immis
7	peepildihts
7	Pehteºa
7	Pehteri
7	red§ejúchi
7	red§i
7	úewis
7	Úihmani
7	tappis
7	tewim
7	tizzeht
6	alla§chiò
6	Abra&a&ms
6	Aug§tee=Pree§teºee
6	Awim
6	buhtut
6	Eeúahkuma
6	Eij
6	gribbat
6	gribbedams
6	isgahjis
6	kahdas
6	Kru§ta
6	Lahzarus
6	Ïaudim
6	leelaks
6	luhd§e
6	luhgúeet
6	Mahte
6	Mahzitajs
6	Marta
6	Meeúu
6	meklejat
6	mihïo
6	muh§chiga
6	muh§chigu
6	neeka
6	neús
6	nodewe
6	ohtru
6	papreekúchu
6	parei§i
