Vârdformu skaits:	4830
Vârdlietojumu skaits:	23521


1739	un
570	to
499	tas
413	no
395	ne
375	tee
375	wiòúch
355	kas
352	bet
338	irr
331	ta
321	ka
319	teem
313	úazzija
199	es
193	uhs
192	pee
185	juhs
184	us
181	wiòòu
179	tad
174	jo
169	ar
166	bija
164	kad
152	wiòòa
147	tahs
140	jums
135	tu
117	tohs
114	weens
112	tam
105	ko
99	buhs
98	je§us
93	arrid§an
86	deewa
81	dehla
79	pahr
77	tur
75	bij
72	tew
71	weenu
64	úawu
62	kungs
62	wiòòam
53	eúúi
53	man
52	eekúch
51	úakku
50	eúmu
50	nahze
50	pehz
49	ja
49	mums
49	preekúch
48	taps
47	ta`
46	daud§
46	red§i
45	kam
45	tohp
44	úawa^
43	dehls
42	jeb
41	tapehz
41	wiúúi
40	úazzidams
39	deewu
38	leetas
38	weena
37	úcho
36	atbildeja
36	juhúu
36	ïaudis
36	neds
36	zaur
35	notikkahs
34	diwi
33	mannim
33	par
33	úchis
33	zilweka
32	mehs
32	tappe
32	wehl
32	wiúúu
31	ïaudim
31	namma^
31	§tarpa^
30	wiúúeem
29	prett
29	úawas
29	tappa
28	nahk
27	arri
27	úaweem
27	úchi
27	zilweks
26	kunga
25	atkal
25	eúúat
25	nu
25	pakkaï
25	tahm
25	tewim
24	úazzidami
24	tawu
24	tehws
23	augúcham
23	pats
22	deena^
22	mans
22	tapt
22	wahrda^
21	lihd§
21	mahzekïeem
21	tai
21	tanni^
21	tawa
21	wahrdu
20	buhtu
20	gahja
20	ir
20	manni
20	semmes
20	tomehr
20	weena^
19	darriht
19	debbes
19	dehlu
19	lihd§ibu
19	manna
19	úazziht
19	waj
18	je§u
18	kahdu
18	kur
18	mann
18	red§eja
18	úawus
18	§tarp
18	wiúúas
17	eúúam
17	patt
17	runnaja
17	úeewa
17	ween
17	weenam
17	zeïïu
16	deews
16	gahje
16	nahks
16	rak§tihts
16	úawa
16	§tahweja
16	teekams
16	zitti
15	darra
15	d§irdeja
15	jaw
15	kri§tus
15	kungu
15	mahria
15	mahza
15	nahzis
15	rohkas
15	taws
15	tuwu
15	wairak
14	dehï
14	grehkeem
14	laid
14	luhd§e
14	mannis
14	newa
14	pa
14	pehteris
14	tewi
14	wahrda
14	wiúúus
13	appakúch
13	atradde
13	augïus
13	darrija
13	darrijis
13	doht
13	eeúahze
13	eet
13	eúúohts
13	galilejas
13	ittin
13	jeru§alemes
13	klaht
13	lai
13	úakka
13	úchahs
13	úchihs
13	úeewas
13	úuhtija
13	warr
13	zehlehs
13	1
12	arrig
12	atbildedams
12	atpakkaï
12	brihnijahs
12	deenas
12	deúmits
12	dewe
12	d§ird
12	eòìelis
12	eúúaht
12	gribbeja
12	gribbu
12	itt
12	leels
12	neneeka
12	ohtru
12	red§edams
12	red§eht
12	tanni^s
12	tehwa
12	tudaï
12	warru
11	apkahrt
11	ba§niza^
11	deena^s
11	eek§ch
11	eh§t
11	jahòa
11	jahnis
11	ka`
11	laika^
11	mahte
11	muhs
11	nahkt
11	paúcha^
11	paúchi
11	pilatus
11	red§
11	úewim
11	wahrds
11	waijaga
11	wal§tiba
11	wiòòas
11	wiòòeem
11	wiús
11	zilwekeem
10	behrneem
10	buhdams
10	dahwida
10	d§irdeht
10	eij
10	galda
10	jahni
10	jeru§alemi
10	kahda
10	kahds
10	kalps
10	kritte
10	laiks
10	mahzekïi
10	mahzitajs
10	mannu
10	mekleja
10	notiks
10	pilsúata
10	runnaht
10	úakki
10	úchodeen
10	úeewu
10	úew
10	tawas
10	tehwu
10	wahrdus
10	wal§tibu
10	wirs
10	zeek
10	zilweku
10	zitteem
9	behrni
9	bes
9	bijis
9	buht
9	darri
9	deewam
9	dohs
9	erodus
9	gann
9	garra
9	gree§ehs
9	isgahje
9	kahdas
9	labbu
9	meeúas
9	mo§us
9	paúchu
9	pateeúi
9	pilsúata^
9	praweets
9	pretti
9	úcheit
9	úirds
9	§tahw
9	stunda^
9	tawa^
9	teeúu
9	teize
9	tukúneúi^
9	waizaja
9	wari§e&e&ºi
9	weeta^
9	wihrs
9	wiò§ch
9	zittus
8	azzis
8	darrajt
8	darrijs
8	dewis
8	drehbes
8	d§ihwo
8	eekúcha
8	eúúim
8	greek
8	jautaja
8	kahjas
8	kalpu
8	kuººa^
8	kuººam
8	kurúch
8	ïau§chu
8	leelu
8	leetahm
8	ïohti
8	mannas
8	mantu
8	mei§teri
8	noteek
8	notikke
8	ohtrs
8	paúluddinaja
8	preek§ch
8	preekúcha^
8	pulks
8	red§ejúchi
8	úakkajt
8	úazzijis
8	úwehta
8	úwehtu
8	tappis
8	tik
8	usòemm
8	weúúalus
8	widdu
8	wiúúa
8	zilts
8	zitta
8	zittas
7	aisgahje
7	akmiòeem
7	apdraudeja
7	bihjajahs
7	brehze
7	debbeúi^s
7	deena
7	dohd
7	dohdeet
7	dohts
7	ee=eet
7	eita
7	gaddeem
7	gars
7	gribbetu
7	ikkatrs
7	isgahjuúchi
7	i§rae#ïa
7	kahjahm
7	kungam
7	labbas
7	laiku
7	leelas
7	mai§i
7	mantas
7	namma
7	nammu
7	neììi
7	òehme
7	òemm
7	nogahje
7	ohtra
7	papreekúchu
7	paúcheem
7	peepildihts
7	pilns
7	pilsúatu
7	praweeúcheem
7	preekúcha
7	pree§teºeem
7	rohku
7	úauze
7	úawahm
7	úazzihs
7	úazzihts
7	úchim
7	úchohs
7	§emme^
7	úihmani
7	sihmi
7	úwehdeena^
7	wall
7	wal§tiba^
7	wedde
7	weenas
7	weetas
7	welli
7	welns
7	wiòòai
7	wiòòo
7	zelúees
7	zilwekam
6	akmini
6	aug§teem
6	balúi
6	dabbu
6	deenahm
6	deewa=wal§tibas
6	dohmas
6	ehde
6	garru
6	gribb
6	ikweens
6	is
6	isgahjis
6	juddu
6	juhúas
6	kamehr
6	kluúúu
6	kohpa^
6	labbi
6	labs
6	laiwa^
6	leela
6	leezibu
6	luhd§eet
6	mahzija
6	mai§es
6	ma§
6	meera
6	meeúa
6	meita
6	muhúo
6	nabbageem
6	nahkahs
6	òehmis
6	òemmeet
6	no=eet
6	nogahjuúchi
6	notizzis
6	padeúmits
6	palikke
6	paúaules
6	pehteri
6	pirms
6	prahts
6	red§edami
6	runna
6	úazzidama
6	úcheem
6	taptu
6	tawi
6	tawus
6	tizziba
6	tohpi
6	trihs
6	trim
6	warreja
6	warri
6	wella
6	wellus
6	wihri
6	wiòòi
6	wiúúahm
6	woj
6	zeetuma^
6	zits
6	zittu
6	11
6	2
6	3
5	abbi
5	abra&a&ma
5	abra&a&ms
5	apúehdehs
5	atgree§uúchees
5	atraddis
5	atraitne
5	atrohd
5	at§tahjuúchi
5	aug§tee=pree§teºee
5	azs
5	baggats
5	bauúlibas
5	behrniòúch
5	behrns
5	behrnu
5	behrnus
5	bih§tees
5	bih§teetees
5	brahïi
5	brahlis
5	brihdi
5	darrijúchi
5	draugs
5	d§ihwoúchanu
5	dwehúeli
5	eegahja
5	eekúcha^
5	eijoht
5	elih§abet
5	eúúeet
5	gaddijahs
5	gallam
5	ganni
5	garra^
5	grehkus
5	grehzineeki
5	grehzineeku
5	gribbi
5	ilgu
5	isd§enn
5	jahòam
5	ja§epa
5	ja§eps
5	jehkabu
5	jeruh§alemes
5	je§um
5	juda
5	kahpe
5	kalna
5	kalpeem
5	klahtu
5	kïuhs
5	kohks
5	kru§ta^
5	kurra^
5	kuººu
5	laika
5	laiwas
5	lehtaki
5	lihd§iba
5	likke
5	lizzis
5	luhd§
5	luhk
5	mahti
5	mahzeklis
5	meers
5	mihïo
5	muhúu
5	muttes
5	nahktu
5	nahkuúchi
5	nahkuúi
5	nahz
5	nams
5	neús
5	notikt
5	pahrgahjis
5	parei§i
5	paúcha
5	pawehleja
5	peeluhd§e
5	peeluhgt
5	prahta^
5	preezajeetees
5	raugi
5	red§aht
5	red§eet
5	rohka
5	úakkaht
5	úatans
5	úauz
5	úawam
5	úazzijs
5	schehla§tibu
5	úeh§ch
5	úewis
5	sihme
5	§inna
5	§innaht
5	úlawa
5	§taiga
5	§taigaja
5	tahïu
5	tapúeet
5	tautas
5	teeúcham
5	teiz
5	tizzibu
5	treúcha^
5	wainas
5	wairs
5	wari§e&e&ºeem
5	weetu
5	wihra
5	wiúúai
5	zakarias
5	zee§t
5	zehlees
5	zellees
5	zilweki
5	zittur
5	18
5	27
5	4
5	7
4	ahra
4	aiseet
4	aiskahre
4	alga
4	ap§chehlojees
4	apu§tuïi
4	atgree§damees
4	atgree§ehs
4	atraddihs
4	atraitnes
4	atra§ts
4	at§tahj
4	ba§niza^s
4	brahli
4	brahïus
4	darriúchu
4	debbeúim
4	deewa=namma
4	deewa=wal§tibu
4	diweem
4	diwipadeúmits
4	dohmu
4	draugus
4	d§eedinaht
4	d§ihws
4	d§irdejúchi
4	dwehúele
4	eegahjis
4	eenaidneekus
4	eenihd
4	ehd
4	ehku
4	elijas
4	eòìeïeem
4	erohdus
4	eúúoti
4	eúúus
4	gaddus
4	gaidija
4	gaiúma
4	garreem
4	gau§chi
4	gluhneja
4	grahmatu
4	grehki
4	ikdeena^s
4	irrag
4	jehkaba
4	jeru§aleme^
4	juhúa^s
4	kalneem
4	kalpam
4	kapehz
4	kappa
4	íehniòúch
4	íei§eºam
4	kri§titi
4	kummeïu
4	kur§ch
4	labba
4	lauka
4	lauliba^
4	ïauna
4	ïaunu
4	leek
4	leeta
4	luhd§is
4	mahzeklus
4	mahzekïus
4	mallas
4	manna^
4	mannam
4	mannus
4	marta
4	mettehs
4	mihïais
4	muh§chigu
4	nahwes
4	neaugliga
4	neúúe
4	newaid
4	nizzina
4	nogahja
4	noh§t
4	nokaut
4	nomannija
4	nomirruúi
4	noúaukts
4	ohtra^
4	padebbes
4	palai§t
4	parahdijahs
4	pa§ih§tu
4	pateize
4	peederr
4	peedohti
4	peedohts
4	peenahkahs
4	pilsúateem
4	pohdus
4	prahtu
4	praweeúchi
4	preezajahs
4	prohti
4	rak§tu=mahzitaji
4	rak§tus
4	red§eúeet
4	rohkahm
4	runnajoht
4	úaukt
4	úchee
4	úchinni^
4	úchíih§ti
4	úchíitte
4	úeewahm
4	úehdees
4	úehdeja
4	semme^
4	úeptiòi
4	§ew
4	úezzen
4	úihmaòa
4	§innajt
4	§innatu
4	úitte
4	úlaweja
4	úluddina
4	úluddinaht
4	úpehks
4	úuhtihts
4	úwehtais
4	úwehtas
4	úwehtigi
4	úwehtija
4	tadehï
4	taggad
4	tahïenes
4	taiúns
4	tapúi
4	teems
4	u~
4	ugguni
4	waigu
4	wal§tibas
4	wells
4	wellu
4	weúúalu
4	wihna=kalna
4	zakeus
4	zeenigs
4	zehle
4	16
4	20
4	46
4	5
4	50
3	abra&a&mam
3	aisgahja
3	aisleed§
3	aisleed§e
3	aizinaja
3	aizinajis
3	ak
3	alla§chiò
3	ap
3	apmehdija
3	apúlehpts
3	atgree§chahs
3	atgreeúchanas
3	atgree§iúees
3	atnahze
3	atòemts
3	atradduúi
3	atrohmu
3	at§tahje
3	at§tahts
3	atweddeet
3	augïeem
3	auúis
3	azzi^
3	baggata
3	baggatibas
3	barribu
3	ba§nizas
3	be&e&lzebubu
3	beedreem
3	bih§tahs
3	biííeri
3	brahïam
3	buhúeet
3	dahwids
3	darbeem
3	darbu
3	darrat
3	darrihs
3	darritu
3	debbeúi
3	deewa=namma^
3	dehlam
3	dohmaja
3	dohta
3	dohtu
3	draugeem
3	drehbehm
3	d§eedina
3	d§eedinati
3	d§eºº
3	d§ihwibu
3	d§ihwu
3	dumpja
3	dwehúeles
3	ee=eeúeet
3	eedams
3	eelahm
3	eenaida^
3	eeradduma
3	eeúahks
3	eïies
3	eòìeïa
3	eòìeli
3	e§aijaúa
3	e§era
3	gabriels
3	gailis
3	gaiúmu
3	galwas
3	galwu
3	garram
3	garrs
3	gohdibas
3	gohds
3	gohdu
3	grehko
3	gribbedami
3	gulleja
3	ik
3	ikkatram
3	isd§ennu
3	iseij
3	istruhzinajahs
3	ja=ehd
3	jelle
3	jeru§aleme
3	johnaúa
3	juhúo
3	kadehï
3	kahda^
3	kalnu
3	kalpa
3	kalpoht
3	kalpoja
3	kalpus
3	kappu
3	kapteine
3	klahjahs
3	klauúa
3	klauúija
3	klehpi^
3	kri§tibu
3	kri§titaju
3	kri§tum
3	krittihs
3	kurneja
3	kurp
3	labbaki
3	labbs
3	ïaudis{laudis}
3	lauka^
3	laulibu
3	lazarus
3	leeldeenas
3	leeldeenas=jehru
3	lihd§i
3	lihd§inajams
3	lihgúmiba
3	likt
3	liktohs
