Vârdformu skaits:	4419
Vârdlietojumu skaits:	22498


1541	un
469	to
405	no
390	ne
382	tas
373	tee
369	irr
340	kas
334	bet
333	ka
290	úazzija
286	teem
269	tad
267	us
245	wiòúch
243	juhs
203	es
191	pee
178	wiòòa
176	jo
157	je§us
155	jums
152	kad
151	ar
142	tha
127	buhs
124	tohs
123	ta
123	tu
116	wiòòu
108	ko
99	tam
84	bij
84	ja
82	weenu
74	weens
71	tohp
70	úawu
70	tew
64	tahs
61	bija
61	jeb
61	úakku
61	zaur
60	thas
60	tho
58	kungs
58	red§i
58	ta`
57	daud§
56	nahze
52	eúúaht
51	dehls
51	tur
49	deewa
49	pahr
48	nu
48	wiòòam
47	tapehz
47	taps
46	atbildeja
45	diwi
44	juhúo
43	arri
43	par
42	man
41	mahzekïi
40	eúúi
39	gahje
39	ïaudis
39	lihd§
39	mehs
39	pehz
39	tappe
38	d§imdinaja
38	eúmu
37	eekúch
37	preekúch
37	úewim
36	kri§tus
36	mums
36	neds
36	úaweem
35	úakka
35	semmes
35	uhs
35	wehl
35	zilweka
33	tahm
32	lai
32	mannim
32	úawus
31	ïaudim
31	úchis
31	wiòòo
30	ir
30	manni
29	arrid§an
29	red§eja
28	kam
28	mahzekïeem
28	pateeúi`
27	úawa^
27	wiúúu
26	gann
26	úawas
25	atkal
25	greek
25	kur
25	manna
25	pakkaï
25	tawa
24	debbeúi^s
24	je§u
24	nahk
24	wiúúi
23	gribbu
23	luhk
23	mans
23	prett
23	tehws
22	darra
22	deewu
22	kahdu
22	tehwa
22	tewi
22	weena
22	weenam
21	debbes
21	dehï
21	doht
21	wahrdu
21	warr
21	ween
20	tai
20	taptu
19	leetahs
19	pehteris
19	§tarp
19	tewim
19	tomehr
19	wiúúahs
19	zilweks
19	1
18	augúcham
18	òehme
18	úcho
18	waj
18	wirs
18	wiús
17	eúúam
17	patt
17	úawa
17	semme^
17	tanni^
17	wairak
17	zilweku
16	aisgahje
16	kalps
16	nahks
16	nahzis
16	nogahje
16	praweetu
16	runnaja
16	teekams
16	tehwu
16	tudaï
16	wahrda^
15	buht
15	buhtu
15	darrija
15	deews
15	dehlu
15	eite
15	íehniòúch
15	namma^
15	newa
15	rohku
15	úazzidams
15	úirds
15	§tahw
15	tapt
15	wiòòeem
15	zilwekeem
15	zitti
15	zittus
14	bes
14	debbeúo
14	isgahje
14	kunga
14	laika^
14	mannis
14	pa
14	pats
14	úawahs
14	úazzihts
14	úazzijis
14	úchi
14	úewi
14	wallod
13	augïus
13	darriht
13	dawida
13	d§irdeja
13	eet
13	erodus
13	jahnis
13	mahza
13	mahzitais
13	òemm
13	paúcha^
13	tawu
13	tik
13	wirúu
13	zeïïu
12	ikkatrs
12	itt
12	labbu
12	mahti
12	paúchu
12	peepildihts
12	rak§ta=mahzitajeem
12	úazzihs
12	úchihs
12	úeewa
12	turrenes
12	wiúúa
11	debbeúo=wal§tiba
11	d§ird
11	eeúahze
11	grehkeem
11	kapehz
11	kru§ta^
11	laika
11	leekuïi
11	lihd§ibu
11	mahte
11	nahkt
11	paúaules
11	peegahje
11	pretti
11	úcheem
11	úcheitan
11	úeewu
11	stunda^
11	trihs
11	wall
11	wella
11	wiòòas
10	akli
10	azzis
10	behrneem
10	behrni
10	biju
10	deena^
10	d§irdejúchi
10	jahòa
10	jaw
10	ka`
10	laiwa^
10	mann
10	namma
10	ohtru
10	papreekúchu
10	peederr
10	pohdus
10	úazziht
10	úchohs
10	§innaht
10	úwehtigi
10	wal§tiba
10	wal§tibas
10	zeek
10	zehlehs
10	zitta
9	behrnu
9	brahli
9	deewam
9	dehla
9	deúmits
9	dewe
9	dohts
9	drehbehs
9	eij
9	eúúohts
9	isgahjis
9	ittin
9	jesus
9	laulibu
9	ïau§cho
9	mahtes
9	mannu
9	neggi
9	neweens
9	no=eet
9	noh§t
9	nokaut
9	pawehlejis
9	pilsúata^
9	rak§tihts
9	red§
9	runna
9	§tarpa^
9	úuhtija
9	taws
9	wari§e&e&ºi
9	wezzajeem
9	wiúúus
8	ahra^
8	akmini
8	atradde
8	bih§teetees
8	eh§t
8	eòìeïi
8	eúúeet
8	eúúim
8	galilejas
8	galwu
8	garru
8	gribbi
8	jeru§alemes
8	kohks
8	kritte
8	kungu
8	kurúch
8	lihd§ibahm
8	likke
8	luhd§e
8	maria
8	nahkuúchi
8	nodohs
8	red§eht
8	red§ejúchi
8	úakki
8	úawam
8	semmi
8	sihme
8	stundu
8	úwehtu
8	tuwu
8	wahrds
8	wahrdus
8	wal§tiba^
8	zeetuma^
8	16
7	ahra
7	alga
7	ap
7	appakúch
7	atrohd
7	aug§tee
7	ba§niza^s
7	behrnus
7	brahïam
7	brahïi
7	brihnijahs
7	deenahs
7	dohd
7	dohta
7	ee=eet
7	ehd
7	gallam
7	ja§eps
7	juddo
7	juhºa^
7	kahda
7	kalpus
7	labbi`
7	labbs
7	leek
7	leelu
7	luhgt
7	mahzekïus
7	mai§ehs
7	mai§i
7	meeúa
7	mettehs
7	nahwes
7	noúaukts
7	noteek
7	notizzis
7	parrada^
7	pehteri
7	pirms
7	prahts
7	praweeúchi
7	preekúcha^
7	pree§teºee
7	red§eúeet
7	rohkahs
7	úakkait
7	úazzidami
7	úchee
7	úchodeen
7	§uddihs
7	tahdu
7	tawa^
7	tawas
7	wairs
7	wari§ee#ºi
7	warru
7	weeta^
7	wellus
7	wiúúeem
7	zebedejuúa
7	zelúees
7	zilwekam
7	13
7	2
7	5
6	aiskahre
6	apgrehzibu
6	aug§teem
6	awis
6	azs
6	brahlis
6	brahïus
6	brehze
6	dabbujis
6	darrijis
6	debbeúo=wal§tiba^
6	dehlam
6	dohdeet
6	eegahje
6	eòìelis
6	garra
6	grib
6	gribb
6	gribbeja
6	gulleja
6	isd§enn
6	isgahjuúchi
6	jahni
6	jehkabs
6	judas
6	kalnu
6	kalpeem
6	klaht
6	kuººa^
6	labbaki
6	labbas
6	labbus
6	leela
6	leezibu
6	meita
6	mo§us
6	muttes
6	nahkuúi
6	nahz
6	nahzeet
6	nams
6	òehmis
6	òehmuúchi
6	neneeka
6	nikna
6	nodewe
6	notikkahs
6	ohtra^
6	paúchi
6	pawehleja
6	pilatus
6	praweeta
6	praweets
6	preekúcha
6	pree§teºeem
6	rei§i
6	runnahts
6	úakkaht
6	úapni^
6	úcheit
6	úeewas
6	úeh§ch
6	úihmanis
6	§tahweja
6	§wehre
6	úwehta
6	taiúnibas
6	tawi
6	teeúu
6	tukúneúi^
6	ugguni^
6	uhdens
6	wahrda
6	waizaja
6	wakkars
6	wells
6	weúúelus
6	wezzajee
6	wiòòai
6	wiòòi
6	wiúúai
6	zelúchanas
6	zits
6	zittu
6	19
6	28
6	3
5	aizinaja
5	algu
5	apkahrt
5	ap§chehlojees
5	apúehdehs
5	atnahze
5	augïeem
5	bijis
5	bruhtgans
5	dahwanu
5	darrait
5	darrihs
5	darrijúchi
5	deenas
5	d§eedina
5	d§irdeht
5	dwehúeli
5	eekúcha^
5	eeme§ts
5	eeúahkuma
5	egiptes
5	galda
5	gohda
5	graúúi
5	gribbaht
5	jehkabu
5	jeru§alemi
5	je§um
5	kahda^
5	kahds
5	kahjahm
5	kamehr
5	klauúa
5	kri§titais
5	labbad
5	labbi
5	lamma
5	leelakais
5	leelaks
5	lihd§a
5	ïohti
5	ïohti`
5	luhd§eet
5	mahzibu
5	mai§es
5	manna^
5	mantas
5	mantu
5	meeru
5	meeúahs
5	meeúu
5	muhs
5	nahkam
5	nammu
5	neeka
5	òemmeet
5	òemt
5	neús
5	nodohts
5	notikkuúchi
5	ohtra
5	padeúmits
5	pagaòeem
5	pahrkahpj
5	parradu
5	peeklahjahs
5	peezahs
5	peezus
5	pehdejee
5	pirmak
5	pirmee
5	pïaujama
5	praweeúchus
5	rabbi
5	rak§ta=mahzitaji
5	raudaúchana
5	rauga
5	rihta
5	rohbe§chahm
5	rohka^
5	úagahna
5	sahle
5	úchim
5	úchíeetaht
5	úeewahm
5	úehdeja
5	úehjis
5	úehts
5	semmes=walditais
5	sihmi
5	§inna
5	úi§ts
5	úleppeniba^
5	úluddina
5	sohbo=trihzeúchana
5	§taigaja
5	úwehdeena^s
5	taiúni
5	tauta
5	taweem
5	teju
5	tewis
5	tizzibu
5	tumúiba^
5	u~
5	ugguns
5	usòemm
5	waijaga
5	wari§e&e&ºeem
5	wari§ee#ºeem
5	wedde
5	wehrtas
5	wihna=kalna^
5	wiò§ch
5	wiúúa^
5	wiúsma§akeem
5	zellees
5	18
5	20
5	22
5	23
5	9
4	abrahama
4	aisleegt
4	ak
4	aklus
4	akmins
4	apleezina
4	arrig
4	aúúinis
4	aúúins
4	atbildehs
4	atgahje
4	atlaide
4	atlai§t
4	atmakúahs
4	at§tahje
4	at§tahjis
4	auúis
4	azz
4	babiloni
4	ba§niza^
4	behdahs
4	biííeri
4	buhdams
4	darbus
4	daud§eem
4	dawids
4	deena^s
4	deenai
4	deenu
4	dewis
4	diwipadeúmits
4	draugs
4	d§ert
4	d§ihwibu
4	d§irdedami
4	ee=eij
4	ee§chehlojahs
4	ehrúcheem
4	elias
4	e§aiju
4	eúúat
4	gahjis
4	gaiúma^
4	galileju
4	gau§chi`
4	gribbejaht
4	i§ra&e&ïa
4	i§rae#ïa
4	jardaòa
4	jeru§aleme
4	jonaúa
4	juddo=semmes
4	juhºas
4	juhºu
4	kahdam
4	kah§a^s
4	kappa
4	íehniòa
4	kluúúu
4	kreiúo
4	kri§tihts
4	kri§titaja
4	kungam
4	kungeem
4	kuººu
4	kurwjus
4	labba
4	labbo
4	laiku
4	laúúijúchi
4	lauka^
4	leels
4	leetahm
4	maddaïa
4	makúu
4	manneem
4	marias
4	ma§
4	mehms
4	mekle
4	mekleja
4	mett
4	muhúahs
4	muhúo
4	muitineeki
4	mutti
4	nakti^
4	nakts
4	naudu
4	needru
4	ne§t
4	no=eij
4	no=eite
4	nodohd
4	nogahjis
4	nomohda^
4	notaï
4	notiks
4	ohtram
4	ohtrs
4	paúaule^
4	pateeúi
4	peed§immis
4	peeluhgt
4	peez
