Vârdformu skaits:	464
Vârdlietojumu skaits:	975


51	un
27	irr
22	to
19	no
18	ka`
17	ta
16	tas
14	ka
14	kas
12	eekúch
12	tee
11	kri§tus
9	bija
9	ko
9	tahs
9	teem
8	deewa
8	ne
8	tew
7	deews
7	pehz
7	tam
7	tohp
7	wiòòa
6	bet
6	kunga
6	muhúu
6	pee
6	úcho
6	wiòúch
5	arri
5	bij
5	úawu
5	tai
5	weens
4	ar
4	grahmatas
4	jeb
4	jo
4	kad
4	nu
4	úeewas
4	§tarp
4	ta`
4	tahm
4	tik
4	tohs
4	us
4	wiòòam
4	wiòòu
3	aprak§tihts
3	apu§tuïu
3	behrni
3	buhs
3	ewanìeljums
3	grahmata
3	mahzibas
3	par
3	paúaulei
3	paúaules
3	preeziga
3	preezigu
3	schehla§tibu
3	úchihs
3	tapehz
3	tomehr
3	wahrdi
3	wahrds
3	wairak
3	weh§ti
3	weh§ts
3	wiúúeem
3	wiúúu
3	zaur
3	zilwekeem
3	zilweki
2	appakúch
2	apúohliúchanas
2	apúohliúchanu
2	apúohlita
2	atkaï
2	bauúlibas
2	darbu
2	daud§
2	debbeúi^s
2	deewam
2	dewis
2	doht
2	eeúahkuma
2	galwu
2	gars
2	grahmatu
2	greeíi§íis
2	grehko^s
2	grehku
2	itt
2	jauns
2	je§us
2	kri§tu
2	kungu
2	kuººeem
2	latweeti
2	ïaudis
2	mahziba
2	mahzibu
2	muh§chigu
2	mums
2	nahwes
2	pahr
2	papehdi^
2	paúchi
2	paúchu
2	peed§imúchanas
2	úawas
2	úchi
2	úehkla
2	úehklu
2	úirds
2	úluddinaja
2	úwehts
2	taiúnibas
2	tapt
2	te§tamenta
2	te§taments
2	tu
2	wahrdu
2	warr
2	warru
2	weena
2	weenu
2	wiò§ch
2	wirs
2	wiús
2	zee§t
2	zeetis
2	zilweks
1	adams
1	aiskaweht
1	allotees
1	amen
1	ammatu
1	apgaiúmo
1	apkahrt
1	aprakts
1	apúohliúchana
1	apu§tuïam
1	apu§tuïeem
1	apustuls
1	apu§tuïus
1	arrid§an
1	aúúini
1	atgahjis
1	atkahpuúi
1	atpirktu
1	atra§tiòas
1	at§ih§t
1	augúcham
1	augúchamzellúchanas
1	aug§ti
