Vârdformu skaits:	6653
Vârdlietojumu skaits:	35947


1049	vnd
734	mums
727	to
692	gir
440	nhe
414	tas
414	töw
410	no
391	Vnd
338	tu
336	Deews
326	Ka
317	Kunx
308	tawu
288	mehs
278	ka
240	mann
233	Tas
221	ar
215	es
211	eek§chan
200	par
190	py
190	tam
188	O
173	ta
170	vs
165	e§úi
165	úawu
146	czaur
143	3
142	man
141	2
141	No
141	To
122	4
120	Ar
119	Deewa
115	teems
114	Ta
112	arrid§an
108	muh§chige
105	Wahrdu
105	5
103	Eek§chan
100	tee
99	Nhe
96	buhß
93	Par
93	wiòja
92	6
91	tahs
90	Tu
89	warr
88	Kad
86	Katters
85	Amen
85	weens
84	muh§úu
83	mannu
81	Es
81	Úirdtz
80	buhs
77	Tad
77	wi§úu
75	7
73	alla§chien
73	by
73	ween
71	dohd
71	wi§úeems
70	Hallelujah
70	Kyrie
69	elei§on
69	Tee
68	kas
67	Ai§to
67	kattri
67	Tähws
66	buht
66	Kunghu
65	Kas
65	tohs
64	ä§úam
64	Tam
62	Semmes
61	Dählu
61	Halle
61	Tapehtz
61	tohp
60	katters
60	8
59	pehtz
59	tha
58	Deewam
57	alla§ch
57	Deewu
55	§wähtu
54	Ghräkus
54	JE§um
54	leelu
54	§chäla§tibu
54	tick
53	muh§úo
52	kattru
51	Bett
51	Dähls
51	Gharru
51	tawas
50	CHri§t
50	CHri§tum
50	Czaur
50	JE§u
50	lieds
50	Mee§úu
50	Nahwu
49	Ghräkeems
49	ghribbu
49	Py
49	tohß
49	Töw
48	Vs
47	darra
46	ïohte
46	nu
46	tawa
45	äßmu
44	úöw
44	tad
44	weenu
43	wi§úas
42	jums
42	labb
42	Wahrdtz
41	CHri§tus
41	muh§chigu
41	myïais
41	Preeku
41	§tahw
40	beß
40	d§iewo
39	luhd§am
39	manna
39	muh§cham
38	Dweh§úel
38	taws
38	wir§úon
38	wi§úi
37	Gir
37	kad
37	Kattri
37	preek§chan
37	§cho
37	Tawu
37	warram
37	9
36	Dählam
36	tappa
35	buhtu
35	Dohd
35	Kattru
35	Mehs
35	Tähwam
35	turr
35	Wings
34	Gharrs
34	klaht
34	laid
34	Tähwa
34	wings
34	Wiòja
34	wiß
33	A§úini
33	ghribbätu
33	ko
33	Ïaudis
33	neds
33	Prahtu
33	Úirrdi
32	dauds
32	Halleluja
32	Jeb
32	muh§chiex
31	Ghohtz
31	Ko
31	mans
31	nahk
31	palleek
31	§chehliex
31	§chehlige
31	taß
31	Titzibu
30	auk§cham
30	czeïïu
30	Czillwähx
30	Ghräki
30	Pa§úaules
30	§chäla§tibas
30	Úirrdtz
29	ghann
29	labbu
29	Nahwes
29	§tippre
29	Tha
29	vnde
29	wiòjo
29	10
28	dehï
28	Úirrdes
28	taweems
27	dibben
27	JE§us
27	kattra
27	Pa§úaule
27	Tähwu
26	Däbbä§úu
26	doht
26	Ghräko
26	peed§immis
26	§wähtz
25	Ghohdtz
25	leetz
25	Packlau§úi
25	Pehtz
24	darriyis
24	ghohdu
24	Laid
24	laika`
24	leetas
24	Meeru
24	pallieds
24	patz
24	Prahtz
24	wi§úus
23	bähdams
23	CHri§te
23	ghribb
23	gribb
23	jeb
23	laiku
23	Ïaudeems
23	pallied§i
23	Pallied§i
23	Pa§úargi
23	Preex
23	Rohku
23	úawas
23	úaweems
23	Teems
23	Tomähr
22	Gharram
22	Ja
22	juhß
22	Jumprawas
22	Kungham
22	labbe
22	manns
22	muh§úus
22	Nu
22	Tahs
22	tapt
22	Wälla
22	Weens
22	wehl
21	auxtu
21	d§iewoht
21	Jährs
21	Kattra
21	pallickt
21	Semme
21	§pähku
21	tappis
21	warru
21	winja
21	wi§úa
21	11
20	Behrnings
20	darri
20	Debbeß
20	Elles
20	ïaunu
20	Manna
20	Mums
20	myïu
20	Nahwe
20	Ock
20	Palligu
20	parei§e
20	Pe§titais
20	úacka
20	§cheit
20	§wähtam
20	wairs
20	Wall§tibu
19	Debbes
19	krahßne
19	Kungha
19	ïaun
19	mannas
19	mehß
19	Úawu
19	§chinny
19	§chodeen
19	wi§úo
18	Chri§te
18	dries
18	Ghohdu
18	jo
18	leels
18	Mann
18	muh§úas
18	noh§t
18	pa§§chu
18	Swähtz
18	Taws
18	Tohs
18	weena
18	weenas
18	12
17	Chri§tum
17	ih§tänu
17	Manntu
17	Mee§úa
17	prettie
17	Spähku
17	§wähta
17	tahß
17	tawa`
17	Wahrdam
17	wi§úahms
16	Czillwäka
16	ghanne
16	Kru§tu
16	labpraht
16	muh§úa
16	Neds
16	pallied§eht
16	Preek§chan
16	Schäla§tibu
16	Slawa
16	Taißnibas
16	tawam
16	Titzibas
16	wallda
16	Wall§tibas
15	attkal
15	CHri§to
15	d§iewo§chanu
15	Dweh§úele
15	kahdu
15	lehnibu
15	Mahzibu
15	Palliex
15	patteitzam
15	úawa
15	úawus
15	§lawu
15	§wähtais
15	tahdu
15	tai
15	Tawa
15	Turr
15	wairahk
15	Willtibu
15	Wiß
14	buhtam
14	darrbu
14	labbs
14	Maiß
14	mannus
14	muh§úeems
14	näß
14	pa
14	pattees
14	pattiek
14	peedärr
14	ruhktu
14	tawus
14	Wall§tiba
14	wi§kim
13	Ab§chäloyees
13	Bährni
13	biyis
13	czee§t
13	czerre
13	czerriba
13	darriet
13	d§eedaht
13	d§iewibu
13	eedt
13	Engeïi
13	E§úi
13	ghribbam
13	ghull
13	illge
13	juhs
13	kauna`
13	Krußtu
13	Mannu
13	Mee§úas
13	nabbagu
13	Nhelaimibu
13	peedohd
13	prett
13	úawa`
13	§chäla§tiba
13	§cheitan
13	Taißniba
13	titzeht
13	Titziba
13	tohpu
13	Tohß
13	Weenu
13	Wiòjo
13	13
12	aran
12	attkall
12	A§úins
12	Atzis
12	bähdas
12	Bährnus
12	czehleeß
12	Czillwäkeems
12	Engelis
12	ick
12	ja
12	jemm
12	Konings
12	Mutt
12	Naßtu
12	noteek
12	Parradu
12	patteeß
12	patteickt
12	Rohkas
12	Úaule
12	Schodeen
12	§pied
12	teitzam
12	thöw
12	titz
12	titzam
12	tomähr
12	turreht
12	Wälls
12	Wi§úu
12	14
11	Baußlu
11	bett
11	Chri§titu
11	Debbe§úies
11	Deewi§ku
11	d§iewoyam
11	Dußmibu
11	kahtz
11	kaiteht
11	Kattrus
11	leek
11	leela
11	mahzi
11	muh§chigas
11	nheneeka
11	úamaitaht
11	§chahs
11	Semm
11	tapehtz
11	tawi
11	tawo
11	tay
11	tee§cham
11	tho
11	tohpam
11	vsturr
11	Waidu
11	Wall§tiba`
11	wayaga
10	bähdahs
10	Bährneems
10	Dähla
10	Draud§iba
10	ghribbi
10	kaß
10	kattreems
10	Kunga
10	Labb
10	leeleems
10	mahza
10	mahziet
10	Mohkas
10	Mohku
10	Nabbageems
10	Nhelaim
10	notickt
10	Paddomu
10	pa§úargi
10	Patteitziba
10	Patteitzibu
10	prettieb
10	räds
10	úatziya
10	§chahß
10	Schäla§tiba
10	§innu
10	§kie§tas
10	§tunda`
10	Tawas
10	teitzeeta
10	Wällu
10	Weena
10	Wi§úewalldiex
10	Zion
9	ai§to
9	Chri§tita
9	Chri§titi
9	Dawida
9	dewis
9	Draud§ibu
9	D§iewiba
9	eepreezini
9	Engeïo
9	eß
9	ES
9	ghallam
9	gharru
9	gribbätu
9	J§ra
9	kahda
9	kattras
9	Kur
9	leelas
9	lehnibas
9	luhd§chu
9	Luhk§chanu
9	Mannas
9	manni
9	Mehß
9	muh§chiga
9	nahkt
9	Nhelaimiba
9	nomirris
9	Pallieds
9	pa§§cham
9	preezayahß
9	Rohkams
9	úahpes
9	§awu
9	§chähl
9	§chehligu
9	§laweht
9	§tahweht
9	Tai
9	Taißnibu
9	Tee§úu
9	teitz
9	Teitzeeta
9	tock
9	Warru
9	weeniex
9	wißkim
9	Wi§úus
9	15
8	blehdibu
8	buhdams
8	CHri§ti
8	czittu
8	Däbbä§úa
8	dabbuit
8	darriya
8	Dauds
8	dohma
8	d§eed
8	d§eedam
8	d§eeßmu
8	D§iewibu
8	e§úeeta
8	Eya
8	Ho§ianna
8	i§úami§t
8	jauns
8	Kaunu
8	KVnx
8	laix
8	luhd§cho
8	luhkt
8	mannai
8	mannis
8	Maria
8	Marias
8	Muh§úus
8	nahtz
8	nomirrth
8	pa§úarrgaht
8	pa§úarrgi
8	Pa§úarrgi
8	Pa§úaul
8	pa§§cha`
8	pa§tara`
8	pattee§úe
8	pattee§úu
8	Pe§ti§chana
8	Pe§ti§chanas
8	preezayahs
8	preezigu
8	Radditais
8	raddiyis
8	úackam
8	§kaidre
8	§lahweht
8	§lawa
8	úohliyis
8	§pähx
8	Tappa
8	Tick
8	titzu
8	töwis
8	Wainu
8	warreya
8	Wi§úeems
8	Wi§úi
8	Zeïïu
7	att§tah
7	att§taht
7	Allgu
7	Aran
7	baggahtz
7	bähdahms
7	bähdohß
7	barryoht
7	Beß
7	czeetuma`
7	czehlees
7	Däbbä§úo
7	dabbu
7	dabbuyu§chi
7	darram
7	Darrbs
7	Darrbu
7	Darri
7	darrieth
7	dehwis
7	Draud§ibas
7	d§iewiba
7	d§iewo§chanas
7	Eeúakumu
7	ghodaht
7	ghodu
7	jaunu
7	juh§úu
7	kur
7	labbumu
7	labbus
7	laideeta
7	leeto
7	Lehnibu
7	Mahzi
7	Mannta
7	mitte§chanas
7	muh§cho
7	muh§úam
7	Muh§úu
7	Mylä§tibas
7	myïo
7	nabbagi
7	Nabbagus
7	nahx
7	nicknu
7	Nopällnu
7	o
7	palleekam
7	pawehleyis
7	Peedohd
7	pe§titi
7	preezige
7	red§eht
7	Rohka`
7	runna
7	§inni
7	§kie§tu
7	Slahweyeeta
7	§öw
7	tawai
7	Tawam
7	teickt
7	Tur
7	Vgguns
7	vsluhko
7	Waigu
7	Warra
7	Wir§úon
7	wi§úahs
7	wi§úams
7	Wi§úewallditais
7	wi§úur
7	16
6	ab§chäloyees
6	atkal
6	attpe§tiyis
6	Auk§cham
6	bähdohs
6	bähdus
6	Bährns
6	Barribu
6	bie§tahs
6	Chri§tus
6	czeeni
6	czeeniex
6	czerribu
6	Czillwäko
6	dahrgu
6	Dahwaneems
6	darrbi
6	Debbe§úes
6	deena`
6	Deenu
6	Draud§e
6	Durrwis
6	Dweh§úeles
6	Eenaidneeki
6	eenied
6	Eepreezini
6	Elei§on
6	Engeïeems
6	ghalla`
6	ghallu
6	Gharra
6	Ghodu
6	Ghräku
6	ghullu
6	ih§täns
6	itt
6	jauku
6	jehme
6	Jemm
6	Jrr
6	juh§úo
6	Karryu
6	Kaß
6	kattram
6	KAd
6	Koniòjam
6	krahßna
6	Kru§ta
6	Kungeems
6	Kungu
6	ïauns
6	leeds
6	Leeladeena
6	leelus
6	Leetz
6	Lieds
6	litzis
6	Manni
6	meckle
6	Meers
6	Mohkams
6	Muh§úo
6	nabbaga
6	nabbageems
6	nabbax
6	nahze
6	nahzis
6	neeka
6	ne§úe
6	nopellniyis
6	No§egummu
6	Nun
6	ohtru
6	parr
6	Pa§úauleh
6	pa§§chi
6	patteit§chu
6	Pe§ti§chanu
6	Pe§titayu
6	pilla
6	Pills
6	Úawa
6	Scheitan
6	úeh§ch
6	§emme
6	§innaht
6	Úirdi
6	§kie§ts
6	§laweyam
6	Úohdibu
6	Úohdu
6	úohla
6	Spähx
6	Stahw
6	§wätais
6	taggad
6	tahïe
6	taptu
6	Taß
6	Teekams
6	Tho
6	tur
6	Tuwakam
6	Tuwaku
6	Vhdens
6	vnnd
6	Wahrda
6	warrätu
6	warri
6	Weenaidibu
6	Wi§úa
5	aismirr§t
5	apkahrt
5	attra§t
5	auxte
5	Ackmins
5	Adamu
5	Alla§ch
5	Arrid§an
5	baggatige
5	Ballxni
5	Barriba
5	Ba§nizas
5	Baußleems
5	Beßdeewigo
5	Brunòas
5	Buhß
5	Chri§t
5	czell§chanu
5	Czillwäku
5	czittahd
5	czittz
5	dahrx
5	darri§chanu
5	darriyu§chi
5	Dawanu
5	deena
5	Deena
5	deenas
5	D§eeßma
5	Dußmiba
5	Dweh§úelei
5	Eenaidneekeems
5	eet
5	Eß
5	Ghai§chums
5	Ghodibas
5	ghohtz
5	ghrutu
5	Gohdtz
5	Hallel
5	ihs
5	jaux
5	jembt
5	jemmeeta
5	Jeru§alem
5	joproyam
5	Juhs
5	kait
5	Kallpi
5	kam
5	Kapehtz
5	kaunu
5	Klehpi
5	krahßnis
5	krahßnu
5	Kungus
5	labbas
5	labbeems
5	lauku
5	Ïau§cho
5	Leezibu
5	lehniba
5	lied§a
5	Mahte
5	maß
5	meckleyam
5	Mee§úai
5	Mee§úi
5	Mehle
5	mieïais
5	mirr§tu
5	Mohkahms
5	Muh§chige
5	muh§chu
5	Mutte
5	Muttes
5	Mylä§tibu
5	mylige
5	myïoht
5	Nackty
5	Nahwei
5	Naudu
5	Nawu
5	nheneek
5	NO
5	nomaxayis
5	Och
5	OCh
5	OCk
5	païautees
5	palleetz
5	pallid§eht
5	pallix
5	paradiyis
5	parahda
5	pa§iet
5	pa§uddu§chi
5	pa§uddu§§chi
5	Patteeß
5	pawehïu
5	ped§immis
5	peedoht
5	peed§imbtz
5	peeminneht
5	peepeh§ch
5	pe§ti
5	pe§tiet
5	pe§ty
5	Prahta`
5	preek§cha
5	proyam
5	reis
5	Riext
5	úatziet
5	úawo
5	§chähliex
5	Schäla§tibas
5	Scheit
5	§chennenes
5	§chinni
5	§churr
5	Úeewas
5	Úeewu
5	Úillites
5	§pehziex
5	§piedumu
5	§taigha
5	§tippris
5	§tippru
5	§tundas
5	úuhtiya
5	Tadehï
5	Tahß
5	taißnu
5	taps
5	Tee§úa
5	Titzigeems
5	Triaidiba
5	T§chuhßka
5	Vnde
5	Vpperi
5	vseedt
5	vsturri
5	währa
5	Wahrdeems
5	warrätam
5	weenam
5	weeta`
5	widdu
5	Wiers
5	Willtiba
5	willtigu
5	wiòjam
5	wi§úe
5	wi§§u
5	yh§tänu
5	Zebaoth
5	18
4	ab§chäloyeeß
4	ähd
4	appack§chan
4	appak§chan
4	aprieth
4	attne§úis
4	attpirzis
4	attra§ts
4	att§iet
4	attwehris
4	Ab§chäloyeeß
4	Alla§chien
4	Atzeems
4	Auglu
4	Augïus
4	Au§úis
4	Auxtibas
4	Baggatiba
4	baggatibu
4	bähdeems
4	Bährnu
4	barryo
4	barryoyis
4	Ba§nizu
4	Baußli
4	bes
4	Beßdeewigeems
4	briedi
4	By
4	by§tahs
4	bytees
4	Chri§titai
4	Chri§titas
4	czärram
4	czeenigu
4	czeete
4	czell§ch
4	czerreht
4	Czillwäki
4	Dahwans
4	Dahwanu
4	darrbus
4	da§§ch
4	Debbe§úis
4	deeni§ku
4	Deewi§kas
4	DEews
4	dohß
4	draud§iba
4	droh§che
4	d§iewibas
4	d§iewo§chana
4	d§iewus
4	d§irrd
4	Dwe§úel
4	Eenaidibu
4	Eenaidneeko
4	eeúahk
4	eleiúon
4	Elle
4	Engeli
4	Ghaddu
4	ghaida
4	Ghai§§chums
4	ghalldu
4	Ghalls
4	Ghallwu
4	Ghanneems
4	ghattawa
4	ghau§che
4	ghelb
4	ghlabbo
4	ghohdam
4	Ghohdiba
4	ghribbahs
4	ghruta
4	ghulleya
4	gribbam
4	gribbi
4	ißdohdahs
4	ißlehyis
4	ißniekt
4	ißniext
