Vârdformu skaits:	5939
Vârdlietojumu skaits:	35947


1049	vnd
869	to
756	mums
729	gir
649	tas
606	ka
556	no
541	nhe
465	töw
428	tu
391	und
345	tawu
342	ar
341	deews
327	mehs
325	kunx
314	eek§chan
305	es
293	par
289	ta
258	mann
255	tam
240	py
197	czaur
195	o
184	úawu
178	e§úi
170	vs
169	tee
146	katters
143	3
143	man
141	2
138	teems
134	kas
131	kad
127	wiòja
122	tad
122	4
119	deewa
117	arrid§an
113	muh§chige
113	tahs
108	weens
107	wahrdu
106	dohd
105	5
104	kattri
101	buhß
96	mannu
92	muh§úu
92	6
89	warr
89	wi§úu
88	tha
87	kattru
85	amen
85	pehtz
83	tohs
82	buhs
82	úirdtz
79	wi§úeems
77	alla§chien
77	by
76	ai§to
75	elei§on
75	7
73	ween
72	tapehtz
71	kyrie
70	hallelujah
69	wings
68	chri§tum
68	nu
67	tähws
66	buht
66	kunghu
65	ä§úam
65	ko
64	tohp
62	alla§ch
62	bett
62	semmes
62	tick
62	tohß
61	dählu
61	halle
61	tawa
61	tawas
60	gharru
60	manna
60	muh§úo
60	8
59	deewam
58	deewu
58	laid
57	weenu
56	ghräkus
56	je§um
56	labb
56	lieds
56	taws
55	chri§t
55	jeb
55	§wähtu
54	leelu
54	§chäla§tibu
53	preek§chan
52	dähls
52	je§u
51	nahwu
51	us
50	mee§úu
50	turr
49	ghräkeems
49	ghribbu
49	ïohte
49	neds
49	wiß
48	chri§tus
48	darra
48	kattra
47	beß
47	wi§úas
46	äßmu
46	pallied§i
46	wi§úi
45	wir§úon
44	jums
44	úöw
44	tappa
43	myïais
42	d§iewo
42	ghohdu
42	muh§cham
42	preeku
42	wahrdtz
42	wiòjo
41	chri§te
41	muh§chigu
41	§tahw
40	dauds
39	dweh§úel
39	luhd§am
37	auk§cham
37	§cho
37	taß
37	warram
37	9
36	buhtu
36	dählam
36	ghohtz
35	gharrs
35	ja
35	mans
35	prahtu
35	tähwam
35	tomähr
34	klaht
34	tähwa
33	a§úini
33	czeïïu
33	ghribbätu
33	ïaudis
33	muh§chiex
33	pallieds
33	pa§úargi
33	úirrdi
33	wi§úus
32	czillwähx
32	halleluja
32	palleek
32	titzibu
31	leetz
31	nahk
31	pa§úaules
31	§chehliex
31	§chehlige
30	ghann
30	ghräki
30	labbu
30	mehß
30	muh§úus
30	nahwes
30	§chäla§tibas
30	úirrdtz
30	warru
29	§tippre
29	vnde
29	weena
29	10
28	darri
28	dehï
28	mannas
28	meeru
28	packlau§úi
28	úirrdes
28	taweems
27	däbbä§úu
27	dibben
27	je§us
27	pa§úaule
27	tähwu
27	wi§úa
26	doht
26	ghräko
26	peed§immis
26	§wähtz
25	ghohdtz
25	ock
25	prahtz
24	darriyis
24	juhß
24	labbe
24	laika`
24	laiku
24	ïaudeems
24	leetas
24	manns
24	patz
24	úaweems
24	tai
23	bähdams
23	gharram
23	ghribb
23	gribb
23	preex
23	rohku
23	úawas
23	tawam
23	wehl
23	winja
22	d§iewoht
22	jumprawas
22	krahßne
22	kungham
22	lehnibu
22	tahß
22	tapt
22	wälla
21	auxtu
21	darrbu
21	d§iewibu
21	jährs
21	jo
21	ïaun
21	pallickt
21	parei§e
21	úacka
21	úawa
21	semme
21	§pähku
21	swähtz
21	tappis
21	tawa`
21	wall§tibu
21	11
20	ab§chäloyees
20	aran
20	behrnings
20	debbes
20	debbeß
20	elles
20	ïaunu
20	muh§úas
20	myïu
20	nahwe
20	palligu
20	peedohd
20	pe§titais
20	§cheit
20	§wähtam
20	teitzeeta
20	wairs
20	wi§úo
19	kungha
19	leels
19	noh§t
19	§chinny
19	§chodeen
18	dries
18	jemm
18	juhs
18	labpraht
18	mahzi
18	pa§§chu
18	patteeß
18	spähku
18	tahdu
18	tho
18	wahrdam
18	weenas
18	12
17	chri§to
17	ih§tänu
17	mahzibu
17	manntu
17	mannus
17	mee§úa
17	muh§úa
17	pattees
17	prett
17	prettie
17	úawus
17	slawa
17	§wähta
17	tawus
17	wall§tibas
17	willtibu
17	wi§úahms
16	attkal
16	czillwäka
16	d§eedaht
16	d§iewiba
16	d§iewo§chanu
16	ghanne
16	kahdu
16	kaß
16	kauna`
16	kru§tu
16	kur
16	labbs
16	muh§úeems
16	nabbageems
16	pa
16	pallied§eht
16	pa§úarrgi
16	patteitzam
16	schäla§tibu
16	taißnibas
16	thöw
16	titzibas
16	wallda
15	dweh§úele
15	eepreezini
15	ick
15	kattrus
15	manni
15	nahtz
15	näß
15	nheneeka
15	palliex
15	ruhktu
15	úawa`
15	§lawu
15	§wähtais
15	wairahk
15	wi§kim
14	attkall
14	bähdas
14	buhtam
14	draud§iba
14	eedt
14	eß
14	ghull
14	maiß
14	nabbagu
14	nhelaimibu
14	pattiek
14	peedärr
14	tay
14	wall§tiba
13	bährni
13	biyis
13	czee§t
13	czerre
13	czerriba
13	darriet
13	engeïi
13	ghodu
13	ghribbam
13	illge
13	kaunu
13	konings
13	krußtu
13	laideeta
13	mee§úas
13	naßtu
13	noteek
13	patteickt
13	§chäla§tiba
13	§cheitan
13	taißniba
13	tawi
13	teitzam
13	titzam
13	titzeht
13	titziba
13	tohpu
13	tur
13	13
12	a§úins
12	atzis
12	bährnus
12	czehleeß
12	czillwäkeems
12	deewi§ku
12	dußmibu
12	engelis
12	kattreems
12	leek
12	leela
12	lehnibas
12	muh§chigas
12	mutt
12	parradu
12	rohkas
12	úatziya
12	úaule
12	schodeen
12	§pied
12	teitz
12	titz
12	turreht
12	wälls
12	wayaga
12	zeïïu
12	14
11	baußlu
11	chri§ti
11	chri§titu
11	debbe§úies
11	d§iewoyam
11	ghribbi
11	kahtz
11	kaiteht
11	mahziet
11	mohkas
11	mohku
11	muh§chiga
11	patteitzibu
11	prettieb
11	úamaitaht
11	§chahs
11	semm
11	tawo
11	tee§cham
11	tee§úu
11	tohpam
11	vsturr
11	waidu
11	wall§tiba`
11	wi§úewalldiex
10	bähdahs
10	bährneems
10	blehdibu
10	dähla
10	deena
10	dewis
10	draud§ibu
10	kahda
10	kapehtz
10	kunga
10	laix
10	leelas
10	leeleems
10	mahza
10	mannai
10	mannis
10	nabbagus
10	nhelaim
10	notickt
10	och
10	paddomu
10	pa§tara`
10	pattee§úe
10	patteitziba
10	pe§titi
10	räds
10	§chahß
10	schäla§tiba
10	§innu
10	§kie§tas
10	úohdibu
10	§tunda`
10	tawai
10	teekams
10	töwis
10	wällu
10	wißkim
10	zion
9	chri§tita
9	chri§titi
9	czeetuma`
9	czittu
9	däbbä§úo
9	darrbi
9	dawida
9	deena`
9	deenu
9	d§eed
9	d§eedam
9	d§iewo§chanas
9	eeúakumu
9	engeïo
9	ghallam
9	gribbätu
9	i§ra
9	kam
9	kattras
9	leelus
9	luhd§cho
9	luhd§chu
9	luhk§chanu
9	myïo
9	nabbagi
9	nahkt
9	nhelaimiba
9	nomirris
9	nun
9	pa§úaul
9	pa§§cham
9	preezayahß
9	rohkams
9	úahpes
9	§awu
9	§chähl
9	§chehligu
9	§laweht
9	§tahweht
9	tadehï
9	taißnibu
9	tock
9	weeniex
9	15
8	ab§chäloyeeß
8	allgu
8	bähdus
8	ballxni
8	barriba
8	barribu
8	buhdams
8	däbbä§úa
8	dabbuit
8	darrbs
8	darriya
8	deenas
8	dohma
8	draud§e
8	draud§ibas
8	d§eeßmu
8	e§úeeta
8	eya
8	ghai§chums
8	gharra
8	ho§ianna
8	i§úami§t
8	jauns
8	kattram
8	labbus
8	lehniba
8	luhkt
8	maria
8	marias
8	mitte§chanas
8	muh§úam
8	mylä§tibu
8	nomirrth
8	nopällnu
8	pa§úarrgaht
8	pa§§cha`
8	pattee§úu
8	pe§ti
8	pe§ti§chana
8	pe§ti§chanas
8	pilla
8	pills
8	preek§cha
8	preezayahs
8	preezige
8	preezigu
8	radditais
8	raddiyis
8	úackam
8	§kaidre
8	§lahweht
8	§lawa
8	slawähtz
8	úohliyis
8	§pähx
8	titzu
8	wainu
8	walldi
8	warreya
8	wiòjam
8	wi§úewallditais
7	att§tah
7	att§taht
7	baggahtz
7	baggatibu
7	bähdahms
7	bähdohß
7	barryoht
7	brunòas
7	czehlees
7	dabbu
7	dabbuyu§chi
7	dahrgu
7	darram
7	darrieth
7	dawanu
7	dehwis
7	d§iewibas
7	ghallu
7	ghodaht
7	iht
7	irr
7	jaunu
7	jemmeeta
7	juh§úu
7	labbumu
7	ïau§cho
7	leeladeena
7	leeto
7	leezibu
7	litzis
7	mannta
7	mohkams
7	muh§cho
7	mylä§tibas
7	nabbaga
7	nackty
7	nahx
7	nicknu
7	palleekam
7	patteitzeeta
7	pawehleyis
7	pe§ty
7	red§eht
7	rohka`
7	runna
7	§inni
7	§kie§tu
7	slahweyeeta
7	úohdiet
7	úohdu
7	§öw
7	spähx
7	taggad
7	teick§chana
7	teickt
7	titzigeems
7	ugguns
7	vsluhko
7	waigu
7	warra
7	widdu
7	wi§úahs
7	wi§úams
7	wi§úur
7	16
6	atkal
6	attpe§tiyis
6	augïus
6	auxte
6	auxtibas
6	baggatiba
6	bähdohs
6	bährns
6	barryo
6	beßdeewigeems
6	bie§tahs
6	czeeni
6	czeeniex
6	czerribu
6	czillwäko
6	czittahd
6	dahwaneems
6	darrbeems
6	debbe§úes
6	dehwe
6	d§eeßma
6	durrwis
6	dußmiba
6	dweh§úeles
6	eenaidneeki
6	eenied
6	engeïeems
6	ghalla`
6	ghalls
6	ghallwu
6	ghodibas
6	ghräku
6	ghullu
6	ih§täns
6	itt
6	jauku
6	jaw
6	jehme
6	juh§úo
6	karryu
6	koniòjam
6	krahßna
6	krahßnis
6	kru§ta
6	kungeems
6	kungu
6	kurr
6	labbi
6	lauku
6	ïauns
6	leeds
6	maß
6	meckle
6	meers
6	muh§úa`
6	nabbax
6	nahwei
6	nahze
6	nahzis
6	neeka
6	ne§úe
6	nhepattee§úu
6	nopellniyis
6	no§egummu
6	ohtru
6	paghlabbo
6	paklau§úi
6	parahda
6	parr
6	pa§úauleh
6	pa§§chi
6	pa§uddu§chi
6	patteit§chu
6	pawehïu
6	peepeh§ch
6	pe§ti§chanu
6	pe§titayu
6	prahtam
6	proyam
6	scheitan
6	úeh§ch
6	§emme
6	§innaht
6	úirdi
6	§kie§ts
6	§laweyam
6	úohla
6	stahw
6	§wätais
6	tahïe
6	taptu
6	tee§úa
6	tuwakam
6	tuwaku
6	uhdens
6	vnnd
6	wahrda
6	warräns
6	warrätu
6	warri
6	weenaidibu
6	weenam
5	ackmins
5	adamu
5	aismirr§t
5	apkahrt
5	attpe§ti
5	attra§t
5	auxtaka
5	baggatige
5	ba§nizas
5	baußleems
5	bes
5	beßdeewigo
5	czell§chanu
5	czillwäku
5	czittz
5	dahrx
5	darrbus
5	darri§chanu
5	darriyu§chi
5	da§§ch
5	d§iewo§chana
5	dweh§úelei
5	eenaidneekeems
5	eet
5	ghaißmu
5	ghai§§chums
5	ghrutu
5	gohdtz
5	hallel
5	ickdeenas
5	ihs
5	jaux
5	jembt
5	jeru§alem
5	joproyam
5	kait
5	kallpi
5	klehpi
5	kohku
5	krahßnu
5	kungus
5	labbas
5	labbeems
5	labbibu
5	leeli
5	leetu
5	lied§a
5	mahte
5	manna`
5	meckleyam
5	meerige
5	mee§úai
5	mee§úi
5	mehle
5	mieïais
5	mirr§tu
5	mohkahms
5	muh§chu
5	muh§úi
5	mutte
5	muttes
5	mylige
5	myïoht
5	naudu
5	nawu
5	nheneek
5	nokautz
5	nomaxayis
5	païautees
5	palleetz
5	pallid§eht
5	pallix
5	paradiyis
5	pa§iet
5	pa§úarga
5	pa§úargaht
5	pa§uddu§§chi
5	patt
5	ped§immis
5	peedoht
5	peed§imbtz
5	peeminneht
5	pe§tiet
5	pilli
5	pillu
5	prahta`
5	preek§ch
5	pullx
5	rahdi
5	reds
5	reis
5	riext
5	úatziet
5	úawo
5	§chähliex
5	schäla§tibas
5	scheit
5	§chennenes
5	§chinni
5	§churr
5	úeewas
5	úeewu
5	úillites
5	§pehziex
5	§piedumu
5	§taigha
5	§tippris
5	§tippru
5	§tundas
5	úuhtiya
5	tah
5	taißnu
5	tanny
5	taps
5	tawahs
5	tomehr
5	triaidiba
5	t§chuhßka
5	tudeïï
5	turri
5	unde
5	upperi
5	vseedt
5	vsturri
5	waddi
5	währa
5	wahrdeems
5	wahrtz
5	wainas
5	warrätam
5	wedd
5	weeta`
5	wiers
5	willtiba
5	willtigu
5	willtu
5	wi§úai
5	wi§úe
5	wi§§u
5	yh§tänu
5	zebaoth
5	18
4	ähd
4	apdohma
4	appack§chan
4	appak§chan
4	aprieth
4	atpe§tiyis
4	at§ie§t
4	attne§úis
4	attpirzis
4	attra§ts
4	att§iet
4	attwehris
4	atzeems
4	auglu
4	au§úis
4	auxtz
4	bähdeems
4	bährnu
4	barryoyis
4	ba§nizu
4	baußli
4	briedi
4	by§tahs
4	bytees
4	chri§titai
4	chri§titas
4	czärram
4	czeenigu
4	czeete
4	czeetumu
4	czell§ch
4	czerreht
4	czillwäki
4	dahwans
4	dahwanu
4	debbe§úis
4	deeni§ku
4	deewigu
4	deewi§kas
4	deewi§kis
4	dohß
4	drauds
4	droh§che
4	d§enn
4	d§iewodams
4	d§iewus
4	d§irrd
4	dwe§úel
4	eedäd§ini
4	eenaidibu
4	eenaidneeko
4	eepreezena
4	eeúahk
4	eeúakums
4	eleiúon
4	elle
4	engeli
4	ghaddu
4	ghaida
4	ghalldu
4	ghanneems
4	ghattawa
4	ghau§che
4	ghelb
4	ghlabbo
4	ghodiba`
4	ghohda
4	ghohdam
4	ghohdiba
4	ghohdibas
4	ghribbahs
4	ghribbeya
4	ghruta
4	ghulleya
4	gribbam
4	gribbi
4	ihß
4	ihten
4	ißdohdahs
4	ißlehyis
4	ißniekt
4	ißniext
4	ißpe§ti
4	jauni
4	je§ulins
4	kahrtan
4	kallnu
4	kallpeems
4	kallpo
4	kallpu
4	kamehr
4	kappas
4	krohni
4	kungam
4	l
4	labba`
4	leela`
4	leeta
4	leppnibu
4	licka
4	lixtu
4	ïoht
4	maht
4	mahtes
4	manneems
4	mannim
4	ma§u
4	maxa
4	mee§úahß
4	mirroòeems
4	mirr§chanu
4	muh§chibas
4	muh§§o
4	mu§úo
4	mu§úu
4	myïa
4	mylä§tiba
4	myïi
4	mylibu
4	nabbago
4	nacktz
4	nahku
4	nahzeeta
4	ne§t
4	nhelaimiba`
4	nheweens
4	nhewe§úelibu
4	nitzina
4	no§egumus
4	nv
4	paggaòi
4	palleeku
4	pallied§eya
4	pamme§§chanu
4	parradi
4	parradneekeems
4	pa§ie§t
4	pa§luddena
4	pa§luddenaht
4	pa§§cho
4	pa§taru
4	patiek
4	patteitz
4	patti
4	patturri
4	pawehl
4	pawehleya
4	peed§imbtu
4	peeluhd§am
4	peemin
4	peeminn
4	peepeh§chu
4	pellniyu§chi
4	pillis
4	pirmahk
4	plix
4	pullku
4	rahtes
4	raxti
4	rohka
4	rohkahß
4	úacku
4	sahle
4	úahp
4	úährgu
4	úalldäns
4	sälltu
4	úatzieta
4	úatzietz
4	úatziyis
4	úawahß
4	úawam
4	§cheliex
4	scho
4	§churp
4	sela
4	úilles
4	§inna
4	úirrdei
4	§kie§t
4	§kie§ta
4	§kie§te
4	§kie§ti
4	§lahwe
4	úlawa
4	úohda
4	úohgis
4	§peh
