Vârdformu skaits:	1292
Vârdlietojumu skaits:	3517


103	nhe
85	s
73	gir
63	a
57	eß
55	ka
48	to
43	e
43	g
36	nu
35	töw
35	tu
31	ghann
30	m
29	buhß
29	d
29	tad
29	taß
28	dohd
28	ko
27	ar
25	b
25	j
25	l
24	kaß
24	no
24	tee
22	man
21	vnd
21	vs
20	par
19	bett
19	úeenu
18	ta
16	by
16	jaw
14	r
14	wings
13	kungs
13	turr
13	weenu
12	dauds
12	deews
12	es
12	labb
11	kur
11	mann
11	red§i
11	úaimneex
11	§cho
11	sirrghi
11	t
11	wehl
10	buhtu
10	doh§chu
10	kad
10	sirrgheem
10	sirrghus
10	vnnd
9	au§as
9	i
9	itt
9	labbs
9	leetz
9	pra§úi
9	puß
9	py
9	tick
9	w
9	zeïïu
9	zitts
8	dabbu
8	ghan~
8	ghribbu
8	ja
8	jo
8	o
8	ratti
8	sche
8	úeens
8	tam
8	warr
8	warru
7	laid
7	naudu
7	pa§§cham
7	úacka
7	§churr
7	tahß
7	the
7	tohß
7	trieß
7	wai
7	weens
6	darri
6	darriet
6	diwi
6	doh§úi
6	jurring
6	kurr
6	maxaht
6	pirrmahk
6	zell
5	dabbuit
5	eet
5	e§úi
5	jemm
5	kaut
5	kunghi
5	labbu
5	luhd§ohß
5	mas
5	ney
5	palldeeß
5	patz
5	riete
5	runna
5	úche
5	§inna
5	sirrgham
5	tadai
5	warrätu
5	wätzus
4	arrid§an
4	äßmu
4	barribu
4	ghajam
4	ghribb
4	ghribbi
4	kahdi
4	kahds
4	kait
4	labbi
4	laix
4	leetas
4	magkeniet
4	maja=weetu
4	majahß
4	mehß
4	mums
4	nahk
4	naudas
4	negg
4	nhewaid
4	preek§cha
4	rattus
4	§cheitan
4	sirrghu
4	taggadien
4	wackar
4	wajagha
4	wallodu
4	warrehß
4	wa§cho
3	aggre
3	ais
3	arrieg
3	au§ahm
3	brautz
3	c
3	dabbui§chohß
3	dabbui§úi
3	dahlderus
3	dohma
3	do§chu
3	eh§t
3	etze
3	ey
3	ghaddu
3	ghallu
3	ghro§§chus
3	illghe
3	jem~
3	juhß
3	kahdu
3	kam
3	kohku
3	labbas
3	labbe
3	labbus
3	labpraht
3	lieds
3	ïohte
3	luhko
3	mahrku
3	mälls
3	nackti
3	nei
3	noh§t
3	ohtru
3	packaïï
3	pall=deeß
3	peedärr
3	pillu
3	pußlieds
3	rieku
3	úacki
3	úähku
3	úähta`
3	saimneex
3	úawu
3	úawus
3	§che
3	semme
3	semmes
3	§innaht
3	sirrgs
3	stabbu
3	stalli
3	§teid§eeß
3	tappu
3	truhx
3	tudeïï
3	tur
3	turrehß
3	us
3	wahza
3	wairahk
3	warri
3	weena
3	wiers
3	zeek
3	zeema`
2	ähd
2	ähdu§chi
2	ahu
2	allu
2	an§úis
2	arcklu
2	arried§an
2	ä§úam
2	atteeß
2	attne§úeeß
2	aughu§úi
2	beß
2	bijis
2	bïohdu
2	brie§cham
2	dabbui§úim
2	dahldeºus
2	darrbohß
2	darries
2	darrieß
2	da§§ch
2	debbe§úieß
2	deenu
2	deeßghann
2	deewa
2	deewam
2	deewu
2	dehï
2	diweem
2	dohmu
2	drahnas
2	drehbes
2	d§änn
2	d§errt
2	d§iewoht
2	eedäd§ini
2	eek§chan
2	eemu
2	eeß
2	ee§úi
2	etzeht
2	ghaiß
2	ghai§úu
2	ghattawas
2	ghattawi
2	ghulltu
2	irr
2	ißkapts
2	ißkrittieß
2	ja=eet
2	jaunas
2	jaunus
2	jeb
2	juhds
2	jums
2	kajas
2	kaju
2	kapehts
2	kapehtz
2	karrajahß
2	kaud§eh
2	kaweteeß
2	klehti
2	klughu
2	kund§ing
2	kuººam
2	lahd
2	lattwi§ku
2	leekt
2	leels
2	lemme§chus
2	luhds
2	luhko§chu
2	luh§is
2	mai§e
2	majaweetu
2	man~
2	mans
2	meckle
2	mecklejeeß
2	metteta
2	mettieß
2	muh§úo
2	neeka
2	nheneeka
2	nokrittu§úi
2	ock
2	ohrmanni
2	ohrmans
2	ohtris
2	otte
2	packawa
2	pahri
2	pajumbtu
2	pälawas
2	palleek
2	pallieds
2	pallied§i
2	parei§e
2	pariete
2	pa§§chi
2	pattz
2	pauti
2	pehtz
2	pïaut
2	projam
2	ratteem
2	reis
2	rei§as
2	riex
2	úacku
2	úahzeeta
2	úaimneekam
2	úatziju
2	úau§úu
2	§chim
2	schkehr§t
2	§chkie§te
2	úeeka`
2	úeenalaix
2	úeewai
2	§innu
2	sirrgheems
2	skallu
2	skrittelis
2	§lapp§ch
2	úöwis
2	spähku
2	spillwänu
2	steid§eeß
2	strenges
2	úuhdus
2	úwahrkus
2	taggad
2	tahïe
2	tährbatas
2	tappas
2	tawa
2	teem
2	tee§úa
2	teitan
2	tickai
2	titzi
2	t§chettrus
2	tuck§ch
2	tuppeles
2	ugguni
2	uh§as
2	wackars
2	wahrds
2	wätz
2	wedd
2	weddieß
2	weenas
2	wehlieg
2	wehr§eles
2	winjam
2	wiß
2	zeïïa`
2	zeïïa=wieram
2	zell§ch
2	zirrwi
2	zittu
2	zittus
1	abbeem
1	abkalis
1	abkau§ta
1	abkau§tijis
1	ackmiòeem
1	ackmiòòo
1	ackoti
1	ahboliòus
1	ahdu
1	ahrdiet
1	ahrdiju§chi
1	ahrtaugi
1	ah§cho
1	ais=eet
1	ais=§praud
1	aisdohd
1	aisghajiß
