V‚rdformu skaits:	56
V‚rdlietojumu skaits:	66


3	mumﬂ
3	ta
2	d‰bb‰ßim
2	eekßch
2	ka
2	lay
2	taﬂ
2	Un
1	Amen
1	bett
1	deenißku
1	den
1	dod
1	eenak
1	eew‰dd
1	godz
1	iaw
1	ir
1	k‰nina
1	k‰rdinaßchana
1	kaﬂ
1	ki‰nina=walßtiba
1	Lay
1	liauna
1	Maißi
1	m‰ﬂ
1	muuﬂ
1	muußchai
1	muußchigi
1	muuﬂim
1	MUußo
1	muußu
1	muußuﬂ
1	n‰
1	no
1	noteek
1	paradneekim
1	paraduﬂ
1	p‰ßti
1	peedod
1	peedodam
1	praatz
1	S‰mm‰ﬂ
1	ßcho
1	ßp‰‰kﬂ
1	Sw‰titz
1	tawa
1	Tawa
1	tawﬂ
1	Tawﬂ
1	T‰wﬂ
1	toop
1	un
1	walßtiba
1	wardz
1	wirﬂ
