Vârdformu skaits:	3481
Vârdlietojumu skaits:	22341


1812	un
524	to
464	tas
363	wiò§ch
357	ta
346	us
337	no
262	bija
252	irr
239	ne
230	ar
229	wiòòa
221	kas
217	úazzija
214	tad
198	ka
186	tee
181	es
180	ko
166	tu
162	pee
140	bij
135	íehniò§ch
133	tew
132	bet
130	teem
128	ka`
128	wiòòu
127	kunga
121	íehniòu
121	ta`
116	kungs
110	par
110	preekúch
108	kad
98	weenu
96	pehz
95	i§rae#ïa
94	tohs
93	eekúch
90	pahr
90	tam
87	salamans
84	nammu
84	úawu
81	tahs
79	dehls
78	buhs
77	íehniòa
76	jo
73	man
72	weens
69	darrija
67	prett
67	tappe
66	eúúi
65	deewa
65	wiúúu
64	nu
60	eúmu
60	nahze
60	namma
58	darrijs
58	tawu
50	diwi
50	weeta^
46	wahrdu
45	ïaudis
45	wiòòam
44	arri
44	gahje
44	mans
43	deews
42	raugi
42	úaweem
41	wehl
40	runnajs
40	tur
39	taws
39	tohp
38	juhda
37	likke
37	salamaòa
37	tapehz
37	zaur
35	atkaï
34	dahwida
34	ir
34	jerobeama
33	dehlu
33	lihd§
32	arrid§an
32	úcho
32	weena
31	akabs
31	elijas
31	lai
31	mannu
30	i§rae&ïa
30	kungu
30	ïaudim
30	wiúúeem
29	i§rae#lu
29	ittin
29	§tarp
29	wiús
29	wiúúi
27	eij
27	tai^
26	namma^
26	úakka
26	salamanu
26	úawa
26	semmes
26	tehwa
26	wahrds
26	wihrs
26	zeïïu
25	dahwids
24	pakkaï
24	praweets
24	tik
23	aúúus
23	dewe
23	diwideúmits
23	úazzidams
23	tawa
23	tehweem
23	tehws
22	deúmits
22	gadda^
22	kungam
22	salamaòam
22	úawa^
21	altari
21	dewis
21	jerobeams
21	íehniòam
21	manna
21	pa
21	runnaja
21	úchodeen
21	tawam
21	waldija
20	apkahrt
20	atpakkaï
20	deena^
20	kur
20	selta
20	seltu
20	úirds
20	1
19	deewu
19	d§ihwo
19	jo§awats
19	neds
19	preekúcha^
19	teeúcham
19	waººa
19	wiúúus
18	dehï
18	dehla
18	ja
18	laika^
18	mehs
18	pretti
18	rohku
18	ween
17	adonijus
17	augúcham
17	darriht
17	d§irdeja
17	gohda=krehúlu
17	i§rae#ls
17	jelle
17	mai§i
17	nams
17	ohlekúchu
17	patt
17	úchi
16	daud§
16	dohúchu
16	gaddus
16	juhs
16	òehme
16	ohlektis
16	semme^
16	§tahweja
16	úuhtija
16	wiòòas
16	zehlehs
15	ben=adads
15	jeru§aleme^
