Vârdformu skaits:	766
Vârdlietojumu skaits:	1796


120	un
57	irr
35	no
35	ta
33	to
31	tas
30	tee
26	jo
24	Un
19	es
19	juhs
17	ka`
17	teem
16	KUNGS
16	tahs
15	tohs
14	KUNGA
13	buhs
13	juhúu
13	ka
13	weenu
12	kas
12	par
11	ne
11	uhs
9	ar
9	jums
9	ko
9	pahr
8	Ïaudis
8	mannu
8	úawu
8	weena
8	wiòòu
7	Deena
7	Deewa
7	pee
7	Tee
7	us
7	wiòòa
7	wiúúi
6	Behrneem
6	Juhda
6	Semmes
6	§tarp
6	taps
6	Zianas
5	eekúch
5	eúmu
5	juhúas
5	Semme
5	Ugguns
5	weens
5	wiò§ch
4	Deena^s
4	Deewu
4	ir
4	Kalnu
4	Lauka^
4	leela
4	Namma
4	Pulki
4	úawa
4	Úullaiòi
4	wiúúu
4	wiúúus
3	apkahrt
3	atlizzina
3	atmakúaúchu
3	atrauts
3	Aúúini
3	bohja^
3	Deenu
3	Deews
3	dehï
3	Eeleiju
3	eet
3	ehd
3	Es
3	eúúat
3	Jeru§alemes
3	Jr
3	juhúo
3	juhúus
3	Kauna^
3	KUNGU
3	laid
3	Ïaudim
3	leelas
3	Leeúma
3	Leetas
3	manna
3	Mehnes
3	muh§chigi
3	Pagaòeem
3	pahrdewuúchi
3	pakkaï
3	pehz
3	Pïawas
3	poh§ta^
3	preekúch
3	Preekúcha^
3	Pree§teºi
3	prett
3	úakka
3	Úaule
3	úaweem
3	Úiúúeòi
3	úwehtijeet
3	Ta
3	tad
3	tahïu
3	Tapehz
3	tezzehs
3	tohp
3	tur
3	tuwu
3	Wabboles
3	Wahrdu
3	wairs
3	Wihnu
3	wiòòas
3	Wiòòas
3	wiúúas
3	zaur
3	1
2	ak
2	aprihjis
2	aptumúchoti
2	atdoht
2	atkaï
2	atrauj
2	Ak
2	Ar
2	Azzim
2	Balkúni
2	Ba§uneet
2	Ba§uni
2	Behrni
2	Behrnus
2	Bet
2	darrijs
2	Debbes
2	drebb
2	D§eººamo=Uppuris
2	Eed§ihwotaji
2	Eeleija^
2	Eenaidneeku
2	Ehdamo=Uppuris
2	Garru
2	Gaweni
2	Gaweúchanu
2	Ìihmis
2	gribbat
2	ikweens
2	isleeúchu
2	isúauzeet
2	jaunu
2	Jeru§aleme
2	Jo
2	J§rae#ïa
2	Juhºu
2	juhúeem
2	Kambaºa
2	Kaººa=Wihri
2	Kaººu
2	kauzeet
2	Ko
2	Kohki
2	Kukkaiòi
2	Labbiba
2	Laid
2	Ïau§chu
2	leels
2	Leetu
2	Lihgúmiba
2	man
2	manni
2	mannim
2	Meitas
2	Muhºeem
2	muh§cham
2	nahk
2	nahks
2	nahzeet
2	Nammo^s
2	Ne
2	Neewaúchanu
2	neúúihs
2	neweens
2	No§chehlumu
2	notiks
2	Nu
2	Pagaòi
2	Pagaòus
2	pilni
2	Pïauúchana
2	runnajs
2	úajuttiúeet
2	úakaltis
2	Úapulzinaúchanas
2	úawas
2	úawus
2	§chehl
2	úcho
2	Semme^
2	Semmi
2	§krees
2	Úmarúcha
2	Sohbi
2	Spoh§chumu
2	§tah§ta
2	Swaig§nes
2	Swehri
2	úwehtu
2	Tad
2	tai
2	Tas
2	Tauta
2	tawus
2	Teeúas
2	Tukúnibas
2	warrena
2	Warrenus
2	Weena
2	Weeta
2	Wezzajus
2	Wihges=Kohks
2	Wihna
2	Wihna=Kohks
2	Wihns
2	wiòòam
2	zeïïahs
2	zelúees
2	13
2	2
1	agreju
1	ahtri
1	aisbehgt
1	aisd§ihúchu
1	aizinahs
1	apbruòòoti
1	apgah§uúi
1	apjoh§uúees
1	apmahzuúi
1	appakúch
1	aprihj
1	arrid§an
1	atbildehs
1	ateet
1	atgree§eet
1	atgree§eetees
1	atgree§iúchu
1	atgree§iúees
1	atgree§tees
1	atjehmuúchi
1	atkahps
1	atlehks
1	atrauta
1	augúcham
1	augúchu
1	Ahboïu=Kohks
1	Aizinaúchanas
1	Altaºa
1	Altari
1	Amatta
1	Apjoh§eetees
1	Apúohliúchanas
1	Arraji
1	Aúúinim
1	Atdohúchanu
1	Atgree§eetees
1	Atlikkuúcheem
1	Atnahkúchanas
1	Augli
1	Augïus
1	Auguma^
1	Auúeklis
1	Auúis
1	Awju
1	Awots
1	balti
1	Barriba
1	behdajahs
1	Behrniòus
1	Behrnu
1	bet
1	bihjajama
1	bih§tees
1	bih§teetees
1	biju
1	bijuúi
1	bïauj
1	Blehdiba
