Vârdformu skaits:	736
Vârdlietojumu skaits:	1796


144	un
57	irr
38	ta
37	tee
36	no
33	tas
33	to
29	jo
22	es
19	juhs
17	ka`
17	kungs
17	teem
16	tahs
15	tohs
14	kunga
13	buhs
13	juhúu
13	ka
13	ne
13	weenu
12	kas
12	par
11	ar
11	ko
11	uhs
10	weena
9	jums
9	pahr
8	ïaudis
8	mannu
8	úawu
8	wiòòu
7	deena
7	deewa
7	ir
7	pee
7	us
7	wiòòa
7	wiúúi
6	behrneem
6	juhda
6	semmes
6	§tarp
6	taps
6	wiòòas
6	zianas
5	eekúch
5	eúmu
5	juhúas
5	laid
5	semme
5	tad
5	ugguns
5	weens
5	wiò§ch
4	ak
4	deena^s
4	deewu
4	kalnu
4	lauka^
4	leela
4	namma
4	pehz
4	pulki
4	úawa
4	úullaiòi
4	úwehtijeet
4	tur
4	wiúúu
4	wiúúus
3	apkahrt
3	aúúini
3	atlizzina
3	atmakúaúchu
3	atrauts
3	bet
3	bohja^
3	deenu
3	deews
3	dehï
3	eeleiju
3	eet
3	ehd
3	eúúat
3	isúauzeet
3	jeru§alemes
3	juhúo
3	juhúus
3	kauna^
3	kungu
3	ïaudim
3	leelas
3	leeúma
3	leetas
3	manna
3	mehnes
3	muh§chigi
3	pagaòeem
3	pahrdewuúchi
3	pakkaï
3	pïawas
3	poh§ta^
3	preekúch
3	preekúcha^
3	pree§teºi
3	prett
3	úakka
3	úaule
3	úaweem
3	úiúúeòi
3	tahïu
3	tapehz
3	tezzehs
3	tohp
3	tuwu
3	wabboles
3	wahrdu
3	wairs
3	wihnu
3	wiúúas
3	zaur
3	1
2	aprihjis
2	aptumúchoti
2	atdoht
2	atgree§eetees
2	atkaï
2	atrauj
2	azzim
2	balkúni
2	ba§uneet
2	ba§uni
2	behrni
2	behrnus
2	darrijs
2	debbes
2	drebb
2	d§eººamo=uppuris
2	eed§ihwotaji
2	eeleija^
2	eenaidneeku
2	ehdamo=uppuris
2	garru
2	gaweni
2	gaweúchanu
2	ìihmis
2	gribbat
2	ikweens
2	isleeúchu
2	i§rae#ïa
2	jaunu
2	jeru§aleme
2	juhºu
2	juhúeem
2	kambaºa
2	kaººa=wihri
2	kaººu
2	kauzeet
2	kohki
2	kukkaiòi
2	labbiba
2	ïau§chu
2	leels
2	leetu
2	lihgúmiba
2	man
2	manni
2	mannim
2	meitas
2	muhºeem
2	muh§cham
2	nahk
2	nahks
2	nahzeet
2	nammo^s
2	neewaúchanu
2	neúúihs
2	neweens
2	no§chehlumu
2	notiks
2	nu
2	pagaòi
2	pagaòus
2	pilni
2	pïauúchana
2	pulzinajeet
2	raugi
2	runnajs
2	úajuttiúeet
2	úakaltis
2	úapulzinaúchanas
2	úawas
2	úawus
2	§chehl
2	úcho
2	semme^
2	semmi
2	úirds§chehligs
2	§krees
2	úmarúcha
2	sohbi
2	spoh§chumu
2	§tah§ta
2	swaig§nes
2	swehri
2	úwehta
2	úwehtu
2	ta`
2	tai
2	tauta
2	tawus
2	teeúas
2	tewi
2	tukúnibas
2	warrena
2	warrenus
2	weeta
2	wezzajus
2	wihges=kohks
2	wihna
2	wihna=kohks
2	wihns
2	wiòòam
2	zeïïahs
2	zelúees
2	13
2	2
1	agreju
1	ahboïu=kohks
1	ahtri
1	aisbehgt
1	aisd§ihúchu
1	aizinahs
1	aizinaúchanas
1	altaºa
1	altari
1	amatta
1	apbruòòoti
1	apgah§uúi
1	apjoh§eetees
1	apjoh§uúees
1	apmahzuúi
1	appakúch
1	aprihj
1	apúohliúchanas
1	arraji
1	arrid§an
1	aúúinim
1	atbildehs
1	atdohúchanu
1	ateet
1	atgree§eet
1	atgree§iúchu
1	atgree§iúees
1	atgree§tees
1	atjehmuúchi
1	atkahps
1	atlehks
1	atlikkuúcheem
1	atnahkúchanas
1	atrauta
1	augli
1	augïus
1	augúcham
1	augúchu
1	auguma^
1	auúeklis
1	auúis
1	awju
1	awots
1	balti
1	barriba
1	behdajahs
1	behrniòus
1	behrnu
1	bihjajama
1	bih§tees
1	bih§teetees
1	biju
1	bijuúi
1	bïauj
1	blehdiba
1	bohja^=eeúchanas
1	breeúmiga
1	breeúmigas
1	brihniúchíi
1	brihnumus
1	bruhdgana
1	bruhdgans
1	bruhte
1	bruhtes
1	bruòòahm
1	buhúchanu
1	buht
1	buhtu
1	dahrgas
1	dahr§
1	dallijúchi
1	darrajt
1	darriht
1	darrihts
1	darrijúi
1	darriúchu
1	debbeúi^s
1	deena^
