Vârdformu skaits:	1524
Vârdlietojumu skaits:	5451


249	un
234	irr
131	to
118	kas
118	tas
108	ne
92	ka
77	ta
61	es
49	no
43	jo
42	wiò§ch
39	ka`
36	appakúch
36	ko
35	teem
34	ar
34	tee
33	Jo
33	Laiks
32	wiòòa
31	Neleetiba
30	neka`
29	Úaules
29	tam
29	tohp
29	Un
28	arri
28	buhs
27	bet
27	tahs
26	pee
26	úaws
26	tu
26	weens
25	Es
25	ir
25	tad
24	Úirds
24	Zilweks
22	Deews
20	daud§
20	wiúúu
19	eúmu
19	pahr
18	Darba
18	Darbu
18	eekúch
18	preekúch
18	wiòòam
17	Gudribu
17	pehz
17	wairak
17	wehl
16	bija
16	Kas
16	úawa^
15	ta`
14	Deewa
14	úawa
14	warr
14	weena
14	wiòòu
13	darra
13	par
12	kad
12	noteek
12	Salamans
12	úawu
12	§inna
12	wiús
11	jaw
11	man
11	red§ejs
11	úcho
11	tawu
11	uhs
11	wiúúa
10	eet
10	eúúi
10	Gudriba
10	Labbums
10	Leetas
10	Ne
10	neds
10	úazziju
10	Zilwekam
10	1
9	arrid§an
9	dohd
9	Ìeííis
9	kam
9	Laika^
9	ïaunu
9	mahza
9	manna
9	Úirdi^
9	Tas
9	tohs
9	tur
9	weenu
9	wiúúeem
9	Zilweku
8	atlezz
8	Behrnu
8	bij
8	buht
8	Deewu
8	jeb
8	jepúchu
8	kahds
8	klahjahs
8	kur
8	labbaki
8	labs
8	paúchu
8	prett
8	úawas
8	ta`patt
8	Tad
8	tomehr
8	zaur
7	Bet
7	buhtu
7	d§ihwo
7	ehd
7	eúúam
7	irraid
7	Kad
7	labba
7	Leeta
7	nahk
7	palihd§
7	red§eju
7	Úaws
7	Úirdi
7	taps
7	tawa
7	tew
7	us
7	wiòòo
7	wiúúai
7	Zilweka
6	atgree§ohs
6	bih§tahs
6	bijis
6	bijuúchi
6	darriht
6	Deewam
6	eúúus
6	Gals
6	Ìeíía
6	Gºuhtumu
6	Gudra
6	Gudribas
6	kahda
6	ïauna
6	Mahzitajs
6	Rohkas
6	Semmes
6	Ta
6	tapehz
6	Tapehz
6	tawas
6	To
6	Wahrdu
6	warretu
6	Weens
6	Weeta^
6	wiúúas
5	atkaï
5	atraddis
5	Behrns
5	Daïïa
5	Darbs
5	diwi
5	Ìeííibu
5	itt
5	Jr
5	Íehniò§ch
5	Íehniòu
5	kuºúch
5	labbaka
5	labbaks
5	labbi
5	labbu
5	Laiku
5	leek
5	Leetu
5	mannu
5	Neleetibu
5	parei§i
5	Preekúcha^
5	Preeku
5	red§eht
5	Rohku
5	úchi
5	§tarp
5	tawa^
5	tik
5	Wahrdi
5	Wahrds
5	Weetu
5	wehra^
5	wiòòeem
5	zits
4	atgree§chahs
4	Apòemúchanai
4	Azzim
