Vârdformu skaits:	6442
Vârdlietojumu skaits:	42524


1784	un
868	irr
770	to
582	ne
556	es
545	no
487	kas
479	tee
471	ka
417	KUNGS
410	wiòòa
407	ta
401	ar
400	tas
393	tu
377	us
371	teem
358	wiòòu
352	wiò§ch
338	Deews
314	eekúch
311	ka`
261	tawu
255	tohs
250	par
223	man
213	eúúi
204	Un
204	pee
203	tahs
202	jo
202	mannu
201	úawu
193	mann
189	Jo
186	pahr
179	Es
174	preekúch
167	tawas
158	weena
157	manni
149	tad
146	manna
138	KUNGA
137	mannas
135	tohp
134	muh§chigi
133	tawa
127	ko
125	ak
124	lai
122	bet
122	mans
122	prett
122	Tas
122	tew
121	Bet
120	buhs
117	Jrr
117	pehz
117	Tu
115	kad
113	KUNGU
112	Deewa
111	Wiò§ch
105	eúmu
103	D§eeúma
102	tam
102	Tee
102	zaur
97	Semmes
95	muhúu
93	2
92	Kas
90	mannim
89	Lai
88	ta`
88	tewi
87	Úirds
87	weenu
85	Wahrdu
79	Ïaudis
77	Deewu
73	gribbetu
73	mums
73	weens
73	wiúúi
71	1
70	Dahwida
70	paleek
70	tewis
69	mehs
69	§tarp
67	wiòòam
66	úawas
66	Sela
65	lihd§
64	Schehla§tiba
64	wiúúeem
63	juhs
63	mannis
62	Ka
62	taps
62	wiúúu
61	WEena
60	Dwehúeli
60	muhs
59	aug§ta
58	Semmi
58	tawus
56	Ïaudim
54	Preekúcha^
53	Dwehúele
52	D§eedataja
52	Rohkas
51	ir
50	darrijs
50	úaweem
49	taweem
49	3
48	KUNGAM
48	patt
47	muh§cham
47	Zeïïu
46	itt
45	Kad
45	Schehla§tibu
44	Rohku
44	tahm
44	4
43	Eenaidneekeem
43	Kri§tus
43	Taiúnibu
42	Behrneem
42	úawus
42	Ta
42	wiúúus
41	darra
41	Kauna^
41	Teeúu
39	labbi
39	ïohti
39	wiúúas
38	arrid§an
38	bih§tahs
38	luhd§ama
38	úakka
38	Weena
37	apkahrt
37	buhtu
37	KUNgs
37	manneem
37	wiòòas
36	atkaï
36	bija
36	kam
36	Úirdi
36	tawi
36	Wahrda
35	Ak
35	darri
35	Ne
35	tawa^
34	DEEWS
34	dohd
34	runna
34	STJPRAJS
34	Tad
34	taws
33	Azzis
33	dehï
33	eet
33	5
32	Behdahm
32	mannus
32	Semme
32	warr
32	6
31	bij
31	Laika^
31	leek
31	Manna
31	úawa^
30	arri
30	Pagaòeem
30	Rohka
30	Schehla§tibas
30	Waigu
30	Zianas
30	Zilweku
30	7
29	leelas
29	mekle
29	neds
29	wirs
28	Balúi
28	peeúauzu
28	preezajahs
28	Wahrds
28	weenumehr
27	Darbus
27	Deewam
27	labba
27	labs
27	Patwerums
27	§tahw
27	Taiúnibas
27	tik
26	Ar
26	Behrni
26	Besdeewigu
26	J§rae#ïa
26	kohpa
26	kur
26	Pe§tiúchanu
26	Wiòòa
26	10
26	8
25	Brihnumus
25	Eenaidneeki
25	isglahb
25	labbu
25	Namma
25	Pe§tiúchanas
25	wehl
24	d§ihwo
24	Gohdibas
24	Jehkaba
24	Leetas
24	No
24	Taiúniba
24	Teeúas
23	appakúch
23	daud§
23	Debbeúim
23	Deenu
23	eúúam
23	Gohdu
23	Jr
23	Íehniò§ch
23	nahk
23	newaid
23	Papreekúchúluddinaúchana
23	Preeku
23	tawahm
23	turr
22	Eebr
22	Eenaidneekus
22	etc
22	lizzis
22	Nahwes
22	pats
22	úawahm
22	§chehligs
22	tawam
22	Wal§tibas
21	Darbu
21	Draud§es
21	d§eedaúchu
21	Galwu
21	ilgi
21	leez
21	Likkumus
21	Mutte
21	Mutti
21	Pe§tiúchana
21	úawa
21	tur
20	Auúis
20	gribbu
20	Leezibas
20	Luhgúchana
20	mannahm
20	Pamahziúchana
20	Pateeúiba
20	Pawehleúchanas
20	tatúchu
20	wairak
20	Wall
20	zerre
20	Zilweks
19	Azzim
19	Behdas
19	Behdu
19	Besdeewigee
19	bohja^
19	Dahwids
19	Debbes
19	Deena^
19	gann
19	Kalpu
19	leelu
19	likke
19	Luhgúchanu
19	Paligu
19	Pateikúchanas=D§eeúma
19	red§
19	Spehku
19	úwehtu
19	To
19	Uhdens
19	Wahrdam
19	wiòòeem
19	wiúúahm
19	zeïïahs
18	Derribu
18	kahda
18	klaht
18	kluúúu
18	Ïau§chu
18	leels
18	Raddeem
18	Raddu
18	tahïu
18	teizeet
18	Wahrdeem
18	ween
18	Weeta^
18	wehra^
18	12
18	9
17	atpakkaï
17	atpe§ti
17	Besdeewigeem
17	Eenaidneeku
17	grib
17	Ïaunu
17	luhd§
17	Muttes
17	Namma^
17	palihd§
17	paúchu
17	patihk
17	Úirdi^
17	úlaweht
17	úlaweúchu
17	tappe
17	tapt
17	Ugguns
17	Uppes
17	Waiga
17	wairs
17	Zeïïeem
17	zik
16	Bauúlibu
16	Behdigu
16	bes
16	D§eeúmu
16	Duúmibas
16	Dwehúeles
16	Ka`
16	Labbumu
16	manna^
16	paklauúi
16	peederr
16	§taiga
16	úwehti
16	Tatúchu
16	Teizeet
15	buht
15	Dohmas
15	eúúu
15	Gohdiba
15	J§rae#ls
15	kahds
15	krahúchna
15	Meeúas
15	pa
15	Pagaòi
15	paúarga
15	tahds
15	Tahs
15	tohpu
15	Weetu
15	Wiòòu
15	Wiúúi
15	13
14	atgree§
14	Behrnu
14	Bruòòas
14	Bultas
14	Darbeem
14	Deenas
14	DEEWA
14	drih§
14	d§ihwu
14	Grehkeem
14	Kalni
14	Kaunu
14	labbad
14	Luhgúchanas
14	Mahtes
14	Mai§i
14	Mannas
14	Mehle
14	pakkaï
14	païaujahs
14	païaujohs
14	pateikt
14	preekúchturramas
14	§tipru
14	Stiprums
14	Taiúnee
14	tapehz
14	Teem
14	teikt
14	tewim
14	usluhko
14	warru
14	Warru
14	wiús
14	wiúúa
14	wiúúai
14	Zeïïus
14	Zik
14	11
13	Alleluja
13	Behrnus
13	Debbeúis
13	D§eedajt
13	d§ihwoht
13	eemantojamu
13	Grehkus
13	Ja
13	Íehniòa
13	Íehniòu
13	Meeru
13	mihleju
13	mihïo
13	Nammu
13	padarra
13	Padohmu
13	palihd§eht
13	parahdijs
13	Pateeúibas
13	Pateeúibu
13	pateikúchu
13	raugi
13	úcho
13	úlawe
13	STJPRA
13	úwehta^
13	tadehï
13	Tadehï
13	tai
13	Tautas
13	turru
13	wiòòo
13	Zilwekeem
12	aug§ti
12	Barribu
12	buhúchu
12	darriht
12	DEEWU
12	d§eedama
12	D§eeúmahm
12	D§immums
12	Eenaidneeks
12	Eepreezinaúchanas=D§eeúma
12	ees
12	gribbahs
12	Juhºas
12	Juhs
12	Kahjas
12	Kalneem
12	Kalnu
12	lihgúmojahs
12	mahzi
12	mettahs
12	Muhúu
12	Nabbagu
12	Paúaules
12	pa§ih§t
12	peeúauz
12	Prahts
12	preezaúees
12	pretti
12	Raugi
12	úazziju
12	Úlawehts
12	Stiprumu
12	STJPRU
12	Ta`
12	taiúns
12	tappis
12	Tawas
12	tomehr
12	turreht
12	usturreht
12	Wahrdus
12	Wainas
12	Widdu^
12	Zilweki
11	Bauúlibas
11	Besdeewigs
11	Debbeúi
11	Debbeúi^s
11	D§ihwibu
11	Duúmibu
11	gaida
11	ikdeenas
11	Jtt
11	Íehniòi
11	klauúa
11	labbas
11	Leetu
11	Luhpas
11	Mahziúchanas=D§eeúma
11	Manni
11	Mans
11	Mehli
11	muhúeem
11	No§eegumu
11	nu
11	Par
11	Sahle
11	úchurp
11	úew
11	Úlawu
11	Taiúnajs
11	Taiúnu
11	Tapehz
11	tappuúchi
11	Tawa
11	Tukúneúi^
11	usturr
11	walda
11	Zilweka
10	aismir§tu
10	Augïus
10	Balús
10	Bruòòahm
10	D§ihwibas
10	eenih§t
10	Gohdibu
10	isglahbs
10	isglahbt
10	jaunu
10	jeb
10	jelle
10	jepúchu
10	J§rae#lu
10	Juhda
10	kahdu
10	Kalpa
10	Kalpam
10	Kauli
10	klahjahs
10	Korus
10	kri§titas
10	Kur
10	Labdarriúchanahm
10	leela
10	leelahm
10	mahza
10	muhúas
10	pateiz
10	úeh§ch
10	§innu
10	Sohbinu
10	úuhtija
10	úwehtas
10	Úwehtee
10	Úwehtigs
10	teekams
10	teiz
10	Tew
10	warretu
10	Wihrs
10	wiòòi
10	Zeba&a&ts
10	zerreju
9	alla§chiò
9	at§ih§t
9	Apúohliúchanas
9	Auúi
9	Bauúleem
9	bihjajams
9	bijis
9	Deena
9	dewe
9	Draud§i
9	d§eedajt
9	d§ihwohs
9	Duúmiba
9	Eekúch
9	eenih§tu
9	ih§tenu
9	Jsglahb
9	kamehr
9	Kapehz
9	kawe
9	KUNgam
9	Leezibu
9	Luhpahm
9	Mutte^
9	nahze
9	Nakts
9	noteek
9	Pahrkahpúchanas
9	Paligs
9	paliks
9	papillam
9	paúcha
9	pa§tahw
9	Pateikúchanu
9	pateizu
9	Patwerumu
9	pehdigi
9	Prahtu
9	Rohka^
9	úchi
9	Semme^
9	§kattahs
9	úlawehts
9	tahdu
9	taptu
9	Teeúa
9	Tehwi
9	Tur
9	Uhdeni
9	Wahrdi
9	Zeïúch
9	14
8	agri
8	aug§ts
8	Awis
8	Bauúli
8	Bauúliba
8	behdigs
8	Brihdi
8	Darbi
8	dohma
8	Dwehúelei
8	Egiptes
8	Elkonu
8	gaidu
8	Gohds
8	isglahbis
8	jauka
8	Jeru§alemes
8	Juhºa
8	Juhºu
8	juhúu
8	Kahjahm
8	Kahju
8	Kalns
8	Kalps
8	kapehz
8	klauúi
8	kuººu
8	labpraht
8	Ïauna
8	Ïaunadarritajeem
8	Leeleem=Kungeem
8	leeli
8	Leetahm
